"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",74,0,6,0,1.27254060232454,80,0.925,0.46249999421875,"AddModuleScore","MANNE_DN",TRUE,"youden"
"B cells (PLA−)",0,598,0,4,1.61265008475746,602,0.00664451827242525,0.00332225913069392,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.929283513605795,6,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD4 T cells (PLA+)",227,0,300,0,-0.386095003656933,527,0.430740037950664,0.21537001856666,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD4 T cells (PLA−)",0,322,0,2400,-0.941724356451558,2722,0.881704628949302,0.440852314312692,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD8 T cells",0,0,0,0,-0.777040702279525,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD8 T cells (PLA+)",14,0,56,0,-0.906662849222044,70,0.2,0.0999999985714286,"AddModuleScore","MANNE_DN",TRUE,"youden"
"CD8 T cells (PLA−)",0,63,0,1370,-1.19193626411572,1433,0.956036287508723,0.478018143420783,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Classical monocytes (PLA+)",213,0,37,0,0.223269654420841,250,0.852,0.425999998296,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Classical monocytes (PLA−)",0,1751,0,475,0.0878140958293023,2226,0.213387241689128,0.106693620796634,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Dendritic cells",0,0,0,0,-0.579232690157809,7,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Dendritic cells (PLA−)",0,30,0,6,0.784862338211951,36,0.166666666666667,0.0833333310185186,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Early NK cells (PLA+)",12,0,13,0,-0.0210569950399865,25,0.48,0.2399999904,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Early NK cells (PLA−)",0,14,0,81,-0.968267325093166,95,0.852631578947368,0.42631578498615,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Intermediate monocytes (PLA+)",27,0,4,0,0.372406313653254,31,0.870967741935484,0.435483856919876,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,180,0,86,-0.0418881876265651,266,0.323308270676692,0.161654134730624,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Monocytes (PLA+)",8,0,4,0,-0.0939192709679187,12,0.666666666666667,0.333333305555558,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Monocytes (PLA−)",0,2058,0,2537,-0.305631012089708,4595,0.552121871599565,0.276060935739704,"AddModuleScore","MANNE_DN",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,0.601216277441948,14,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"NK cells",0,0,0,0,-0.977817890476382,35,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"NK cells (PLA+)",1,0,3,0,-0.684637997577575,4,0.25,0.124999968750008,"AddModuleScore","MANNE_DN",TRUE,"youden"
"NK cells (PLA−)",0,7,0,91,-1.12836591314231,98,0.928571428571429,0.464285709548105,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Neutrophils",0,0,0,0,0.233517251163823,7071,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Neutrophils (PLA+)",64,0,21,0,0.0679123625832538,85,0.752941176470588,0.376470583806228,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Neutrophils (PLA−)",0,320,0,360,-0.272152606106768,680,0.529411764705882,0.264705881963668,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.279790001713813,53,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-B cells",0,0,0,0,0.166521071644201,1277,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.595766797661876,6912,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-cDCs",0,0,0,0,0.0322367418647923,25,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-classical monocytes (PLA+)",149,0,103,0,-0.166913654756099,252,0.591269841269841,0.295634919461766,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,600,0,839,-0.349206781927982,1439,0.583043780403058,0.291521889998942,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Other immune cells",0,0,0,0,-0.144629902351472,11,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Plasmacytoid DCs",0,0,0,0,5.04786585696897,3,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"R11",0,0,0,0,-0.901382491955504,535,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"R13",0,0,0,0,-1.00649670976322,248,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"R16",0,0,0,0,0.900648496823518,4,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"R40",0,0,0,0,-0.0836540529143964,273,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Singlets",0,0,0,0,-0.0612488218838162,1795,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
"Total B cells",0,0,0,0,1.34039942886326,2,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
NA,0,0,0,0,0.856630099940257,475,0,0,"AddModuleScore","MANNE_DN",TRUE,"youden"
