"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.494225310981675,80,0.025,0.01249999984375,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,7,0,595,-0.664742834000053,602,0.988372093023256,0.494186045690721,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.0212557220549907,6,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",15,0,512,0,-0.328667076924388,527,0.0284629981024668,0.0142314990242287,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,62,0,2660,-0.287005046549528,2722,0.97722263041881,0.4886113150299,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,0.101786268049532,4,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",3,0,67,0,-0.173430109232278,70,0.0428571428571429,0.021428571122449,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,77,0,1356,0.10228783865819,1433,0.946266573621772,0.473133286480716,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",156,0,94,0,1.2935728947195,250,0.624,0.311999998752,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,1747,0,479,1.70355778999078,2226,0.2151841868823,0.107592093392816,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.610406647032471,7,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,7,0,29,0.175706211356662,36,0.805555555555556,0.402777766589507,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",2,0,23,0,0.270967722998553,25,0.08,0.0399999984000001,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,7,0,88,0.250919207984689,95,0.926315789473684,0.463157889861496,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",9,0,22,0,0.482073208322678,31,0.290322580645161,0.145161285639959,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,175,0,91,1.40822658391112,266,0.342105263157895,0.171052630935892,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",7,0,5,0,1.36165609817867,12,0.583333333333333,0.291666642361113,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,385,0,4210,0.115112557695798,4595,0.916213275299238,0.458106637549922,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.46692428388581,14,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.0371749264879151,35,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.551051558636463,4,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"NK cells (PLA−)",0,4,0,94,0.316822198345896,98,0.959183673469388,0.4795918318409,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.472648623204503,7071,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA+)",27,0,58,0,0.738101270133435,85,0.317647058823529,0.158823527543253,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,54,0,626,0.0308169825043653,680,0.920588235294118,0.460294116970156,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.668414737754725,53,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.996399293545339,1277,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,-0.37665441827807,6912,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.116747018416114,25,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",9,0,243,0,-0.110341091848254,252,0.0357142857142857,0.0178571427862812,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,81,0,1358,0.06153886601627,1439,0.943710910354413,0.471855454849301,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.459207670748194,11,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Plasmacytoid DCs",0,0,0,0,-0.676283654226656,3,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"R11",0,0,0,0,0.0977310671644824,535,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.127728369147473,248,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"R16",0,0,0,0,0.355582215447482,4,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"R40",0,0,0,0,0.180673847160746,273,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.349414614647428,1795,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.0519171988543758,2,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
NA,0,0,0,0,-0.192244148918605,475,0,0,"AUCell","REACTOME",FALSE,"gmm_dist_platelet"
