"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.494225310981675,80,0.025,0.01249999984375,"AUCell","REACTOME",FALSE,"kmeans"
"B cells (PLA−)",0,6,0,596,-0.664742834000053,602,0.990033222591362,0.495016610473394,"AUCell","REACTOME",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.0212557220549907,6,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"CD4 T cells (PLA+)",11,0,516,0,-0.328667076924388,527,0.0208728652751423,0.0104364326177677,"AUCell","REACTOME",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,23,0,2699,-0.287005046549528,2722,0.991550330639236,0.495775165137482,"AUCell","REACTOME",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,0.101786268049532,4,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.173430109232278,70,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,16,0,1417,0.10228783865819,1433,0.988834612700628,0.494417306005291,"AUCell","REACTOME",FALSE,"kmeans"
"Classical monocytes (PLA+)",170,0,80,0,1.2935728947195,250,0.68,0.33999999864,"AUCell","REACTOME",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,1962,0,264,1.70355778999078,2226,0.118598382749326,0.0592991913480237,"AUCell","REACTOME",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,0.610406647032471,7,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,8,0,28,0.175706211356662,36,0.777777777777778,0.38888887808642,"AUCell","REACTOME",FALSE,"kmeans"
"Early NK cells (PLA+)",2,0,23,0,0.270967722998553,25,0.08,0.0399999984000001,"AUCell","REACTOME",FALSE,"kmeans"
"Early NK cells (PLA−)",0,4,0,91,0.250919207984689,95,0.957894736842105,0.478947363379501,"AUCell","REACTOME",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",9,0,22,0,0.482073208322678,31,0.290322580645161,0.145161285639959,"AUCell","REACTOME",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,199,0,67,1.40822658391112,266,0.25187969924812,0.125939849150602,"AUCell","REACTOME",FALSE,"kmeans"
"Monocytes (PLA+)",10,0,2,0,1.36165609817867,12,0.833333333333333,0.416666631944447,"AUCell","REACTOME",FALSE,"kmeans"
"Monocytes (PLA−)",0,471,0,4124,0.115112557695798,4595,0.897497279651795,0.448748639728237,"AUCell","REACTOME",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.46692428388581,14,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"NK cells",0,0,0,0,-0.0371749264879151,35,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.551051558636463,4,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"NK cells (PLA−)",0,2,0,96,0.316822198345896,98,0.979591836734694,0.489795913369429,"AUCell","REACTOME",FALSE,"kmeans"
"Neutrophils",0,0,0,0,-0.472648623204503,7071,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Neutrophils (PLA+)",33,0,52,0,0.738101270133435,85,0.388235294117647,0.194117644775087,"AUCell","REACTOME",FALSE,"kmeans"
"Neutrophils (PLA−)",0,54,0,626,0.0308169825043653,680,0.920588235294118,0.460294116970156,"AUCell","REACTOME",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.668414737754725,53,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Non-B cells",0,0,0,0,0.996399293545339,1277,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,-0.37665441827807,6912,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,0.116747018416114,25,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",13,0,239,0,-0.110341091848254,252,0.0515873015873016,0.025793650691295,"AUCell","REACTOME",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,108,0,1331,0.06153886601627,1439,0.92494788047255,0.462473939914889,"AUCell","REACTOME",FALSE,"kmeans"
"Other immune cells",0,0,0,0,0.459207670748194,11,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,-0.676283654226656,3,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"R11",0,0,0,0,0.0977310671644824,535,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"R13",0,0,0,0,-0.127728369147473,248,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"R16",0,0,0,0,0.355582215447482,4,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"R40",0,0,0,0,0.180673847160746,273,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Singlets",0,0,0,0,0.349414614647428,1795,0,0,"AUCell","REACTOME",FALSE,"kmeans"
"Total B cells",0,0,0,0,-0.0519171988543758,2,0,0,"AUCell","REACTOME",FALSE,"kmeans"
NA,0,0,0,0,-0.192244148918605,475,0,0,"AUCell","REACTOME",FALSE,"kmeans"
