"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.494225310981675,80,0,0,"AUCell","REACTOME",FALSE,"youden"
"B cells (PLA−)",0,3,0,599,-0.664742834000053,602,0.995016611295681,0.497508304821415,"AUCell","REACTOME",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.0212557220549907,6,0,0,"AUCell","REACTOME",FALSE,"youden"
"CD4 T cells (PLA+)",3,0,524,0,-0.328667076924388,527,0.00569259962049336,0.00284629980484573,"AUCell","REACTOME",FALSE,"youden"
"CD4 T cells (PLA−)",0,8,0,2714,-0.287005046549528,2722,0.997060984570169,0.498530492101936,"AUCell","REACTOME",FALSE,"youden"
"CD8 T cells",0,0,0,0,0.101786268049532,4,0,0,"AUCell","REACTOME",FALSE,"youden"
"CD8 T cells (PLA+)",0,0,70,0,-0.173430109232278,70,0,0,"AUCell","REACTOME",FALSE,"youden"
"CD8 T cells (PLA−)",0,0,0,1433,0.10228783865819,1433,1,0.499999999651082,"AUCell","REACTOME",FALSE,"youden"
"Classical monocytes (PLA+)",86,0,164,0,1.2935728947195,250,0.344,0.171999999312,"AUCell","REACTOME",FALSE,"youden"
"Classical monocytes (PLA−)",0,769,0,1457,1.70355778999078,2226,0.654537286612758,0.327268643159358,"AUCell","REACTOME",FALSE,"youden"
"Dendritic cells",0,0,0,0,0.610406647032471,7,0,0,"AUCell","REACTOME",FALSE,"youden"
"Dendritic cells (PLA−)",0,4,0,32,0.175706211356662,36,0.888888888888889,0.444444432098766,"AUCell","REACTOME",FALSE,"youden"
"Early NK cells (PLA+)",1,0,24,0,0.270967722998553,25,0.04,0.0199999992,"AUCell","REACTOME",FALSE,"youden"
"Early NK cells (PLA−)",0,0,0,95,0.250919207984689,95,1,0.499999994736842,"AUCell","REACTOME",FALSE,"youden"
"Intermediate monocytes (PLA+)",2,0,29,0,0.482073208322678,31,0.0645161290322581,0.0322580634755463,"AUCell","REACTOME",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,58,0,208,1.40822658391112,266,0.781954887218045,0.390977442139183,"AUCell","REACTOME",FALSE,"youden"
"Monocytes (PLA+)",3,0,9,0,1.36165609817867,12,0.25,0.124999989583334,"AUCell","REACTOME",FALSE,"youden"
"Monocytes (PLA−)",0,76,0,4519,0.115112557695798,4595,0.983460282916213,0.491730141351092,"AUCell","REACTOME",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,1.46692428388581,14,0,0,"AUCell","REACTOME",FALSE,"youden"
"NK cells",0,0,0,0,-0.0371749264879151,35,0,0,"AUCell","REACTOME",FALSE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.551051558636463,4,0,0,"AUCell","REACTOME",FALSE,"youden"
"NK cells (PLA−)",0,0,0,98,0.316822198345896,98,1,0.499999994897959,"AUCell","REACTOME",FALSE,"youden"
"Neutrophils",0,0,0,0,-0.472648623204503,7071,0,0,"AUCell","REACTOME",FALSE,"youden"
"Neutrophils (PLA+)",15,0,70,0,0.738101270133435,85,0.176470588235294,0.0882352930795848,"AUCell","REACTOME",FALSE,"youden"
"Neutrophils (PLA−)",0,10,0,670,0.0308169825043653,680,0.985294117647059,0.492647058099048,"AUCell","REACTOME",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.668414737754725,53,0,0,"AUCell","REACTOME",FALSE,"youden"
"Non-B cells",0,0,0,0,0.996399293545339,1277,0,0,"AUCell","REACTOME",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,-0.37665441827807,6912,0,0,"AUCell","REACTOME",FALSE,"youden"
"Non-cDCs",0,0,0,0,0.116747018416114,25,0,0,"AUCell","REACTOME",FALSE,"youden"
"Non-classical monocytes (PLA+)",0,0,252,0,-0.110341091848254,252,0,0,"AUCell","REACTOME",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,15,0,1424,0.06153886601627,1439,0.989576094510076,0.494788046911197,"AUCell","REACTOME",FALSE,"youden"
"Other immune cells",0,0,0,0,0.459207670748194,11,0,0,"AUCell","REACTOME",FALSE,"youden"
"Plasmacytoid DCs",0,0,0,0,-0.676283654226656,3,0,0,"AUCell","REACTOME",FALSE,"youden"
"R11",0,0,0,0,0.0977310671644824,535,0,0,"AUCell","REACTOME",FALSE,"youden"
"R13",0,0,0,0,-0.127728369147473,248,0,0,"AUCell","REACTOME",FALSE,"youden"
"R16",0,0,0,0,0.355582215447482,4,0,0,"AUCell","REACTOME",FALSE,"youden"
"R40",0,0,0,0,0.180673847160746,273,0,0,"AUCell","REACTOME",FALSE,"youden"
"Singlets",0,0,0,0,0.349414614647428,1795,0,0,"AUCell","REACTOME",FALSE,"youden"
"Total B cells",0,0,0,0,-0.0519171988543758,2,0,0,"AUCell","REACTOME",FALSE,"youden"
NA,0,0,0,0,-0.192244148918605,475,0,0,"AUCell","REACTOME",FALSE,"youden"
