"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.525035473427463,80,0.025,0.01249999984375,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"B cells (PLA−)",0,7,0,595,-0.697121141202983,602,0.988372093023256,0.494186045690721,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.0927826324949573,6,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA+)",16,0,511,0,-0.359169974063344,527,0.0303605313092979,0.0151802656258439,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,27,0,2695,-0.351129541819512,2722,0.99008082292432,0.495040411280294,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,0.0239285774182728,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,70,0,-0.240082402982581,70,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,13,0,1420,0.0199188050030758,1433,0.99092812281926,0.495464061063877,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA+)",173,0,77,0,1.29948512110835,250,0.692,0.345999998616,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,1972,0,254,1.68795562069124,2226,0.114106019766397,0.0570530098575683,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,0.611459400895508,7,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,8,0,28,0.202670253370709,36,0.777777777777778,0.38888887808642,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Early NK cells (PLA+)",1,0,24,0,0.304541118314291,25,0.04,0.0199999992,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,6,0,89,0.182239738900515,95,0.936842105263158,0.468421047700831,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",11,0,20,0,0.521839591607483,31,0.354838709677419,0.177419349115505,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,205,0,61,1.40708100373576,266,0.229323308270677,0.114661653704279,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Monocytes (PLA+)",10,0,2,0,1.38183619411264,12,0.833333333333333,0.416666631944447,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Monocytes (PLA−)",0,535,0,4060,0.0905417412812947,4595,0.883569096844396,0.441784548326053,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,1.49059148637372,14,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"NK cells",0,0,0,0,-0.10172969569289,35,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.569927487234776,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"NK cells (PLA−)",0,2,0,96,0.231090463152918,98,0.979591836734694,0.489795913369429,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.450117109104549,7071,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Neutrophils (PLA+)",34,0,51,0,0.718727937368329,85,0.4,0.199999997647059,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,60,0,620,0.00853048763710309,680,0.911764705882353,0.455882352270761,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.795040304793191,53,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,1.00419207175207,1277,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,-0.315648341933081,6912,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,0.156809473353636,25,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",20,0,232,0,-0.107276118989117,252,0.0793650793650794,0.0396825395250693,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Non-classical monocytes (PLA−)",0,132,0,1307,0.0410192141679912,1439,0.908269631688673,0.454134815528746,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Other immune cells",0,0,0,0,0.379254776747226,11,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Plasmacytoid DCs",0,0,0,0,-0.668557934733559,3,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"R11",0,0,0,0,0.0341347059736713,535,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"R13",0,0,0,0,-0.190091237532512,248,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"R16",0,0,0,0,0.475925343374496,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"R40",0,0,0,0,0.202787768567497,273,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Singlets",0,0,0,0,0.344357936900592,1795,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
"Total B cells",0,0,0,0,-0.127829437076351,2,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
NA,0,0,0,0,-0.20051360915874,475,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_dual"
