"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",5,0,75,0,-0.525035473427463,80,0.0625,0.031249999609375,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,19,0,583,-0.697121141202983,602,0.96843853820598,0.484219268298639,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.0927826324949573,6,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",47,0,480,0,-0.359169974063344,527,0.0891840607210626,0.0445920302759165,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,212,0,2510,-0.351129541819512,2722,0.922116091109478,0.461058045385357,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,0.0239285774182728,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",9,0,61,0,-0.240082402982581,70,0.128571428571429,0.064285713367347,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,255,0,1178,0.0199188050030758,1433,0.82205163991626,0.411025819671301,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",180,0,70,0,1.29948512110835,250,0.72,0.35999999856,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,2045,0,181,1.68795562069124,2226,0.0813117699910153,0.0406558849772435,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.611459400895508,7,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,8,0,28,0.202670253370709,36,0.777777777777778,0.38888887808642,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",4,0,21,0,0.304541118314291,25,0.16,0.0799999968000001,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,26,0,69,0.182239738900515,95,0.726315789473684,0.363157890914127,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",12,0,19,0,0.521839591607483,31,0.387096774193548,0.193548380853278,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,222,0,44,1.40708100373576,266,0.165413533834586,0.0827067666063655,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",10,0,2,0,1.38183619411264,12,0.833333333333333,0.416666631944447,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,943,0,3652,0.0905417412812947,4595,0.794776931447225,0.39738846563713,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.49059148637372,14,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.10172969569289,35,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.569927487234776,4,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,19,0,79,0.231090463152918,98,0.806122448979592,0.403061220376926,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.450117109104549,7071,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",38,0,47,0,0.718727937368329,85,0.447058823529412,0.223529409134948,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,128,0,552,0.00853048763710309,680,0.811764705882353,0.405882352344291,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.795040304793191,53,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,1.00419207175207,1277,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,-0.315648341933081,6912,0,0,"AUCell","REACTOME",TRUE,"gmm_dist_platelet"
