"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.525035473427463,80,0.025,0.01249999984375,"AUCell","REACTOME",TRUE,"kmeans"
"B cells (PLA−)",0,7,0,595,-0.697121141202983,602,0.988372093023256,0.494186045690721,"AUCell","REACTOME",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.0927826324949573,6,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"CD4 T cells (PLA+)",10,0,517,0,-0.359169974063344,527,0.0189753320683112,0.00948766601615244,"AUCell","REACTOME",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,21,0,2701,-0.351129541819512,2722,0.992285084496694,0.496142542066075,"AUCell","REACTOME",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,0.0239285774182728,4,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.240082402982581,70,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,8,0,1425,0.0199188050030758,1433,0.994417306350314,0.497208652828187,"AUCell","REACTOME",TRUE,"kmeans"
"Classical monocytes (PLA+)",170,0,80,0,1.29948512110835,250,0.68,0.33999999864,"AUCell","REACTOME",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,1946,0,280,1.68795562069124,2226,0.125786163522013,0.0628930817327524,"AUCell","REACTOME",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,0.611459400895508,7,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,7,0,29,0.202670253370709,36,0.805555555555556,0.402777766589507,"AUCell","REACTOME",TRUE,"kmeans"
"Early NK cells (PLA+)",2,0,23,0,0.304541118314291,25,0.08,0.0399999984000001,"AUCell","REACTOME",TRUE,"kmeans"
"Early NK cells (PLA−)",0,3,0,92,0.182239738900515,95,0.968421052631579,0.484210521218837,"AUCell","REACTOME",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",10,0,21,0,0.521839591607483,31,0.32258064516129,0.161290317377732,"AUCell","REACTOME",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,199,0,67,1.40708100373576,266,0.25187969924812,0.125939849150602,"AUCell","REACTOME",TRUE,"kmeans"
"Monocytes (PLA+)",10,0,2,0,1.38183619411264,12,0.833333333333333,0.416666631944447,"AUCell","REACTOME",TRUE,"kmeans"
"Monocytes (PLA−)",0,399,0,4196,0.0905417412812947,4595,0.91316648531012,0.456583242555695,"AUCell","REACTOME",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.49059148637372,14,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.10172969569289,35,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.569927487234776,4,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"NK cells (PLA−)",0,2,0,96,0.231090463152918,98,0.979591836734694,0.489795913369429,"AUCell","REACTOME",TRUE,"kmeans"
"Neutrophils",0,0,0,0,-0.450117109104549,7071,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Neutrophils (PLA+)",34,0,51,0,0.718727937368329,85,0.4,0.199999997647059,"AUCell","REACTOME",TRUE,"kmeans"
"Neutrophils (PLA−)",0,48,0,632,0.00853048763710309,680,0.929411764705882,0.46470588166955,"AUCell","REACTOME",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.795040304793191,53,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Non-B cells",0,0,0,0,1.00419207175207,1277,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,-0.315648341933081,6912,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,0.156809473353636,25,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",15,0,237,0,-0.107276118989117,252,0.0595238095238095,0.029761904643802,"AUCell","REACTOME",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,92,0,1347,0.0410192141679912,1439,0.936066712995136,0.468033356172319,"AUCell","REACTOME",TRUE,"kmeans"
"Other immune cells",0,0,0,0,0.379254776747226,11,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,-0.668557934733559,3,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"R11",0,0,0,0,0.0341347059736713,535,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"R13",0,0,0,0,-0.190091237532512,248,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"R16",0,0,0,0,0.475925343374496,4,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"R40",0,0,0,0,0.202787768567497,273,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Singlets",0,0,0,0,0.344357936900592,1795,0,0,"AUCell","REACTOME",TRUE,"kmeans"
"Total B cells",0,0,0,0,-0.127829437076351,2,0,0,"AUCell","REACTOME",TRUE,"kmeans"
NA,0,0,0,0,-0.20051360915874,475,0,0,"AUCell","REACTOME",TRUE,"kmeans"
