"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.525035473427463,80,0,0,"AUCell","REACTOME",TRUE,"youden"
"B cells (PLA−)",0,3,0,599,-0.697121141202983,602,0.995016611295681,0.497508304821415,"AUCell","REACTOME",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.0927826324949573,6,0,0,"AUCell","REACTOME",TRUE,"youden"
"CD4 T cells (PLA+)",3,0,524,0,-0.359169974063344,527,0.00569259962049336,0.00284629980484573,"AUCell","REACTOME",TRUE,"youden"
"CD4 T cells (PLA−)",0,7,0,2715,-0.351129541819512,2722,0.997428361498898,0.498714180566233,"AUCell","REACTOME",TRUE,"youden"
"CD8 T cells",0,0,0,0,0.0239285774182728,4,0,0,"AUCell","REACTOME",TRUE,"youden"
"CD8 T cells (PLA+)",0,0,70,0,-0.240082402982581,70,0,0,"AUCell","REACTOME",TRUE,"youden"
"CD8 T cells (PLA−)",0,0,0,1433,0.0199188050030758,1433,1,0.499999999651082,"AUCell","REACTOME",TRUE,"youden"
"Classical monocytes (PLA+)",83,0,167,0,1.29948512110835,250,0.332,0.165999999336,"AUCell","REACTOME",TRUE,"youden"
"Classical monocytes (PLA−)",0,704,0,1522,1.68795562069124,2226,0.683737646001797,0.341868822847319,"AUCell","REACTOME",TRUE,"youden"
"Dendritic cells",0,0,0,0,0.611459400895508,7,0,0,"AUCell","REACTOME",TRUE,"youden"
"Dendritic cells (PLA−)",0,3,0,33,0.202670253370709,36,0.916666666666667,0.458333320601852,"AUCell","REACTOME",TRUE,"youden"
"Early NK cells (PLA+)",1,0,24,0,0.304541118314291,25,0.04,0.0199999992,"AUCell","REACTOME",TRUE,"youden"
"Early NK cells (PLA−)",0,1,0,94,0.182239738900515,95,0.989473684210526,0.494736836897507,"AUCell","REACTOME",TRUE,"youden"
"Intermediate monocytes (PLA+)",2,0,29,0,0.521839591607483,31,0.0645161290322581,0.0322580634755463,"AUCell","REACTOME",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,54,0,212,1.40708100373576,266,0.796992481203007,0.398496239103398,"AUCell","REACTOME",TRUE,"youden"
"Monocytes (PLA+)",2,0,10,0,1.38183619411264,12,0.166666666666667,0.0833333263888895,"AUCell","REACTOME",TRUE,"youden"
"Monocytes (PLA−)",0,63,0,4532,0.0905417412812947,4595,0.986289445048966,0.493144722417161,"AUCell","REACTOME",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,1.49059148637372,14,0,0,"AUCell","REACTOME",TRUE,"youden"
"NK cells",0,0,0,0,-0.10172969569289,35,0,0,"AUCell","REACTOME",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.569927487234776,4,0,0,"AUCell","REACTOME",TRUE,"youden"
"NK cells (PLA−)",0,0,0,98,0.231090463152918,98,1,0.499999994897959,"AUCell","REACTOME",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.450117109104549,7071,0,0,"AUCell","REACTOME",TRUE,"youden"
"Neutrophils (PLA+)",13,0,72,0,0.718727937368329,85,0.152941176470588,0.0764705873356401,"AUCell","REACTOME",TRUE,"youden"
"Neutrophils (PLA−)",0,8,0,672,0.00853048763710309,680,0.988235294117647,0.49411764633218,"AUCell","REACTOME",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.795040304793191,53,0,0,"AUCell","REACTOME",TRUE,"youden"
"Non-B cells",0,0,0,0,1.00419207175207,1277,0,0,"AUCell","REACTOME",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,-0.315648341933081,6912,0,0,"AUCell","REACTOME",TRUE,"youden"
"Non-cDCs",0,0,0,0,0.156809473353636,25,0,0,"AUCell","REACTOME",TRUE,"youden"
"Non-classical monocytes (PLA+)",1,0,251,0,-0.107276118989117,252,0.00396825396825397,0.00198412697625346,"AUCell","REACTOME",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,17,0,1422,0.0410192141679912,1439,0.988186240444753,0.494093119879018,"AUCell","REACTOME",TRUE,"youden"
"Other immune cells",0,0,0,0,0.379254776747226,11,0,0,"AUCell","REACTOME",TRUE,"youden"
"Plasmacytoid DCs",0,0,0,0,-0.668557934733559,3,0,0,"AUCell","REACTOME",TRUE,"youden"
"R11",0,0,0,0,0.0341347059736713,535,0,0,"AUCell","REACTOME",TRUE,"youden"
"R13",0,0,0,0,-0.190091237532512,248,0,0,"AUCell","REACTOME",TRUE,"youden"
"R16",0,0,0,0,0.475925343374496,4,0,0,"AUCell","REACTOME",TRUE,"youden"
"R40",0,0,0,0,0.202787768567497,273,0,0,"AUCell","REACTOME",TRUE,"youden"
"Singlets",0,0,0,0,0.344357936900592,1795,0,0,"AUCell","REACTOME",TRUE,"youden"
"Total B cells",0,0,0,0,-0.127829437076351,2,0,0,"AUCell","REACTOME",TRUE,"youden"
NA,0,0,0,0,-0.20051360915874,475,0,0,"AUCell","REACTOME",TRUE,"youden"
