"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.517441462609406,80,0.025,0.01249999984375,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"B cells (PLA−)",0,8,0,594,-0.655890567410466,602,0.98671096345515,0.493355480908047,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.112863126994478,6,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA+)",30,0,497,0,-0.255871626051787,527,0.0569259962049336,0.0284629980484573,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,52,0,2670,-0.210308959388337,2722,0.980896399706098,0.49044819967287,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,0.232704325588389,4,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,70,0,-0.120413101012888,70,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,50,0,1383,0.228760763495752,1433,0.965108164689463,0.482554082007987,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA+)",175,0,75,0,1.14192295475445,250,0.7,0.3499999986,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,1983,0,243,1.52670917779345,2226,0.109164420485175,0.0545822102180673,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,0.736304657061735,7,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,8,0,28,0.147859055892261,36,0.777777777777778,0.38888887808642,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early NK cells (PLA+)",4,0,21,0,0.361643280633869,25,0.16,0.0799999968000001,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,10,0,85,0.367899652092827,95,0.894736842105263,0.44736841634349,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",11,0,20,0,0.47445439316553,31,0.354838709677419,0.177419349115505,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,205,0,61,1.27085057930006,266,0.229323308270677,0.114661653704279,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes (PLA+)",9,0,3,0,1.05304007304131,12,0.75,0.374999968750003,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Monocytes (PLA−)",0,739,0,3856,0.107733517893398,4595,0.839173014145811,0.419586506981592,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,1.4154746233307,14,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"NK cells",0,0,0,0,0.13124565296724,35,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.599342843714147,4,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"NK cells (PLA−)",0,10,0,88,0.419402075661253,98,0.897959183673469,0.44897958725531,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.471396508867296,7071,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Neutrophils (PLA+)",35,0,50,0,0.66717397192795,85,0.411764705882353,0.205882350519031,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,88,0,592,0.0202907922584929,680,0.870588235294118,0.43529411700692,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.736480738382452,53,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,0.880960263712502,1277,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,-0.359467424387054,6912,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,0.150109997373564,25,0,0,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",26,0,226,0,-0.109783542210374,252,0.103174603174603,0.0515873013825901,"AddModuleScore","REACTOME",FALSE,"gmm_dist_dual"
