"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.517441462609406,80,0.025,0.01249999984375,"AddModuleScore","REACTOME",FALSE,"kmeans"
"B cells (PLA−)",0,8,0,594,-0.655890567410466,602,0.98671096345515,0.493355480908047,"AddModuleScore","REACTOME",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.112863126994478,6,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"CD4 T cells (PLA+)",36,0,491,0,-0.255871626051787,527,0.0683111954459203,0.0341555976581488,"AddModuleScore","REACTOME",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,60,0,2662,-0.210308959388337,2722,0.977957384276267,0.488978691958494,"AddModuleScore","REACTOME",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,0.232704325588389,4,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.120413101012888,70,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,53,0,1380,0.228760763495752,1433,0.96301465457083,0.481507326949402,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Classical monocytes (PLA+)",180,0,70,0,1.14192295475445,250,0.72,0.35999999856,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,2064,0,162,1.52670917779345,2226,0.0727762803234501,0.0363881401453782,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,0.736304657061735,7,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,9,0,27,0.147859055892261,36,0.75,0.374999989583334,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Early NK cells (PLA+)",4,0,21,0,0.361643280633869,25,0.16,0.0799999968000001,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Early NK cells (PLA−)",0,15,0,80,0.367899652092827,95,0.842105263157895,0.421052627146814,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",12,0,19,0,0.47445439316553,31,0.387096774193548,0.193548380853278,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,218,0,48,1.27085057930006,266,0.180451127819549,0.0902255635705806,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Monocytes (PLA+)",9,0,3,0,1.05304007304131,12,0.75,0.374999968750003,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Monocytes (PLA−)",0,893,0,3702,0.107733517893398,4595,0.805658324265506,0.402829162045086,"AddModuleScore","REACTOME",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.4154746233307,14,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"NK cells",0,0,0,0,0.13124565296724,35,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.599342843714147,4,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"NK cells (PLA−)",0,16,0,82,0.419402075661253,98,0.836734693877551,0.418367342669721,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Neutrophils",0,0,0,0,-0.471396508867296,7071,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Neutrophils (PLA+)",37,0,48,0,0.66717397192795,85,0.435294117647059,0.217647056262976,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Neutrophils (PLA−)",0,116,0,564,0.0202907922584929,680,0.829411764705882,0.41470588174308,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.736480738382452,53,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Non-B cells",0,0,0,0,0.880960263712502,1277,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,-0.359467424387054,6912,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,0.150109997373564,25,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",34,0,218,0,-0.109783542210374,252,0.134920634920635,0.0674603171926178,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,250,0,1189,0.061724050439337,1439,0.826268241834607,0.413134120630206,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Other immune cells",0,0,0,0,0.485810915057358,11,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,-0.835411101016614,3,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"R11",0,0,0,0,0.1680367218279,535,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"R13",0,0,0,0,0.0146377507298386,248,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"R16",0,0,0,0,0.402055095372455,4,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"R40",0,0,0,0,0.21075675810583,273,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Singlets",0,0,0,0,0.339514357632896,1795,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
"Total B cells",0,0,0,0,-0.484548244793156,2,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
NA,0,0,0,0,-0.175916024430497,475,0,0,"AddModuleScore","REACTOME",FALSE,"kmeans"
