"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",3,0,77,0,-0.56686262088637,80,0.0375,0.018749999765625,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"B cells (PLA−)",0,10,0,592,-0.708620807959382,602,0.983388704318937,0.4916943513427,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.201817072809306,6,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA+)",62,0,465,0,-0.29705442766578,527,0.117647058823529,0.0588235293001451,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,83,0,2639,-0.314386913340957,2722,0.969507714915503,0.484753857279664,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,0.137167879485662,4,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA+)",3,0,67,0,-0.222907654158193,70,0.0428571428571429,0.021428571122449,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,88,0,1345,0.103406096542484,1433,0.938590369853454,0.469295184599236,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA+)",192,0,58,0,1.14048377571364,250,0.768,0.383999998464,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,2150,0,76,1.48474238285726,2226,0.0341419586702606,0.0170709793274614,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,0.67703226073414,7,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,11,0,25,0.159715919407767,36,0.694444444444444,0.347222212577161,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Early NK cells (PLA+)",6,0,19,0,0.394993878799984,25,0.24,0.1199999952,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,22,0,73,0.264059523163826,95,0.768421052631579,0.384210522271468,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",18,0,13,0,0.523182341527192,31,0.580645161290323,0.290322571279917,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,237,0,29,1.24558684461299,266,0.109022556390977,0.0545112779905591,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
"Monocytes (PLA+)",11,0,1,0,1.05303717951086,12,0.916666666666667,0.458333295138892,"AddModuleScore","REACTOME",TRUE,"gmm_dist_dual"
