"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",14,0,66,0,-0.56686262088637,80,0.175,0.08749999890625,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,75,0,527,-0.708620807959382,602,0.875415282392027,0.437707640468924,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.201817072809306,6,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",163,0,364,0,-0.29705442766578,527,0.309297912713473,0.154648956063285,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,831,0,1891,-0.314386913340957,2722,0.694709772226304,0.347354885985542,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,0.137167879485662,4,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",25,0,45,0,-0.222907654158193,70,0.357142857142857,0.178571426020408,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,763,0,670,0.103406096542484,1433,0.4675505931612,0.233775296417463,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",204,0,46,0,1.14048377571364,250,0.816,0.407999998368,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,2182,0,44,1.48474238285726,2226,0.0197663971248877,0.00988319855800395,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.67703226073414,7,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,15,0,21,0.159715919407767,36,0.583333333333333,0.291666658564815,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",12,0,13,0,0.394993878799984,25,0.48,0.2399999904,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,59,0,36,0.264059523163826,95,0.378947368421053,0.189473682216067,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",20,0,11,0,0.523182341527192,31,0.645161290322581,0.322580634755463,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,248,0,18,1.24558684461299,266,0.0676691729323308,0.0338345863389677,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",11,0,1,0,1.05303717951086,12,0.916666666666667,0.458333295138892,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,2280,0,2315,0.0990899906991222,4595,0.503808487486398,0.251904243688378,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.41838808103749,14,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,0.0117640297001997,35,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.640507581521067,4,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,67,0,31,0.287365053054617,98,0.316326530612245,0.158163263692212,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.435303071048697,7071,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",61,0,24,0,0.661820705581083,85,0.717647058823529,0.358823525190311,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,311,0,369,0.0139513802947032,680,0.542647058823529,0.27132352901276,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.896267384406257,53,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.869431599304473,1277,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,-0.280817620214515,6912,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.1899360689887,25,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",98,0,154,0,-0.0985971344588165,252,0.388888888888889,0.19444444367284,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,710,0,729,0.0615195605965269,1439,0.506601806810285,0.253300903229117,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,0.455909796067906,11,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Plasmacytoid DCs",0,0,0,0,-0.788748063997669,3,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"R11",0,0,0,0,0.0749980552556698,535,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.0940608832545173,248,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"R16",0,0,0,0,0.552802658765185,4,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"R40",0,0,0,0,0.252585926765571,273,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.325029572731981,1795,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.573299757404046,2,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
NA,0,0,0,0,-0.190388737499957,475,0,0,"AddModuleScore","REACTOME",TRUE,"gmm_dist_platelet"
