"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.56686262088637,80,0.025,0.01249999984375,"AddModuleScore","REACTOME",TRUE,"kmeans"
"B cells (PLA−)",0,8,0,594,-0.708620807959382,602,0.98671096345515,0.493355480908047,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.201817072809306,6,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD4 T cells (PLA+)",35,0,492,0,-0.29705442766578,527,0.0664136622390892,0.0332068310565335,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,46,0,2676,-0.314386913340957,2722,0.983100661278472,0.491550330458652,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,0.137167879485662,4,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.222907654158193,70,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,37,0,1396,0.103406096542484,1433,0.974180041870202,0.487090020595192,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Classical monocytes (PLA+)",181,0,69,0,1.14048377571364,250,0.724,0.361999998552,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,2062,0,164,1.48474238285726,2226,0.0736747529200359,0.0368373764434693,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,0.67703226073414,7,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,8,0,28,0.159715919407767,36,0.777777777777778,0.38888887808642,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Early NK cells (PLA+)",3,0,22,0,0.394993878799984,25,0.12,0.0599999976000001,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Early NK cells (PLA−)",0,11,0,84,0.264059523163826,95,0.884210526315789,0.442105258504155,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",12,0,19,0,0.523182341527192,31,0.387096774193548,0.193548380853278,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,217,0,49,1.24558684461299,266,0.184210526315789,0.0921052628116344,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Monocytes (PLA+)",10,0,2,0,1.05303717951086,12,0.833333333333333,0.416666631944447,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Monocytes (PLA−)",0,842,0,3753,0.0990899906991222,4595,0.816757344940152,0.408378672381202,"AddModuleScore","REACTOME",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.41838808103749,14,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"NK cells",0,0,0,0,0.0117640297001997,35,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.640507581521067,4,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"NK cells (PLA−)",0,7,0,91,0.287365053054617,98,0.928571428571429,0.464285709548105,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Neutrophils",0,0,0,0,-0.435303071048697,7071,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Neutrophils (PLA+)",37,0,48,0,0.661820705581083,85,0.435294117647059,0.217647056262976,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Neutrophils (PLA−)",0,106,0,574,0.0139513802947032,680,0.844117647058824,0.422058822908737,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.896267384406257,53,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-B cells",0,0,0,0,0.869431599304473,1277,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,-0.280817620214515,6912,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,0.1899360689887,25,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",29,0,223,0,-0.0985971344588165,252,0.115079365079365,0.0575396823113505,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,235,0,1204,0.0615195605965269,1439,0.836692147324531,0.418346073371545,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Other immune cells",0,0,0,0,0.455909796067906,11,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,-0.788748063997669,3,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"R11",0,0,0,0,0.0749980552556698,535,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"R13",0,0,0,0,-0.0940608832545173,248,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"R16",0,0,0,0,0.552802658765185,4,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"R40",0,0,0,0,0.252585926765571,273,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Singlets",0,0,0,0,0.325029572731981,1795,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
"Total B cells",0,0,0,0,-0.573299757404046,2,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
NA,0,0,0,0,-0.190388737499957,475,0,0,"AddModuleScore","REACTOME",TRUE,"kmeans"
