"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.56686262088637,80,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"B cells (PLA−)",0,1,0,601,-0.708620807959382,602,0.998338870431894,0.499169434386762,"AddModuleScore","REACTOME",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.201817072809306,6,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"CD4 T cells (PLA+)",9,0,518,0,-0.29705442766578,527,0.0170777988614801,0.00853889941453719,"AddModuleScore","REACTOME",TRUE,"youden"
"CD4 T cells (PLA−)",0,14,0,2708,-0.314386913340957,2722,0.994856722997796,0.497428361316154,"AddModuleScore","REACTOME",TRUE,"youden"
"CD8 T cells",0,0,0,0,0.137167879485662,4,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"CD8 T cells (PLA+)",0,0,70,0,-0.222907654158193,70,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"CD8 T cells (PLA−)",0,5,0,1428,0.103406096542484,1433,0.996510816468946,0.498255407886772,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical monocytes (PLA+)",84,0,166,0,1.14048377571364,250,0.336,0.167999999328,"AddModuleScore","REACTOME",TRUE,"youden"
"Classical monocytes (PLA−)",0,776,0,1450,1.48474238285726,2226,0.651392632524708,0.325696316116039,"AddModuleScore","REACTOME",TRUE,"youden"
"Dendritic cells",0,0,0,0,0.67703226073414,7,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Dendritic cells (PLA−)",0,4,0,32,0.159715919407767,36,0.888888888888889,0.444444432098766,"AddModuleScore","REACTOME",TRUE,"youden"
"Early NK cells (PLA+)",2,0,23,0,0.394993878799984,25,0.08,0.0399999984000001,"AddModuleScore","REACTOME",TRUE,"youden"
"Early NK cells (PLA−)",0,1,0,94,0.264059523163826,95,0.989473684210526,0.494736836897507,"AddModuleScore","REACTOME",TRUE,"youden"
"Intermediate monocytes (PLA+)",4,0,27,0,0.523182341527192,31,0.129032258064516,0.0645161269510927,"AddModuleScore","REACTOME",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,71,0,195,1.24558684461299,266,0.733082706766917,0.366541352005484,"AddModuleScore","REACTOME",TRUE,"youden"
"Monocytes (PLA+)",1,0,11,0,1.05303717951086,12,0.0833333333333333,0.0416666631944447,"AddModuleScore","REACTOME",TRUE,"youden"
"Monocytes (PLA−)",0,106,0,4489,0.0990899906991222,4595,0.976931447225245,0.488465723506319,"AddModuleScore","REACTOME",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,1.41838808103749,14,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"NK cells",0,0,0,0,0.0117640297001997,35,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.640507581521067,4,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"NK cells (PLA−)",0,0,0,98,0.287365053054617,98,1,0.499999994897959,"AddModuleScore","REACTOME",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.435303071048697,7071,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Neutrophils (PLA+)",13,0,72,0,0.661820705581083,85,0.152941176470588,0.0764705873356401,"AddModuleScore","REACTOME",TRUE,"youden"
"Neutrophils (PLA−)",0,12,0,668,0.0139513802947032,680,0.982352941176471,0.491176469865917,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.896267384406257,53,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-B cells",0,0,0,0,0.869431599304473,1277,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,-0.280817620214515,6912,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-cDCs",0,0,0,0,0.1899360689887,25,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-classical monocytes (PLA+)",3,0,249,0,-0.0985971344588165,252,0.0119047619047619,0.00595238092876039,"AddModuleScore","REACTOME",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,31,0,1408,0.0615195605965269,1439,0.978457261987491,0.489228630653767,"AddModuleScore","REACTOME",TRUE,"youden"
"Other immune cells",0,0,0,0,0.455909796067906,11,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Plasmacytoid DCs",0,0,0,0,-0.788748063997669,3,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"R11",0,0,0,0,0.0749980552556698,535,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"R13",0,0,0,0,-0.0940608832545173,248,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"R16",0,0,0,0,0.552802658765185,4,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"R40",0,0,0,0,0.252585926765571,273,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Singlets",0,0,0,0,0.325029572731981,1795,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
"Total B cells",0,0,0,0,-0.573299757404046,2,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
NA,0,0,0,0,-0.190388737499957,475,0,0,"AddModuleScore","REACTOME",TRUE,"youden"
