"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.511805887091952,80,0.025,0.01249999984375,"AUCell","Standard",FALSE,"gmm_dist_dual"
"B cells (PLA−)",0,6,0,596,-0.546476418819062,602,0.990033222591362,0.495016610473394,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD4 T cells",0,0,0,0,-0.298272934449683,6,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA+)",19,0,508,0,-0.312719137645054,527,0.0360531309297913,0.0180265654306896,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD4 T cells (PLA−)",0,31,0,2691,-0.333919894591811,2722,0.988611315209405,0.494305657423106,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD8 T cells",0,0,0,0,-1.1767888464371,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA+)",0,0,70,0,-0.440574392669277,70,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"CD8 T cells (PLA−)",0,16,0,1417,-0.080347198122638,1433,0.988834612700628,0.494417306005291,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA+)",171,0,79,0,0.985137048669709,250,0.684,0.341999998632,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Classical monocytes (PLA−)",0,1939,0,287,1.25690612058178,2226,0.128930817610063,0.0644654087760713,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Dendritic cells",0,0,0,0,0.328606354893965,7,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Dendritic cells (PLA−)",0,8,0,28,0.597831867897739,36,0.777777777777778,0.38888887808642,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Early NK cells (PLA+)",3,0,22,0,0.168249986557357,25,0.12,0.0599999976000001,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Early NK cells (PLA−)",0,4,0,91,0.198879150282925,95,0.957894736842105,0.478947363379501,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA+)",13,0,18,0,0.365470679470229,31,0.419354838709677,0.209677412591051,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Intermediate monocytes (PLA−)",0,201,0,65,0.970437392090691,266,0.244360902255639,0.122180450668495,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Monocytes (PLA+)",11,0,1,0,0.960998754725342,12,0.916666666666667,0.458333295138892,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Monocytes (PLA−)",0,635,0,3960,-0.102176879280929,4595,0.861806311207835,0.430903155510141,"AUCell","Standard",FALSE,"gmm_dist_dual"
"NK / Dendritic cells",0,0,0,0,1.14939262585063,14,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"NK cells",0,0,0,0,0.0451271297643771,35,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"NK cells (PLA+)",0,0,4,0,-0.276150261791914,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"NK cells (PLA−)",0,4,0,94,0.246456493795636,98,0.959183673469388,0.4795918318409,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Neutrophils",0,0,0,0,-0.254192920819369,7071,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Neutrophils (PLA+)",36,0,49,0,0.488808380924225,85,0.423529411764706,0.211764703391004,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Neutrophils (PLA−)",0,86,0,594,-0.132086839073993,680,0.873529411764706,0.436764705240052,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-B / Non-monocyte cells",0,0,0,0,0.595445937909258,53,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-B cells",0,0,0,0,0.725468035039918,1277,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-T / Non-NK cells",0,0,0,0,-0.0404793588745692,6912,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-cDCs",0,0,0,0,0.107407720599012,25,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-classical monocytes (PLA+)",20,0,232,0,-0.317929728955828,252,0.0793650793650794,0.0396825395250693,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Non-classical monocytes (PLA−)",0,152,0,1287,-0.222914068258716,1439,0.894371091035441,0.447185545206959,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Other immune cells",0,0,0,0,-0.0281528666849197,11,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Plasmacytoid DCs",0,0,0,0,-0.0318176326605501,3,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"R11",0,0,0,0,-0.106024841514167,535,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"R13",0,0,0,0,-0.161179762795022,248,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"R16",0,0,0,0,0.747146252366906,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"R40",0,0,0,0,0.103367474089042,273,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Singlets",0,0,0,0,0.208612477588727,1795,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
"Total B cells",0,0,0,0,-0.857239130269321,2,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
NA,0,0,0,0,-0.18595289105732,475,0,0,"AUCell","Standard",FALSE,"gmm_dist_dual"
