"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",7,0,73,0,-0.511805887091952,80,0.0875,0.043749999453125,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,73,0,529,-0.546476418819062,602,0.878737541528239,0.439368770034271,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.298272934449683,6,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",104,0,423,0,-0.312719137645054,527,0.197343453510436,0.0986717265679853,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,488,0,2234,-0.333919894591811,2722,0.820720058780309,0.410360029239398,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-1.1767888464371,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",17,0,53,0,-0.440574392669277,70,0.242857142857143,0.121428569693878,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,449,0,984,-0.080347198122638,1433,0.686671318911375,0.343335659216095,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",194,0,56,0,0.985137048669709,250,0.776,0.387999998448,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,2019,0,207,1.25690612058178,2226,0.0929919137466307,0.0464959568524277,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.328606354893965,7,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,21,0,15,0.597831867897739,36,0.416666666666667,0.208333327546296,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",8,0,17,0,0.168249986557357,25,0.32,0.1599999936,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,41,0,54,0.198879150282925,95,0.568421052631579,0.2842105233241,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",20,0,11,0,0.365470679470229,31,0.645161290322581,0.322580634755463,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,215,0,51,0.970437392090691,266,0.191729323308271,0.0958646612937419,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",11,0,1,0,0.960998754725342,12,0.916666666666667,0.458333295138892,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,1250,0,3345,-0.102176879280929,4595,0.727965179542981,0.363982589692278,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.14939262585063,14,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"NK cells",0,0,0,0,0.0451271297643771,35,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.276150261791914,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"NK cells (PLA−)",0,53,0,45,0.246456493795636,98,0.459183673469388,0.22959183439192,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.254192920819369,7071,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA+)",47,0,38,0,0.488808380924225,85,0.552941176470588,0.276470584982699,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,178,0,502,-0.132086839073993,680,0.738235294117647,0.369117646516003,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.595445937909258,53,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.725468035039918,1277,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,-0.0404793588745692,6912,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.107407720599012,25,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",53,0,199,0,-0.317929728955828,252,0.21031746031746,0.105158729741434,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,346,0,1093,-0.222914068258716,1439,0.759555246699097,0.379777623085631,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,-0.0281528666849197,11,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Plasmacytoid DCs",0,0,0,0,-0.0318176326605501,3,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.106024841514167,535,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.161179762795022,248,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"R16",0,0,0,0,0.747146252366906,4,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"R40",0,0,0,0,0.103367474089042,273,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.208612477588727,1795,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.857239130269321,2,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
NA,0,0,0,0,-0.18595289105732,475,0,0,"AUCell","Standard",FALSE,"gmm_dist_platelet"
