"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.511805887091952,80,0.025,0.01249999984375,"AUCell","Standard",FALSE,"kmeans"
"B cells (PLA−)",0,6,0,596,-0.546476418819062,602,0.990033222591362,0.495016610473394,"AUCell","Standard",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.298272934449683,6,0,0,"AUCell","Standard",FALSE,"kmeans"
"CD4 T cells (PLA+)",11,0,516,0,-0.312719137645054,527,0.0208728652751423,0.0104364326177677,"AUCell","Standard",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,29,0,2693,-0.333919894591811,2722,0.989346069066863,0.4946730343517,"AUCell","Standard",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,-1.1767888464371,4,0,0,"AUCell","Standard",FALSE,"kmeans"
"CD8 T cells (PLA+)",1,0,69,0,-0.440574392669277,70,0.0142857142857143,0.00714285704081633,"AUCell","Standard",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,18,0,1415,-0.080347198122638,1433,0.987438939288207,0.493719469299568,"AUCell","Standard",FALSE,"kmeans"
"Classical monocytes (PLA+)",170,0,80,0,0.985137048669709,250,0.68,0.33999999864,"AUCell","Standard",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,1848,0,378,1.25690612058178,2226,0.169811320754717,0.0849056603392158,"AUCell","Standard",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,0.328606354893965,7,0,0,"AUCell","Standard",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,8,0,28,0.597831867897739,36,0.777777777777778,0.38888887808642,"AUCell","Standard",FALSE,"kmeans"
"Early NK cells (PLA+)",4,0,21,0,0.168249986557357,25,0.16,0.0799999968000001,"AUCell","Standard",FALSE,"kmeans"
"Early NK cells (PLA−)",0,5,0,90,0.198879150282925,95,0.947368421052632,0.473684205540166,"AUCell","Standard",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",10,0,21,0,0.365470679470229,31,0.32258064516129,0.161290317377732,"AUCell","Standard",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,193,0,73,0.970437392090691,266,0.274436090225564,0.137218044596925,"AUCell","Standard",FALSE,"kmeans"
"Monocytes (PLA+)",9,0,3,0,0.960998754725342,12,0.75,0.374999968750003,"AUCell","Standard",FALSE,"kmeans"
"Monocytes (PLA−)",0,417,0,4178,-0.102176879280929,4595,0.909249183895539,0.45462459184883,"AUCell","Standard",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,1.14939262585063,14,0,0,"AUCell","Standard",FALSE,"kmeans"
"NK cells",0,0,0,0,0.0451271297643771,35,0,0,"AUCell","Standard",FALSE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.276150261791914,4,0,0,"AUCell","Standard",FALSE,"kmeans"
"NK cells (PLA−)",0,8,0,90,0.246456493795636,98,0.918367346938776,0.45918366878384,"AUCell","Standard",FALSE,"kmeans"
"Neutrophils",0,0,0,0,-0.254192920819369,7071,0,0,"AUCell","Standard",FALSE,"kmeans"
"Neutrophils (PLA+)",36,0,49,0,0.488808380924225,85,0.423529411764706,0.211764703391004,"AUCell","Standard",FALSE,"kmeans"
"Neutrophils (PLA−)",0,49,0,631,-0.132086839073993,680,0.927941176470588,0.463970587552984,"AUCell","Standard",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.595445937909258,53,0,0,"AUCell","Standard",FALSE,"kmeans"
"Non-B cells",0,0,0,0,0.725468035039918,1277,0,0,"AUCell","Standard",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,-0.0404793588745692,6912,0,0,"AUCell","Standard",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,0.107407720599012,25,0,0,"AUCell","Standard",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",13,0,239,0,-0.317929728955828,252,0.0515873015873016,0.025793650691295,"AUCell","Standard",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,79,0,1360,-0.222914068258716,1439,0.945100764419736,0.47255038188148,"AUCell","Standard",FALSE,"kmeans"
"Other immune cells",0,0,0,0,-0.0281528666849197,11,0,0,"AUCell","Standard",FALSE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,-0.0318176326605501,3,0,0,"AUCell","Standard",FALSE,"kmeans"
"R11",0,0,0,0,-0.106024841514167,535,0,0,"AUCell","Standard",FALSE,"kmeans"
"R13",0,0,0,0,-0.161179762795022,248,0,0,"AUCell","Standard",FALSE,"kmeans"
"R16",0,0,0,0,0.747146252366906,4,0,0,"AUCell","Standard",FALSE,"kmeans"
"R40",0,0,0,0,0.103367474089042,273,0,0,"AUCell","Standard",FALSE,"kmeans"
"Singlets",0,0,0,0,0.208612477588727,1795,0,0,"AUCell","Standard",FALSE,"kmeans"
"Total B cells",0,0,0,0,-0.857239130269321,2,0,0,"AUCell","Standard",FALSE,"kmeans"
NA,0,0,0,0,-0.18595289105732,475,0,0,"AUCell","Standard",FALSE,"kmeans"
