"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",5,0,75,0,-0.511805887091952,80,0.0625,0.031249999609375,"AUCell","Standard",FALSE,"youden"
"B cells (PLA−)",0,23,0,579,-0.546476418819062,602,0.961794019933555,0.480897009167945,"AUCell","Standard",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.298272934449683,6,0,0,"AUCell","Standard",FALSE,"youden"
"CD4 T cells (PLA+)",46,0,481,0,-0.312719137645054,527,0.0872865275142315,0.0436432636743012,"AUCell","Standard",FALSE,"youden"
"CD4 T cells (PLA−)",0,196,0,2526,-0.333919894591811,2722,0.92799412196914,0.463997060814108,"AUCell","Standard",FALSE,"youden"
"CD8 T cells",0,0,0,0,-1.1767888464371,4,0,0,"AUCell","Standard",FALSE,"youden"
"CD8 T cells (PLA+)",6,0,64,0,-0.440574392669277,70,0.0857142857142857,0.042857142244898,"AUCell","Standard",FALSE,"youden"
"CD8 T cells (PLA−)",0,169,0,1264,-0.080347198122638,1433,0.882065596650384,0.441032798017423,"AUCell","Standard",FALSE,"youden"
"Classical monocytes (PLA+)",166,0,84,0,0.985137048669709,250,0.664,0.331999998672,"AUCell","Standard",FALSE,"youden"
"Classical monocytes (PLA−)",0,1659,0,567,1.25690612058178,2226,0.254716981132075,0.127358490508824,"AUCell","Standard",FALSE,"youden"
"Dendritic cells",0,0,0,0,0.328606354893965,7,0,0,"AUCell","Standard",FALSE,"youden"
"Dendritic cells (PLA−)",0,14,0,22,0.597831867897739,36,0.611111111111111,0.305555547067902,"AUCell","Standard",FALSE,"youden"
"Early NK cells (PLA+)",5,0,20,0,0.168249986557357,25,0.2,0.0999999960000002,"AUCell","Standard",FALSE,"youden"
"Early NK cells (PLA−)",0,23,0,72,0.198879150282925,95,0.757894736842105,0.378947364432133,"AUCell","Standard",FALSE,"youden"
"Intermediate monocytes (PLA+)",12,0,19,0,0.365470679470229,31,0.387096774193548,0.193548380853278,"AUCell","Standard",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,174,0,92,0.970437392090691,266,0.345864661654135,0.172932330176946,"AUCell","Standard",FALSE,"youden"
"Monocytes (PLA+)",9,0,3,0,0.960998754725342,12,0.75,0.374999968750003,"AUCell","Standard",FALSE,"youden"
"Monocytes (PLA−)",0,501,0,4094,-0.102176879280929,4595,0.890968443960827,0.445484221883464,"AUCell","Standard",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,1.14939262585063,14,0,0,"AUCell","Standard",FALSE,"youden"
"NK cells",0,0,0,0,0.0451271297643771,35,0,0,"AUCell","Standard",FALSE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.276150261791914,4,0,0,"AUCell","Standard",FALSE,"youden"
"NK cells (PLA−)",0,24,0,74,0.246456493795636,98,0.755102040816326,0.377551016555602,"AUCell","Standard",FALSE,"youden"
"Neutrophils",0,0,0,0,-0.254192920819369,7071,0,0,"AUCell","Standard",FALSE,"youden"
"Neutrophils (PLA+)",36,0,49,0,0.488808380924225,85,0.423529411764706,0.211764703391004,"AUCell","Standard",FALSE,"youden"
"Neutrophils (PLA−)",0,61,0,619,-0.132086839073993,680,0.910294117647059,0.455147058154195,"AUCell","Standard",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.595445937909258,53,0,0,"AUCell","Standard",FALSE,"youden"
"Non-B cells",0,0,0,0,0.725468035039918,1277,0,0,"AUCell","Standard",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,-0.0404793588745692,6912,0,0,"AUCell","Standard",FALSE,"youden"
"Non-cDCs",0,0,0,0,0.107407720599012,25,0,0,"AUCell","Standard",FALSE,"youden"
"Non-classical monocytes (PLA+)",22,0,230,0,-0.317929728955828,252,0.0873015873015873,0.0436507934775762,"AUCell","Standard",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,89,0,1350,-0.222914068258716,1439,0.93815149409312,0.469075746720587,"AUCell","Standard",FALSE,"youden"
"Other immune cells",0,0,0,0,-0.0281528666849197,11,0,0,"AUCell","Standard",FALSE,"youden"
"Plasmacytoid DCs",0,0,0,0,-0.0318176326605501,3,0,0,"AUCell","Standard",FALSE,"youden"
"R11",0,0,0,0,-0.106024841514167,535,0,0,"AUCell","Standard",FALSE,"youden"
"R13",0,0,0,0,-0.161179762795022,248,0,0,"AUCell","Standard",FALSE,"youden"
"R16",0,0,0,0,0.747146252366906,4,0,0,"AUCell","Standard",FALSE,"youden"
"R40",0,0,0,0,0.103367474089042,273,0,0,"AUCell","Standard",FALSE,"youden"
"Singlets",0,0,0,0,0.208612477588727,1795,0,0,"AUCell","Standard",FALSE,"youden"
"Total B cells",0,0,0,0,-0.857239130269321,2,0,0,"AUCell","Standard",FALSE,"youden"
NA,0,0,0,0,-0.18595289105732,475,0,0,"AUCell","Standard",FALSE,"youden"
