"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",5,0,75,0,-0.557689490146409,80,0.0625,0.031249999609375,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,17,0,585,-0.591058097964892,602,0.971760797342193,0.485880397863986,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.499817523403611,6,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",35,0,492,0,-0.388808086111731,527,0.0664136622390892,0.0332068310565335,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,97,0,2625,-0.484057622742369,2722,0.964364437913299,0.482182218779507,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-1.14962371437727,4,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",3,0,67,0,-0.537836176504639,70,0.0428571428571429,0.021428571122449,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,90,0,1343,-0.285291397490714,1433,0.937194696441033,0.468597347893512,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",165,0,85,0,0.928288635853458,250,0.66,0.32999999868,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,1744,0,482,1.13972410911184,2226,0.216531895777179,0.108265947839952,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.280811228807101,7,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,16,0,20,0.558007003524777,36,0.555555555555556,0.277777770061729,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",6,0,19,0,0.250416744500163,25,0.24,0.1199999952,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,16,0,79,-0.0190041042792686,95,0.831578947368421,0.415789469307479,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",14,0,17,0,0.499427873218472,31,0.451612903225806,0.225806444328824,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,181,0,85,0.905585458973474,266,0.319548872180451,0.15977443548957,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",10,0,2,0,0.988081535464325,12,0.833333333333333,0.416666631944447,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,639,0,3956,-0.0356401849617264,4595,0.860935799782372,0.430467899797504,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,1.08556432555058,14,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.17031036428167,35,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.381084506987252,4,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,13,0,85,-0.0108941721203519,98,0.86734693877551,0.433673464962516,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.222855445755595,7071,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",37,0,48,0,0.491824639840366,85,0.435294117647059,0.217647056262976,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,72,0,608,-0.102824780763122,680,0.894117647058824,0.447058822871972,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,1.0096958684131,53,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.66234613855906,1277,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.0517226549286175,6912,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.217613475413858,25,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",29,0,223,0,-0.216913050414629,252,0.115079365079365,0.0575396823113505,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,139,0,1300,-0.119470244420916,1439,0.903405142460042,0.45170257091612,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,-0.0661334086708283,11,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Plasmacytoid DCs",0,0,0,0,0.0972326312279768,3,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.247375514161743,535,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.344947878875802,248,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"R16",0,0,0,0,0.863791890522833,4,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"R40",0,0,0,0,0.194311149742865,273,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.167005511072953,1795,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.854930794665017,2,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
NA,0,0,0,0,-0.205710049803842,475,0,0,"AUCell","Standard",TRUE,"gmm_dist_platelet"
