"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",5,0,75,0,-0.557689490146409,80,0.0625,0.031249999609375,"AUCell","Standard",TRUE,"youden"
"B cells (PLA−)",0,19,0,583,-0.591058097964892,602,0.96843853820598,0.484219268298639,"AUCell","Standard",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.499817523403611,6,0,0,"AUCell","Standard",TRUE,"youden"
"CD4 T cells (PLA+)",44,0,483,0,-0.388808086111731,527,0.0834914611005693,0.0417457304710707,"AUCell","Standard",TRUE,"youden"
"CD4 T cells (PLA−)",0,118,0,2604,-0.484057622742369,2722,0.956649522409993,0.478324761029271,"AUCell","Standard",TRUE,"youden"
"CD8 T cells",0,0,0,0,-1.14962371437727,4,0,0,"AUCell","Standard",TRUE,"youden"
"CD8 T cells (PLA+)",5,0,65,0,-0.537836176504639,70,0.0714285714285714,0.0357142852040816,"AUCell","Standard",TRUE,"youden"
"CD8 T cells (PLA−)",0,112,0,1321,-0.285291397490714,1433,0.921842288904396,0.46092114413055,"AUCell","Standard",TRUE,"youden"
"Classical monocytes (PLA+)",175,0,75,0,0.928288635853458,250,0.7,0.3499999986,"AUCell","Standard",TRUE,"youden"
"Classical monocytes (PLA−)",0,1833,0,393,1.13972410911184,2226,0.176549865229111,0.088274932574899,"AUCell","Standard",TRUE,"youden"
"Dendritic cells",0,0,0,0,0.280811228807101,7,0,0,"AUCell","Standard",TRUE,"youden"
"Dendritic cells (PLA−)",0,16,0,20,0.558007003524777,36,0.555555555555556,0.277777770061729,"AUCell","Standard",TRUE,"youden"
"Early NK cells (PLA+)",6,0,19,0,0.250416744500163,25,0.24,0.1199999952,"AUCell","Standard",TRUE,"youden"
"Early NK cells (PLA−)",0,19,0,76,-0.0190041042792686,95,0.8,0.399999995789474,"AUCell","Standard",TRUE,"youden"
"Intermediate monocytes (PLA+)",15,0,16,0,0.499427873218472,31,0.483870967741935,0.241935476066598,"AUCell","Standard",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,198,0,68,0.905585458973474,266,0.255639097744361,0.127819548391656,"AUCell","Standard",TRUE,"youden"
"Monocytes (PLA+)",10,0,2,0,0.988081535464325,12,0.833333333333333,0.416666631944447,"AUCell","Standard",TRUE,"youden"
"Monocytes (PLA−)",0,775,0,3820,-0.0356401849617264,4595,0.831338411316649,0.415669205567863,"AUCell","Standard",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,1.08556432555058,14,0,0,"AUCell","Standard",TRUE,"youden"
"NK cells",0,0,0,0,-0.17031036428167,35,0,0,"AUCell","Standard",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.381084506987252,4,0,0,"AUCell","Standard",TRUE,"youden"
"NK cells (PLA−)",0,16,0,82,-0.0108941721203519,98,0.836734693877551,0.418367342669721,"AUCell","Standard",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.222855445755595,7071,0,0,"AUCell","Standard",TRUE,"youden"
"Neutrophils (PLA+)",43,0,42,0,0.491824639840366,85,0.505882352941176,0.25294117349481,"AUCell","Standard",TRUE,"youden"
"Neutrophils (PLA−)",0,90,0,590,-0.102824780763122,680,0.867647058823529,0.433823528773789,"AUCell","Standard",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,1.0096958684131,53,0,0,"AUCell","Standard",TRUE,"youden"
"Non-B cells",0,0,0,0,0.66234613855906,1277,0,0,"AUCell","Standard",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.0517226549286175,6912,0,0,"AUCell","Standard",TRUE,"youden"
"Non-cDCs",0,0,0,0,0.217613475413858,25,0,0,"AUCell","Standard",TRUE,"youden"
"Non-classical monocytes (PLA+)",36,0,216,0,-0.216913050414629,252,0.142857142857143,0.0714285711451247,"AUCell","Standard",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,174,0,1265,-0.119470244420916,1439,0.879082696316887,0.439541347852994,"AUCell","Standard",TRUE,"youden"
"Other immune cells",0,0,0,0,-0.0661334086708283,11,0,0,"AUCell","Standard",TRUE,"youden"
"Plasmacytoid DCs",0,0,0,0,0.0972326312279768,3,0,0,"AUCell","Standard",TRUE,"youden"
"R11",0,0,0,0,-0.247375514161743,535,0,0,"AUCell","Standard",TRUE,"youden"
"R13",0,0,0,0,-0.344947878875802,248,0,0,"AUCell","Standard",TRUE,"youden"
"R16",0,0,0,0,0.863791890522833,4,0,0,"AUCell","Standard",TRUE,"youden"
"R40",0,0,0,0,0.194311149742865,273,0,0,"AUCell","Standard",TRUE,"youden"
"Singlets",0,0,0,0,0.167005511072953,1795,0,0,"AUCell","Standard",TRUE,"youden"
"Total B cells",0,0,0,0,-0.854930794665017,2,0,0,"AUCell","Standard",TRUE,"youden"
NA,0,0,0,0,-0.205710049803842,475,0,0,"AUCell","Standard",TRUE,"youden"
