"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.570731016884654,80,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"B cells (PLA−)",0,0,0,602,-0.606273536151986,602,1,0.499999999169435,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.359998689003599,6,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",6,0,521,0,-0.306738184301621,527,0.0113851992409867,0.00569259960969146,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,1,0,2721,-0.364818500181806,2722,0.999632623071271,0.499816311352015,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-1.16390051684569,4,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",0,0,70,0,-0.498313117092735,70,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,1,0,1432,-0.0393279251889695,1433,0.999302163293789,0.49965108129822,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",5,0,245,0,0.655787966859613,250,0.02,0.00999999996,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,16,0,2210,0.755731768803644,2226,0.992812219227314,0.496406109390653,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.295098442558464,7,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,2,0,34,0.647121928699362,36,0.944444444444444,0.472222209104939,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA+)",1,0,24,0,0.280769839940678,25,0.04,0.0199999992,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,2,0,93,0.27200540806944,95,0.978947368421053,0.489473679058172,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",0,0,31,0,0.391256636150052,31,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,2,0,264,0.536714304436101,266,0.992481203007519,0.496240599638193,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Monocytes (PLA+)",0,0,12,0,0.43327710517047,12,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,7,0,4588,-0.168352027779664,4595,0.998476605005441,0.499238302394072,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.897505395395886,14,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"NK cells",0,0,0,0,0.0532423683913143,35,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.264269964135187,4,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"NK cells (PLA−)",0,1,0,97,0.351244964510045,98,0.989795918367347,0.494897954133694,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.0908592333644066,7071,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA+)",4,0,81,0,0.333874341219398,85,0.0470588235294118,0.0235294114878893,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,2,0,678,-0.186434358206568,680,0.997058823529412,0.498529411031574,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,0.709256273997334,53,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.431149738037972,1277,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.150272138310557,6912,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.281506252414866,25,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",0,0,252,0,-0.360723600806523,252,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,2,0,1437,-0.323524710602279,1439,0.998610145934677,0.499305072620358,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,-0.0712195283335861,11,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Plasmacytoid DCs",0,0,0,0,0.27556825898575,3,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.0817899007573467,535,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.213938079513989,248,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"R16",0,0,0,0,0.723199363477765,4,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"R40",0,0,0,0,0.0628694644101031,273,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.0929526446079541,1795,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.843691861933584,2,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
NA,0,0,0,0,-0.211327577740628,475,0,0,"AddModuleScore","Standard",FALSE,"gmm_dist_platelet"
