"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",2,0,78,0,-0.570731016884654,80,0.025,0.01249999984375,"AddModuleScore","Standard",FALSE,"kmeans"
"B cells (PLA−)",0,5,0,597,-0.606273536151986,602,0.991694352159468,0.495847175256068,"AddModuleScore","Standard",FALSE,"kmeans"
"CD4 T cells",0,0,0,0,-0.359998689003599,6,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"CD4 T cells (PLA+)",25,0,502,0,-0.306738184301621,527,0.047438330170778,0.0237191650403811,"AddModuleScore","Standard",FALSE,"kmeans"
"CD4 T cells (PLA−)",0,45,0,2677,-0.364818500181806,2722,0.983468038207201,0.491734018922949,"AddModuleScore","Standard",FALSE,"kmeans"
"CD8 T cells",0,0,0,0,-1.16390051684569,4,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"CD8 T cells (PLA+)",2,0,68,0,-0.498313117092735,70,0.0285714285714286,0.0142857140816327,"AddModuleScore","Standard",FALSE,"kmeans"
"CD8 T cells (PLA−)",0,53,0,1380,-0.0393279251889695,1433,0.96301465457083,0.481507326949402,"AddModuleScore","Standard",FALSE,"kmeans"
"Classical monocytes (PLA+)",151,0,99,0,0.655787966859613,250,0.604,0.301999998792,"AddModuleScore","Standard",FALSE,"kmeans"
"Classical monocytes (PLA−)",0,1486,0,740,0.755731768803644,2226,0.332434860736748,0.166217430293703,"AddModuleScore","Standard",FALSE,"kmeans"
"Dendritic cells",0,0,0,0,0.295098442558464,7,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"Dendritic cells (PLA−)",0,14,0,22,0.647121928699362,36,0.611111111111111,0.305555547067902,"AddModuleScore","Standard",FALSE,"kmeans"
"Early NK cells (PLA+)",4,0,21,0,0.280769839940678,25,0.16,0.0799999968000001,"AddModuleScore","Standard",FALSE,"kmeans"
"Early NK cells (PLA−)",0,11,0,84,0.27200540806944,95,0.884210526315789,0.442105258504155,"AddModuleScore","Standard",FALSE,"kmeans"
"Intermediate monocytes (PLA+)",16,0,15,0,0.391256636150052,31,0.516129032258065,0.258064507804371,"AddModuleScore","Standard",FALSE,"kmeans"
"Intermediate monocytes (PLA−)",0,149,0,117,0.536714304436101,266,0.43984962406015,0.21992481120329,"AddModuleScore","Standard",FALSE,"kmeans"
"Monocytes (PLA+)",6,0,6,0,0.43327710517047,12,0.5,0.249999979166668,"AddModuleScore","Standard",FALSE,"kmeans"
"Monocytes (PLA−)",0,555,0,4040,-0.168352027779664,4595,0.879216539717084,0.439608269762871,"AddModuleScore","Standard",FALSE,"kmeans"
"NK / Dendritic cells",0,0,0,0,0.897505395395886,14,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"NK cells",0,0,0,0,0.0532423683913143,35,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.264269964135187,4,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"NK cells (PLA−)",0,15,0,83,0.351244964510045,98,0.846938775510204,0.423469383433986,"AddModuleScore","Standard",FALSE,"kmeans"
"Neutrophils",0,0,0,0,-0.0908592333644066,7071,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"Neutrophils (PLA+)",28,0,57,0,0.333874341219398,85,0.329411764705882,0.164705880415225,"AddModuleScore","Standard",FALSE,"kmeans"
"Neutrophils (PLA−)",0,66,0,614,-0.186434358206568,680,0.902941176470588,0.451470587571367,"AddModuleScore","Standard",FALSE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,0.709256273997334,53,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"Non-B cells",0,0,0,0,0.431149738037972,1277,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.150272138310557,6912,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"Non-cDCs",0,0,0,0,0.281506252414866,25,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"Non-classical monocytes (PLA+)",25,0,227,0,-0.360723600806523,252,0.0992063492063492,0.0496031744063366,"AddModuleScore","Standard",FALSE,"kmeans"
"Non-classical monocytes (PLA−)",0,105,0,1334,-0.323524710602279,1439,0.927032661570535,0.463516330463157,"AddModuleScore","Standard",FALSE,"kmeans"
"Other immune cells",0,0,0,0,-0.0712195283335861,11,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,0.27556825898575,3,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"R11",0,0,0,0,-0.0817899007573467,535,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"R13",0,0,0,0,-0.213938079513989,248,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"R16",0,0,0,0,0.723199363477765,4,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"R40",0,0,0,0,0.0628694644101031,273,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"Singlets",0,0,0,0,0.0929526446079541,1795,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
"Total B cells",0,0,0,0,-0.843691861933584,2,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
NA,0,0,0,0,-0.211327577740628,475,0,0,"AddModuleScore","Standard",FALSE,"kmeans"
