"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",4,0,76,0,-0.570731016884654,80,0.05,0.0249999996875,"AddModuleScore","Standard",FALSE,"youden"
"B cells (PLA−)",0,8,0,594,-0.606273536151986,602,0.98671096345515,0.493355480908047,"AddModuleScore","Standard",FALSE,"youden"
"CD4 T cells",0,0,0,0,-0.359998689003599,6,0,0,"AddModuleScore","Standard",FALSE,"youden"
"CD4 T cells (PLA+)",34,0,493,0,-0.306738184301621,527,0.0645161290322581,0.0322580644549183,"AddModuleScore","Standard",FALSE,"youden"
"CD4 T cells (PLA−)",0,98,0,2624,-0.364818500181806,2722,0.96399706098457,0.48199853031521,"AddModuleScore","Standard",FALSE,"youden"
"CD8 T cells",0,0,0,0,-1.16390051684569,4,0,0,"AddModuleScore","Standard",FALSE,"youden"
"CD8 T cells (PLA+)",4,0,66,0,-0.498313117092735,70,0.0571428571428571,0.0285714281632653,"AddModuleScore","Standard",FALSE,"youden"
"CD8 T cells (PLA−)",0,125,0,1308,-0.0393279251889695,1433,0.912770411723657,0.456385205543346,"AddModuleScore","Standard",FALSE,"youden"
"Classical monocytes (PLA+)",83,0,167,0,0.655787966859613,250,0.332,0.165999999336,"AddModuleScore","Standard",FALSE,"youden"
"Classical monocytes (PLA−)",0,769,0,1457,0.755731768803644,2226,0.654537286612758,0.327268643159358,"AddModuleScore","Standard",FALSE,"youden"
"Dendritic cells",0,0,0,0,0.295098442558464,7,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Dendritic cells (PLA−)",0,11,0,25,0.647121928699362,36,0.694444444444444,0.347222212577161,"AddModuleScore","Standard",FALSE,"youden"
"Early NK cells (PLA+)",5,0,20,0,0.280769839940678,25,0.2,0.0999999960000002,"AddModuleScore","Standard",FALSE,"youden"
"Early NK cells (PLA−)",0,15,0,80,0.27200540806944,95,0.842105263157895,0.421052627146814,"AddModuleScore","Standard",FALSE,"youden"
"Intermediate monocytes (PLA+)",9,0,22,0,0.391256636150052,31,0.290322580645161,0.145161285639959,"AddModuleScore","Standard",FALSE,"youden"
"Intermediate monocytes (PLA−)",0,64,0,202,0.536714304436101,266,0.759398496240602,0.37969924669286,"AddModuleScore","Standard",FALSE,"youden"
"Monocytes (PLA+)",2,0,10,0,0.43327710517047,12,0.166666666666667,0.0833333263888895,"AddModuleScore","Standard",FALSE,"youden"
"Monocytes (PLA−)",0,261,0,4334,-0.168352027779664,4595,0.943199129488575,0.471599564641654,"AddModuleScore","Standard",FALSE,"youden"
"NK / Dendritic cells",0,0,0,0,0.897505395395886,14,0,0,"AddModuleScore","Standard",FALSE,"youden"
"NK cells",0,0,0,0,0.0532423683913143,35,0,0,"AddModuleScore","Standard",FALSE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.264269964135187,4,0,0,"AddModuleScore","Standard",FALSE,"youden"
"NK cells (PLA−)",0,23,0,75,0.351244964510045,98,0.76530612244898,0.382653057319867,"AddModuleScore","Standard",FALSE,"youden"
"Neutrophils",0,0,0,0,-0.0908592333644066,7071,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Neutrophils (PLA+)",20,0,65,0,0.333874341219398,85,0.235294117647059,0.117647057439446,"AddModuleScore","Standard",FALSE,"youden"
"Neutrophils (PLA−)",0,29,0,651,-0.186434358206568,680,0.957352941176471,0.478676469884299,"AddModuleScore","Standard",FALSE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,0.709256273997334,53,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Non-B cells",0,0,0,0,0.431149738037972,1277,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.150272138310557,6912,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Non-cDCs",0,0,0,0,0.281506252414866,25,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Non-classical monocytes (PLA+)",15,0,237,0,-0.360723600806523,252,0.0595238095238095,0.029761904643802,"AddModuleScore","Standard",FALSE,"youden"
"Non-classical monocytes (PLA−)",0,37,0,1402,-0.323524710602279,1439,0.974287699791522,0.487143849557232,"AddModuleScore","Standard",FALSE,"youden"
"Other immune cells",0,0,0,0,-0.0712195283335861,11,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Plasmacytoid DCs",0,0,0,0,0.27556825898575,3,0,0,"AddModuleScore","Standard",FALSE,"youden"
"R11",0,0,0,0,-0.0817899007573467,535,0,0,"AddModuleScore","Standard",FALSE,"youden"
"R13",0,0,0,0,-0.213938079513989,248,0,0,"AddModuleScore","Standard",FALSE,"youden"
"R16",0,0,0,0,0.723199363477765,4,0,0,"AddModuleScore","Standard",FALSE,"youden"
"R40",0,0,0,0,0.0628694644101031,273,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Singlets",0,0,0,0,0.0929526446079541,1795,0,0,"AddModuleScore","Standard",FALSE,"youden"
"Total B cells",0,0,0,0,-0.843691861933584,2,0,0,"AddModuleScore","Standard",FALSE,"youden"
NA,0,0,0,0,-0.211327577740628,475,0,0,"AddModuleScore","Standard",FALSE,"youden"
