"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.606210070062499,80,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"B cells (PLA−)",0,0,0,602,-0.648448908508005,602,1,0.499999999169435,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"CD4 T cells",0,0,0,0,-0.643078968280283,6,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA+)",4,0,523,0,-0.382624119164458,527,0.00759013282732448,0.00379506640646097,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"CD4 T cells (PLA−)",0,0,0,2722,-0.566937090309861,2722,1,0.499999999816312,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"CD8 T cells",0,0,0,0,-1.07680867055471,4,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA+)",0,0,70,0,-0.623599917831832,70,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"CD8 T cells (PLA−)",0,0,0,1433,-0.32343970022621,1433,1,0.499999999651082,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA+)",2,0,248,0,0.617176609292934,250,0.008,0.003999999984,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Classical monocytes (PLA−)",0,4,0,2222,0.648462657638631,2226,0.998203054806828,0.4991015271792,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Dendritic cells",0,0,0,0,0.110052022745821,7,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Dendritic cells (PLA−)",0,1,0,35,0.525422678129683,36,0.972222222222222,0.486111097608025,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA+)",2,0,23,0,0.314212574892629,25,0.08,0.0399999984000001,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Early NK cells (PLA−)",0,0,0,95,-0.00722783052710618,95,1,0.499999994736842,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA+)",1,0,30,0,0.483945344755065,31,0.032258064516129,0.0161290317377732,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Intermediate monocytes (PLA−)",0,1,0,265,0.514719720237409,266,0.996240601503759,0.498120298879247,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Monocytes (PLA+)",0,0,12,0,0.444781575332366,12,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Monocytes (PLA−)",0,4,0,4591,-0.0473174216851275,4595,0.999129488574538,0.49956474417855,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"NK / Dendritic cells",0,0,0,0,0.865339225148677,14,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"NK cells",0,0,0,0,-0.255174170764168,35,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"NK cells (PLA+)",0,0,4,0,-0.432511935089677,4,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"NK cells (PLA−)",0,0,0,98,-0.00610549636814624,98,1,0.499999994897959,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Neutrophils",0,0,0,0,-0.0753916033705326,7071,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA+)",2,0,83,0,0.370453760797046,85,0.0235294117647059,0.0117647057439446,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Neutrophils (PLA−)",0,2,0,678,-0.0995707404078372,680,0.997058823529412,0.498529411031574,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Non-B / Non-monocyte cells",0,0,0,0,1.12186695996714,53,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Non-B cells",0,0,0,0,0.39153226319746,1277,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Non-T / Non-NK cells",0,0,0,0,0.220966172510647,6912,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Non-cDCs",0,0,0,0,0.352986249088431,25,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA+)",0,0,252,0,-0.168541579629077,252,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Non-classical monocytes (PLA−)",0,0,0,1439,-0.12213203780045,1439,1,0.499999999652536,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Other immune cells",0,0,0,0,-0.0442042763579877,11,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Plasmacytoid DCs",0,0,0,0,0.309669274784418,3,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"R11",0,0,0,0,-0.265837177715036,535,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"R13",0,0,0,0,-0.45036604429356,248,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"R16",0,0,0,0,0.931543198632148,4,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"R40",0,0,0,0,0.221305400189899,273,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Singlets",0,0,0,0,0.0658120622969936,1795,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
"Total B cells",0,0,0,0,-0.834880216600642,2,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
NA,0,0,0,0,-0.213655977548616,475,0,0,"AddModuleScore","Standard",TRUE,"gmm_dist_platelet"
