"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",0,0,80,0,-0.606210070062499,80,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"B cells (PLA−)",0,2,0,600,-0.648448908508005,602,0.996677740863787,0.498338869604088,"AddModuleScore","Standard",TRUE,"kmeans"
"CD4 T cells",0,0,0,0,-0.643078968280283,6,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"CD4 T cells (PLA+)",10,0,517,0,-0.382624119164458,527,0.0189753320683112,0.00948766601615244,"AddModuleScore","Standard",TRUE,"kmeans"
"CD4 T cells (PLA−)",0,10,0,2712,-0.566937090309861,2722,0.996326230712711,0.498163115173342,"AddModuleScore","Standard",TRUE,"kmeans"
"CD8 T cells",0,0,0,0,-1.07680867055471,4,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"CD8 T cells (PLA+)",0,0,70,0,-0.623599917831832,70,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"CD8 T cells (PLA−)",0,10,0,1423,-0.32343970022621,1433,0.993021632937893,0.496510816122463,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical monocytes (PLA+)",46,0,204,0,0.617176609292934,250,0.184,0.091999999632,"AddModuleScore","Standard",TRUE,"kmeans"
"Classical monocytes (PLA−)",0,379,0,1847,0.648462657638631,2226,0.82973944294699,0.414869721287121,"AddModuleScore","Standard",TRUE,"kmeans"
"Dendritic cells",0,0,0,0,0.110052022745821,7,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Dendritic cells (PLA−)",0,5,0,31,0.525422678129683,36,0.861111111111111,0.430555543595679,"AddModuleScore","Standard",TRUE,"kmeans"
"Early NK cells (PLA+)",2,0,23,0,0.314212574892629,25,0.08,0.0399999984000001,"AddModuleScore","Standard",TRUE,"kmeans"
"Early NK cells (PLA−)",0,5,0,90,-0.00722783052710618,95,0.947368421052632,0.473684205540166,"AddModuleScore","Standard",TRUE,"kmeans"
"Intermediate monocytes (PLA+)",3,0,28,0,0.483945344755065,31,0.0967741935483871,0.0483870952133195,"AddModuleScore","Standard",TRUE,"kmeans"
"Intermediate monocytes (PLA−)",0,39,0,227,0.514719720237409,266,0.853383458646617,0.426691727719204,"AddModuleScore","Standard",TRUE,"kmeans"
"Monocytes (PLA+)",0,0,12,0,0.444781575332366,12,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Monocytes (PLA−)",0,170,0,4425,-0.0473174216851275,4595,0.963003264417845,0.481501632104135,"AddModuleScore","Standard",TRUE,"kmeans"
"NK / Dendritic cells",0,0,0,0,0.865339225148677,14,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"NK cells",0,0,0,0,-0.255174170764168,35,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"NK cells (PLA+)",0,0,4,0,-0.432511935089677,4,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"NK cells (PLA−)",0,4,0,94,-0.00610549636814624,98,0.959183673469388,0.4795918318409,"AddModuleScore","Standard",TRUE,"kmeans"
"Neutrophils",0,0,0,0,-0.0753916033705326,7071,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Neutrophils (PLA+)",11,0,74,0,0.370453760797046,85,0.129411764705882,0.0647058815916955,"AddModuleScore","Standard",TRUE,"kmeans"
"Neutrophils (PLA−)",0,14,0,666,-0.0995707404078372,680,0.979411764705882,0.489705881632785,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-B / Non-monocyte cells",0,0,0,0,1.12186695996714,53,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-B cells",0,0,0,0,0.39153226319746,1277,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-T / Non-NK cells",0,0,0,0,0.220966172510647,6912,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-cDCs",0,0,0,0,0.352986249088431,25,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-classical monocytes (PLA+)",8,0,244,0,-0.168541579629077,252,0.0317460317460317,0.0158730158100277,"AddModuleScore","Standard",TRUE,"kmeans"
"Non-classical monocytes (PLA−)",0,34,0,1405,-0.12213203780045,1439,0.976372480889507,0.488186240105499,"AddModuleScore","Standard",TRUE,"kmeans"
"Other immune cells",0,0,0,0,-0.0442042763579877,11,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Plasmacytoid DCs",0,0,0,0,0.309669274784418,3,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"R11",0,0,0,0,-0.265837177715036,535,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"R13",0,0,0,0,-0.45036604429356,248,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"R16",0,0,0,0,0.931543198632148,4,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"R40",0,0,0,0,0.221305400189899,273,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Singlets",0,0,0,0,0.0658120622969936,1795,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
"Total B cells",0,0,0,0,-0.834880216600642,2,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
NA,0,0,0,0,-0.213655977548616,475,0,0,"AddModuleScore","Standard",TRUE,"kmeans"
