"celltype_clean","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B cells (PLA+)",5,0,75,0,-0.606210070062499,80,0.0625,0.031249999609375,"AddModuleScore","Standard",TRUE,"youden"
"B cells (PLA−)",0,17,0,585,-0.648448908508005,602,0.971760797342193,0.485880397863986,"AddModuleScore","Standard",TRUE,"youden"
"CD4 T cells",0,0,0,0,-0.643078968280283,6,0,0,"AddModuleScore","Standard",TRUE,"youden"
"CD4 T cells (PLA+)",47,0,480,0,-0.382624119164458,527,0.0891840607210626,0.0445920302759165,"AddModuleScore","Standard",TRUE,"youden"
"CD4 T cells (PLA−)",0,97,0,2625,-0.566937090309861,2722,0.964364437913299,0.482182218779507,"AddModuleScore","Standard",TRUE,"youden"
"CD8 T cells",0,0,0,0,-1.07680867055471,4,0,0,"AddModuleScore","Standard",TRUE,"youden"
"CD8 T cells (PLA+)",4,0,66,0,-0.623599917831832,70,0.0571428571428571,0.0285714281632653,"AddModuleScore","Standard",TRUE,"youden"
"CD8 T cells (PLA−)",0,120,0,1313,-0.32343970022621,1433,0.91625959525471,0.458129797307655,"AddModuleScore","Standard",TRUE,"youden"
"Classical monocytes (PLA+)",149,0,101,0,0.617176609292934,250,0.596,0.297999998808,"AddModuleScore","Standard",TRUE,"youden"
"Classical monocytes (PLA−)",0,1316,0,910,0.648462657638631,2226,0.408805031446541,0.204402515631445,"AddModuleScore","Standard",TRUE,"youden"
"Dendritic cells",0,0,0,0,0.110052022745821,7,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Dendritic cells (PLA−)",0,16,0,20,0.525422678129683,36,0.555555555555556,0.277777770061729,"AddModuleScore","Standard",TRUE,"youden"
"Early NK cells (PLA+)",5,0,20,0,0.314212574892629,25,0.2,0.0999999960000002,"AddModuleScore","Standard",TRUE,"youden"
"Early NK cells (PLA−)",0,18,0,77,-0.00722783052710618,95,0.810526315789474,0.405263153628809,"AddModuleScore","Standard",TRUE,"youden"
"Intermediate monocytes (PLA+)",15,0,16,0,0.483945344755065,31,0.483870967741935,0.241935476066598,"AddModuleScore","Standard",TRUE,"youden"
"Intermediate monocytes (PLA−)",0,135,0,131,0.514719720237409,266,0.492481203007519,0.246240600578043,"AddModuleScore","Standard",TRUE,"youden"
"Monocytes (PLA+)",7,0,5,0,0.444781575332366,12,0.583333333333333,0.291666642361113,"AddModuleScore","Standard",TRUE,"youden"
"Monocytes (PLA−)",0,732,0,3863,-0.0473174216851275,4595,0.84069640914037,0.420348204478705,"AddModuleScore","Standard",TRUE,"youden"
"NK / Dendritic cells",0,0,0,0,0.865339225148677,14,0,0,"AddModuleScore","Standard",TRUE,"youden"
"NK cells",0,0,0,0,-0.255174170764168,35,0,0,"AddModuleScore","Standard",TRUE,"youden"
"NK cells (PLA+)",0,0,4,0,-0.432511935089677,4,0,0,"AddModuleScore","Standard",TRUE,"youden"
"NK cells (PLA−)",0,19,0,79,-0.00610549636814624,98,0.806122448979592,0.403061220376926,"AddModuleScore","Standard",TRUE,"youden"
"Neutrophils",0,0,0,0,-0.0753916033705326,7071,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Neutrophils (PLA+)",30,0,55,0,0.370453760797046,85,0.352941176470588,0.17647058615917,"AddModuleScore","Standard",TRUE,"youden"
"Neutrophils (PLA−)",0,97,0,583,-0.0995707404078372,680,0.857352941176471,0.428676469957829,"AddModuleScore","Standard",TRUE,"youden"
"Non-B / Non-monocyte cells",0,0,0,0,1.12186695996714,53,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Non-B cells",0,0,0,0,0.39153226319746,1277,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Non-T / Non-NK cells",0,0,0,0,0.220966172510647,6912,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Non-cDCs",0,0,0,0,0.352986249088431,25,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Non-classical monocytes (PLA+)",41,0,211,0,-0.168541579629077,252,0.162698412698413,0.081349206026392,"AddModuleScore","Standard",TRUE,"youden"
"Non-classical monocytes (PLA−)",0,191,0,1248,-0.12213203780045,1439,0.86726893676164,0.433634468079476,"AddModuleScore","Standard",TRUE,"youden"
"Other immune cells",0,0,0,0,-0.0442042763579877,11,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Plasmacytoid DCs",0,0,0,0,0.309669274784418,3,0,0,"AddModuleScore","Standard",TRUE,"youden"
"R11",0,0,0,0,-0.265837177715036,535,0,0,"AddModuleScore","Standard",TRUE,"youden"
"R13",0,0,0,0,-0.45036604429356,248,0,0,"AddModuleScore","Standard",TRUE,"youden"
"R16",0,0,0,0,0.931543198632148,4,0,0,"AddModuleScore","Standard",TRUE,"youden"
"R40",0,0,0,0,0.221305400189899,273,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Singlets",0,0,0,0,0.0658120622969936,1795,0,0,"AddModuleScore","Standard",TRUE,"youden"
"Total B cells",0,0,0,0,-0.834880216600642,2,0,0,"AddModuleScore","Standard",TRUE,"youden"
NA,0,0,0,0,-0.213655977548616,475,0,0,"AddModuleScore","Standard",TRUE,"youden"
