"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.55588822287297,28,1,0.499999982142858,"AUCell","GNATENKO",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,142,-0.19501869070228,142,1,0.499999996478873,"AUCell","GNATENKO",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,-0.42656566840495,35,1,0.499999985714286,"AUCell","GNATENKO",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,30,-0.339014260848065,30,1,0.499999983333334,"AUCell","GNATENKO",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,-0.505437026542763,205,0.995121951219512,0.49999999754902,"AUCell","GNATENKO",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,-0.772444001268144,15,1,0.499999966666669,"AUCell","GNATENKO",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,2,-1.21366924061664,2,1,0.499999750000125,"AUCell","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",17,0,25551,149,0.517222669968276,25717,0.00645487420772252,0.500332443452793,"AUCell","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,287,6,0.421780824625501,293,0.0204778156996587,0.499999916666681,"AUCell","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","Doublet",1,0,108,0,0.76556809137725,109,0.00917431192660551,0.00458715592121875,"AUCell","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-1.49720267307027,1,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","Platelet",50,0,9,0,5.41460000684688,59,0.847457627118644,0.423728806377478,"AUCell","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,1.22164462462136,2,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,87,0,0.825374709142492,87,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,25,0,0.947519245731626,25,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.367926127689104,5,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,1.41118661285234,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD14 Mono",0,0,85,9,0.32577356661416,94,0.0957446808510638,0.499999944444451,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD16 Mono",0,0,51,3,0.36553385817668,54,0.0555555555555556,0.499999833333389,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,0,2,0.498667781145726,2,1,0.499999750000125,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,12,16,-1.0024112196565,28,0.571428571428571,0.499999968750002,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,9,11,-0.567355560888489,20,0.55,0.499999954545459,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD4 TCM_2",0,0,5,5,0.482185869125641,10,0.5,0.49999990000002,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD4 TCM_3",0,0,13,4,-0.0819331180355747,17,0.235294117647059,0.499999875000031,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,1,0.929870236157686,2,0.5,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,2,-0.137985843583782,7,0.285714285714286,0.499999750000125,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD8 Naive",0,0,22,14,-0.668899977406227,36,0.388888888888889,0.499999964285717,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD8 Naive_2",0,0,1,1,0.701573481825424,2,0.5,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD8 Proliferating",0,0,2,0,1.12253042396003,2,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.198027094514093,2,1,0.499999750000125,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,1,-0.100249265097641,3,0.333333333333333,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.318820206481113,3,0.333333333333333,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TEM_1",0,0,5,2,0.439962901460288,7,0.285714285714286,0.499999750000125,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,0.666382372377134,2,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,2,0.925415665341446,4,0.5,0.499999750000125,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,0.898020054821575,1,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","Doublet",4,0,11,1,1.74892660392608,16,0.3125,0.633332824444945,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","HSPC",0,0,1,0,0.245870887324149,1,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","MAIT",0,0,2,0,-0.491806039845071,2,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,1.0940211707361,1,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","NK_1",0,0,0,1,1.04724817716559,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","NK_3",0,0,1,0,0.830756035496362,1,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.202704393871144,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","Platelet",13,2,2,0,5.87146976107947,17,0.764705882352941,0.433333304444446,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","Treg Memory",0,0,2,0,-0.482451441130969,2,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","Treg Naive",0,0,3,1,-1.64164213178683,4,0.25,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","cDC2_1",0,0,8,0,0.848407272355711,8,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","cDC2_2",0,0,12,3,0.994624847256417,15,0.2,0.499999833333389,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","dnT_2",0,0,1,0,-0.790707741614725,1,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","gdT_1",0,0,1,0,0.0899609087557751,1,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","gdT_2",0,0,0,1,1.63881518156216,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","gdT_3",0,0,0,1,-0.13187671789294,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"DCs","pDC",0,0,2,0,0.0708062542459463,2,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","CD16 Mono",0,0,0,5,0.320351311371669,5,1,0.49999990000002,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","CD4 Naive",0,0,0,1,-1.84332282549206,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.22274996254422,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.0877764668121706,1,0,0,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,0.789996712527773,2,1,0.499999750000125,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,0.398840849153805,5,1,0.49999990000002,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,0.587870561740917,16,0.9375,0.499999966666669,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","NK Proliferating",0,0,0,21,0.951708239278249,21,1,0.499999976190477,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","NK_1",0,0,10,549,0.513865517697051,559,0.98211091234347,0.499999999089253,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","NK_2",0,0,4,211,0.323718138151385,215,0.981395348837209,0.499999997630332,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","NK_3",0,0,1,36,0.355043990463764,37,0.972972972972973,0.499999986111112,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","NK_4",0,0,0,17,-0.0111316454151132,17,1,0.499999970588237,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","NK_CD56bright",0,0,0,1,0.461472114830129,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","gdT_2",0,0,0,1,1.51720539827883,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"Intermediate-Monocytes","CD14 Mono",1,0,482,14,0.381244129250171,497,0.0301810865191147,0.501035160970944,"AUCell","GNATENKO",FALSE,"kmeans"
"Intermediate-Monocytes","CD16 Mono",0,0,1538,23,0.442948120250081,1561,0.0147341447789878,0.499999978260871,"AUCell","GNATENKO",FALSE,"kmeans"
"Intermediate-Monocytes","Doublet",17,0,92,0,2.16197387321284,109,0.155963302752294,0.0779816506607188,"AUCell","GNATENKO",FALSE,"kmeans"
"Intermediate-Monocytes","Platelet",2,0,1,0,4.29136361693876,3,0.666666666666667,0.333333222222259,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","ASDC_mDC",0,0,0,7,0.806510442910832,7,1,0.499999928571439,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","ASDC_pDC",0,0,0,3,0.743594933191948,3,1,0.499999833333389,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.671659336550731,4,1,0.499999875000031,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-0.205377136360887,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.715128523432532,3,1,0.499999833333389,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.744380205125837,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","B naive kappa",0,0,0,1,-1.3488654648895,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","CD14 Mono",0,0,2,4,0.510546636655698,6,0.666666666666667,0.499999875000031,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","CD16 Mono",0,0,572,696,0.483618849753357,1268,0.548895899053628,0.499999999281609,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","CD4 CTL",0,0,0,1,0.530072505400213,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"kmeans"
"Late-NK-cells","CD4 Naive",0,0,0,78,-0.842312231224389,78,1,0.499999993589744,"AUCell","GNATENKO",FALSE,"kmeans"
