"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,3,0,25,-0.55588822287297,28,0.892857142857143,0.446428555484694,"AUCell","GNATENKO",FALSE,"youden"
"B-cells","B intermediate lambda",0,57,0,85,-0.19501869070228,142,0.598591549295775,0.299295772540171,"AUCell","GNATENKO",FALSE,"youden"
"B-cells","B memory kappa",0,11,0,24,-0.42656566840495,35,0.685714285714286,0.342857133061225,"AUCell","GNATENKO",FALSE,"youden"
"B-cells","B memory lambda",0,9,0,21,-0.339014260848065,30,0.7,0.349999988333334,"AUCell","GNATENKO",FALSE,"youden"
"B-cells","B naive kappa",0,21,1,183,-0.505437026542763,205,0.892682926829268,0.448529409566032,"AUCell","GNATENKO",FALSE,"youden"
"B-cells","B naive lambda",0,2,0,13,-0.772444001268144,15,0.866666666666667,0.433333304444446,"AUCell","GNATENKO",FALSE,"youden"
"B-cells","Plasma",0,1,0,1,-1.21366924061664,2,0.5,0.249999875000062,"AUCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",20596,111,4972,38,0.517222669968276,25717,0.802348640976786,0.530285864009867,"AUCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",232,4,55,2,0.421780824625501,293,0.798634812286689,0.570847822149586,"AUCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","Doublet",92,0,17,0,0.76556809137725,109,0.844036697247706,0.422018344752125,"AUCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-1.49720267307027,1,0,0,"AUCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,5.41460000684688,59,1,0.499999991525424,"AUCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","cDC1",2,0,0,0,1.22164462462136,2,1,0.499999750000125,"AUCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","cDC2_1",81,0,6,0,0.825374709142492,87,0.931034482758621,0.465517236028538,"AUCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","cDC2_2",25,0,0,0,0.947519245731626,25,1,0.499999980000001,"AUCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.367926127689104,5,1,0.49999990000002,"AUCell","GNATENKO",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,1.41118661285234,1,0,0,"AUCell","GNATENKO",FALSE,"youden"
"DCs","CD14 Mono",55,7,30,2,0.32577356661416,94,0.606382978723404,0.434640506723911,"AUCell","GNATENKO",FALSE,"youden"
"DCs","CD16 Mono",37,1,14,2,0.36553385817668,54,0.722222222222222,0.696078313148826,"AUCell","GNATENKO",FALSE,"youden"
"DCs","CD4 CTL",0,2,0,0,0.498667781145726,2,0,0,"AUCell","GNATENKO",FALSE,"youden"
"DCs","CD4 Naive",1,1,11,15,-1.0024112196565,28,0.571428571428571,0.510416633897572,"AUCell","GNATENKO",FALSE,"youden"
"DCs","CD4 TCM_1",2,3,7,8,-0.567355560888489,20,0.5,0.474747429343949,"AUCell","GNATENKO",FALSE,"youden"
"DCs","CD4 TCM_2",4,3,1,2,0.482185869125641,10,0.6,0.599999880000024,"AUCell","GNATENKO",FALSE,"youden"
"DCs","CD4 TCM_3",7,1,6,3,-0.0819331180355747,17,0.588235294117647,0.644230654770735,"AUCell","GNATENKO",FALSE,"youden"
"DCs","CD4 TEM_1",1,1,0,0,0.929870236157686,2,0.5,0.4999995000005,"AUCell","GNATENKO",FALSE,"youden"
