"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.593198520063549,36,1,0.499999986111112,"AUCell","GNATENKO",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.307011418052568,166,0.987951807228916,0.493975900638699,"AUCell","GNATENKO",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.39653716415878,45,0.977777777777778,0.499999988636364,"AUCell","GNATENKO",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.371739592092554,34,1,0.499999985294118,"AUCell","GNATENKO",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.596543986010587,248,0.995967741935484,0.499999997975708,"AUCell","GNATENKO",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.769958105558321,20,1,0.499999975000001,"AUCell","GNATENKO",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-2.50739672011014,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",29757,163,3373,24,0.571697805773336,33317,0.893867995317706,0.513265598943399,"AUCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",450,5,36,1,0.420986347783157,492,0.916666666666667,0.546296281454811,"AUCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",126,0,14,0,0.822470420284648,140,0.9,0.449999996785714,"AUCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.659286961345434,11,0.909090909090909,0.454545413223144,"AUCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-1.20484492516324,1,0,0,"AUCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,7.08778183156562,62,0.112903225806452,0.0564516119927159,"AUCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,1.23210108898245,3,0,0,"AUCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",92,0,73,0,0.94805159048114,165,0.557575757575758,0.278787877098255,"AUCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",9,0,35,0,0.944002225581647,44,0.204545454545455,0.102272724948347,"AUCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.411636713425499,5,0,0,"AUCell","GNATENKO",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,1.33559297278284,1,1,0.4999995000005,"AUCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",83,5,25,4,0.40552888313865,117,0.743589743589744,0.60648145323217,"AUCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",49,4,16,1,0.313335681087584,70,0.714285714285714,0.476923051124264,"AUCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,0.396614993681122,5,0.4,0.499999750000125,"AUCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-1.0082772876526,40,0.525,0.499999976190477,"AUCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.621316346636518,29,0.517241379310345,0.499999966666669,"AUCell","GNATENKO",FALSE,"youden_dual"
