"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.428927039993884,36,1,0.499999986111112,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,166,-0.251124293535004,166,1,0.499999996987952,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.28636790558901,45,0.977777777777778,0.499999988636364,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.244975473171358,34,1,0.499999985294118,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.43701071371045,248,0.995967741935484,0.499999997975708,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.506450247702829,20,1,0.499999975000001,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,-1.57621223007497,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",274,0,32856,187,0.35031979960766,33317,0.0138367800222109,0.504135222197796,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",0,0,486,6,0.231554176884224,492,0.0121951219512195,0.499999916666681,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",15,0,125,0,0.668087506254475,140,0.107142857142857,0.0535714281887755,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",0,0,11,0,0.868246069805676,11,0,0,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.831490327915972,1,0,0,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",5,0,57,0,12.246270037495,62,0.0806451612903226,0.0403225799947971,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,0.797178382273007,3,0,0,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",0,0,165,0,0.668071461360199,165,0,0,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",0,0,44,0,0.634182778962821,44,0,0,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.771730433676305,5,0,0,"AUCell","GNATENKO",TRUE,"gmm_dist_dual"
