"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,3,0,33,-0.428927039993884,36,0.916666666666667,0.458333320601852,"AUCell","GNATENKO",TRUE,"youden"
"B-cells","B intermediate lambda",0,52,0,114,-0.251124293535004,166,0.686746987951807,0.343373491907389,"AUCell","GNATENKO",TRUE,"youden"
"B-cells","B memory kappa",1,15,0,29,-0.28636790558901,45,0.666666666666667,0.829544947056285,"AUCell","GNATENKO",TRUE,"youden"
"B-cells","B memory lambda",0,10,0,24,-0.244975473171358,34,0.705882352941177,0.352941166089966,"AUCell","GNATENKO",TRUE,"youden"
"B-cells","B naive kappa",0,15,1,232,-0.43701071371045,248,0.935483870967742,0.469635625629006,"AUCell","GNATENKO",TRUE,"youden"
"B-cells","B naive lambda",0,4,0,16,-0.506450247702829,20,0.8,0.399999980000001,"AUCell","GNATENKO",TRUE,"youden"
"B-cells","Plasma",0,0,0,1,-1.57621223007497,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",26557,127,6573,60,0.35031979960766,33317,0.798901461716241,0.561227685880138,"AUCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",382,4,104,2,0.231554176884224,492,0.780487804878049,0.559670753306581,"AUCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","Doublet",112,0,28,0,0.668087506254475,140,0.8,0.399999997142857,"AUCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","Eryth",10,0,1,0,0.868246069805676,11,0.909090909090909,0.454545413223144,"AUCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.831490327915972,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,12.246270037495,62,1,0.499999991935484,"AUCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","cDC1",3,0,0,0,0.797178382273007,3,1,0.499999833333389,"AUCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","cDC2_1",158,0,7,0,0.668071461360199,165,0.957575757575758,0.478787875886134,"AUCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","cDC2_2",44,0,0,0,0.634182778962821,44,1,0.499999988636364,"AUCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.771730433676305,5,1,0.49999990000002,"AUCell","GNATENKO",TRUE,"youden"
"DCs","ASDC_mDC",0,1,0,0,1.06060569532726,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD14 Mono",80,6,28,3,0.262624120435237,117,0.709401709401709,0.537037015089165,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD16 Mono",48,2,17,3,0.169381008541925,70,0.728571428571429,0.669230703550308,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD4 CTL",2,2,1,0,0.145267611350892,5,0.4,0.333333222222259,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD4 Naive",1,0,18,21,-0.691510192602754,40,0.55,0.52631576427912,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD4 TCM_1",4,3,10,12,-0.436090349736524,29,0.551724137931034,0.542857105986397,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD4 TCM_2",3,2,0,0,0.357158723988987,5,0.6,0.499999833333389,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD4 TCM_3",9,1,8,4,-0.0768504422716367,22,0.590909090909091,0.664705786782024,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD4 TEM_1",1,2,0,0,0.356600510922995,3,0.333333333333333,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD4 TEM_3",2,0,3,3,-0.129865758057847,8,0.625,0.699999793333397,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD8 Naive",5,2,24,13,-0.45152297753818,44,0.409090909090909,0.519540198023519,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD8 Naive_2",0,0,0,1,-0.195127432684875,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD8 Proliferating",1,0,0,0,0.490982097544938,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD8 TCM_1",0,1,0,1,0.00472105395600576,2,0.5,0.249999875000062,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD8 TCM_2",0,2,2,0,-0.0591245654668513,4,0,0,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD8 TCM_3",1,0,1,1,-0.171075016753153,3,0.666666666666667,0.749999375000562,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD8 TEM_1",4,1,3,1,-0.0406884844270358,9,0.555555555555556,0.535714119898028,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD8 TEM_2",2,0,0,0,0.161718478766309,2,1,0.499999750000125,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD8 TEM_4",2,5,0,0,0.42638887133727,7,0.285714285714286,0.499999750000125,"AUCell","GNATENKO",TRUE,"youden"
"DCs","CD8 TEM_5",1,0,0,0,0.662632615337537,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"DCs","Doublet",14,0,2,1,2.9245254794696,17,0.882352941176471,0.937499472656752,"AUCell","GNATENKO",TRUE,"youden"
"DCs","HSPC",1,0,0,0,0.512161357989936,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"DCs","MAIT",1,0,2,0,-0.29929984161783,3,0.333333333333333,0.16666661111113,"AUCell","GNATENKO",TRUE,"youden"
"DCs","NK Proliferating",1,0,0,0,1.1440913847558,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"DCs","NK_1",0,1,0,0,0.825171125729381,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"DCs","NK_2",0,0,1,0,-0.124201537241161,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"DCs","NK_CD56bright",0,0,0,1,-0.29585205503376,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"DCs","Platelet",20,2,0,0,11.8604053759947,22,0.909090909090909,0.499999975000001,"AUCell","GNATENKO",TRUE,"youden"
"DCs","Treg Memory",0,0,2,0,-0.434871735512845,2,0,0,"AUCell","GNATENKO",TRUE,"youden"
"DCs","Treg Naive",0,0,3,1,-0.759456215355951,4,0.25,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"DCs","cDC2_1",16,0,0,0,0.655675474551825,16,1,0.499999968750002,"AUCell","GNATENKO",TRUE,"youden"
"DCs","cDC2_2",36,12,2,1,0.586723364495,51,0.725490196078431,0.512145733563901,"AUCell","GNATENKO",TRUE,"youden"
"DCs","gdT_1",0,0,1,0,-0.0779026888265152,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"DCs","gdT_2",0,2,0,0,0.774193138379211,2,0,0,"AUCell","GNATENKO",TRUE,"youden"
"DCs","gdT_3",0,1,0,0,0.0329190228042873,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"DCs","gdT_4",1,0,0,0,0.838223460654786,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"DCs","pDC",2,0,1,0,0.389764934255472,3,0.666666666666667,0.333333222222259,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","CD16 Mono",1,3,0,2,0.10844196702676,6,0.5,0.699999460000508,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","CD4 Naive",0,0,0,1,-1.24867250458837,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.374658605526775,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-0.187739318576155,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","CD8 TEM_2",0,2,0,0,0.393335856074687,2,0,0,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","CD8 TEM_4",0,4,0,1,0.160782650979205,5,0.2,0.099999980000004,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","CD8 TEM_5",0,13,1,3,0.23232567124847,17,0.176470588235294,0.0937499941406254,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","NK Proliferating",0,29,0,1,0.477412594631922,30,0.0333333333333333,0.0166666661111111,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","NK_1",7,544,5,176,0.216526106503526,732,0.25,0.413888864413582,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","NK_2",3,190,1,94,0.132055713683277,288,0.336805555555556,0.540492863413781,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","NK_3",0,21,1,18,0.0971340479325804,40,0.45,0.230769224852071,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","NK_4",0,8,0,11,-0.163177079565585,19,0.578947368421053,0.28947366897507,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","NK_CD56bright",0,1,0,0,0.270816297105077,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","cDC2_2",0,1,0,0,0.312682277054491,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","gdT_2",0,1,0,0,0.705237406697823,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"Early-NK-cells","pDC",0,1,0,0,0.0329190228042873,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"Intermediate-Monocytes","CD14 Mono",431,11,182,5,0.262171772918197,629,0.693163751987281,0.507799744962679,"AUCell","GNATENKO",TRUE,"youden"
"Intermediate-Monocytes","CD16 Mono",1612,27,495,6,0.205911829739629,2140,0.75607476635514,0.473443497085198,"AUCell","GNATENKO",TRUE,"youden"
"Intermediate-Monocytes","Doublet",126,0,4,0,2.57585864493171,130,0.969230769230769,0.484615380887574,"AUCell","GNATENKO",TRUE,"youden"
"Intermediate-Monocytes","Platelet",4,0,0,0,9.17835763990113,4,1,0.499999875000031,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","ASDC_mDC",0,17,0,0,0.572946704656975,17,0,0,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","ASDC_pDC",3,7,0,0,0.539226482674881,10,0.3,0.499999833333389,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.440474388711957,4,1,0.499999875000031,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","B intermediate lambda",0,1,0,1,0.0582848812442269,2,0.5,0.249999875000062,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.67798173476812,3,1,0.499999833333389,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.709093904181508,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","B naive kappa",0,0,0,1,-0.872617496454515,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","CD14 Mono",1,2,1,2,0.0153517292568861,6,0.5,0.499999812500078,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","CD16 Mono",495,552,140,193,0.187436611052882,1380,0.498550724637681,0.519293980082174,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","CD4 CTL",0,1,0,1,0.035012321801758,2,0.5,0.249999875000062,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","CD4 Naive",0,11,0,73,-0.619706518839933,84,0.869047619047619,0.434523804350907,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","CD4 Proliferating",0,1,0,0,0.0260234496361488,1,0,0,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.54694942654213,5,1,0.49999990000002,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-1.15730616011053,1,1,0.4999995000005,"AUCell","GNATENKO",TRUE,"youden"
"Late-NK-cells","CD8 Naive",1,22,0,236,-0.498674328917243,259,0.915057915057915,0.957363839313041,"AUCell","GNATENKO",TRUE,"youden"
