"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.712837288438273,36,1,0.499999986111112,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,166,-0.429192783380439,166,1,0.499999996987952,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.518535531407406,45,0.977777777777778,0.499999988636364,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.533790066691436,34,1,0.499999985294118,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.943677288171958,248,0.995967741935484,0.499999997975708,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.836726434364891,20,1,0.499999975000001,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,-2.25560905433812,1,1,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",53,0,33077,187,0.315769570939844,33317,0.00720352972956749,0.500799876589686,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",0,0,486,6,0.282019681399358,492,0.0121951219512195,0.499999916666681,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",2,0,138,0,0.555502863388361,140,0.0142857142857143,0.00714285709183674,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",0,0,11,0,0.43792862174637,11,0,0,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-1.80870980275562,1,0,0,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",4,0,58,0,10.1439973952428,62,0.0645161290322581,0.0322580639958377,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,1.01009780602583,3,0,0,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",0,0,165,0,0.337177321080977,165,0,0,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",0,0,44,0,0.417296849095618,44,0,0,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.108380824448703,5,0,0,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,0.940264036614046,1,1,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",0,0,108,9,0.278225358762746,117,0.0769230769230769,0.499999944444451,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",0,0,65,5,0.701841413381874,70,0.0714285714285714,0.49999990000002,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,0.478627603496683,5,0.4,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-0.804687576708903,40,0.525,0.499999976190477,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,14,15,-0.309429741043868,29,0.517241379310345,0.499999966666669,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,3,2,0.273404906890397,5,0.4,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,17,5,-0.134091658290037,22,0.227272727272727,0.49999990000002,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,2,0.791013926041831,3,0.666666666666667,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,3,-0.268510365495522,8,0.375,0.499999833333389,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,29,15,-0.676222428078573,44,0.340909090909091,0.499999966666669,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,0,1,-0.362467700325876,1,1,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,1,0,0.696129842540587,1,0,0,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,0.0531007174603409,2,1,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,2,-0.203344308521356,4,0.5,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,0.0939783163308693,3,0.333333333333333,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,7,2,0.553087875610941,9,0.222222222222222,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,0.78927498708181,2,0,0,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,5,1.25878053452877,7,0.714285714285714,0.49999990000002,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,1.03532891798581,1,0,0,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","Doublet",5,0,11,1,2.28418604177836,17,0.352941176470588,0.656249490234876,"AddModuleScore","GNATENKO",FALSE,"gmm_dist_dual"
