"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.608453956123747,28,1,0.499999982142858,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,142,-0.31120642677125,142,1,0.499999996478873,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,-0.545632794071504,35,1,0.499999985714286,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,30,-0.420584653734268,30,1,0.499999983333334,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,-0.820147680340283,205,0.995121951219512,0.49999999754902,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,-0.874287266995481,15,1,0.499999966666669,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,2,-0.827123965333736,2,1,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",1,0,25567,149,0.350657332901782,25717,0.00583271765758059,0.500019552338913,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,287,6,0.346256382814467,293,0.0204778156996587,0.499999916666681,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","Doublet",0,0,109,0,0.553118264708233,109,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-1.52890845789001,1,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","Platelet",52,0,7,0,7.05839253748692,59,0.88135593220339,0.440677958632577,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,0.949945137369223,2,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,87,0,0.386782476387078,87,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,25,0,0.434561489135966,25,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.112346635207691,5,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,0.822014339698141,1,1,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD14 Mono",0,0,85,9,0.287635171650181,94,0.0957446808510638,0.499999944444451,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD16 Mono",0,0,51,3,0.656186108508049,54,0.0555555555555556,0.499999833333389,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,0,2,0.657300962927083,2,1,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,12,16,-0.7949535423419,28,0.571428571428571,0.499999968750002,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,9,11,-0.390949557396511,20,0.55,0.499999954545459,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD4 TCM_2",0,0,5,5,0.228818094728251,10,0.5,0.49999990000002,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD4 TCM_3",0,0,13,4,-0.271181285364625,17,0.235294117647059,0.499999875000031,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,1,0.580972149521762,2,0.5,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,2,-0.227582440580044,7,0.285714285714286,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD8 Naive",0,0,22,14,-0.65620493844467,36,0.388888888888889,0.499999964285717,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD8 Naive_2",0,0,1,1,0.354057360951182,2,0.5,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD8 Proliferating",0,0,2,0,0.77981026010914,2,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.131128038051347,2,1,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,1,-0.237572707716195,3,0.333333333333333,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,0.0168251812183447,3,0.333333333333333,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TEM_1",0,0,5,2,0.499057190732785,7,0.285714285714286,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,0.686544995165381,2,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,2,0.996923104067033,4,0.5,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,0.97594179136137,1,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","Doublet",0,0,15,1,1.60077429082008,16,0.0625,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","HSPC",0,0,1,0,-0.743208348119466,1,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","MAIT",0,0,2,0,-0.0216852119745144,2,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,0.920064405551893,1,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","NK_1",0,0,0,1,0.918329487038795,1,1,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","NK_3",0,0,1,0,1.01482273636533,1,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.532603898228268,1,1,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","Platelet",13,2,2,0,7.66525447766343,17,0.764705882352941,0.433333304444446,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","Treg Memory",0,0,2,0,-0.533542066116732,2,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","Treg Naive",0,0,3,1,-1.05345190786811,4,0.25,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","cDC2_1",0,0,8,0,0.365925391289602,8,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","cDC2_2",0,0,12,3,0.436396427398327,15,0.2,0.499999833333389,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","dnT_2",0,0,1,0,-0.289897603306823,1,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","gdT_1",0,0,1,0,-0.0400204091027401,1,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","gdT_2",0,0,0,1,1.11766946076871,1,1,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","gdT_3",0,0,0,1,-0.813514566763629,1,1,0.4999995000005,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"DCs","pDC",0,0,2,0,-0.353390895678914,2,0,0,"AddModuleScore","GNATENKO",FALSE,"kmeans"
"Early-NK-cells","CD16 Mono",0,0,0,5,0.77682668366532,5,1,0.49999990000002,"AddModuleScore","GNATENKO",FALSE,"kmeans"
