"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,3,0,25,-0.608453956123747,28,0.892857142857143,0.446428555484694,"AddModuleScore","GNATENKO",FALSE,"youden"
"B-cells","B intermediate lambda",0,49,0,93,-0.31120642677125,142,0.654929577464789,0.327464786426304,"AddModuleScore","GNATENKO",FALSE,"youden"
"B-cells","B memory kappa",0,5,0,30,-0.545632794071504,35,0.857142857142857,0.428571416326531,"AddModuleScore","GNATENKO",FALSE,"youden"
"B-cells","B memory lambda",0,9,0,21,-0.420584653734268,30,0.7,0.349999988333334,"AddModuleScore","GNATENKO",FALSE,"youden"
"B-cells","B naive kappa",0,2,1,202,-0.820147680340283,205,0.985365853658537,0.495098036788735,"AddModuleScore","GNATENKO",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.874287266995481,15,1,0.499999966666669,"AddModuleScore","GNATENKO",FALSE,"youden"
"B-cells","Plasma",0,1,0,1,-0.827123965333736,2,0.5,0.249999875000062,"AddModuleScore","GNATENKO",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",23058,137,2510,12,0.350657332901782,25717,0.897071975735895,0.49118366259608,"AddModuleScore","GNATENKO",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",267,4,20,2,0.346256382814467,293,0.918088737201365,0.631823431693225,"AddModuleScore","GNATENKO",FALSE,"youden"
"Classical-Monocytes","Doublet",101,0,8,0,0.553118264708233,109,0.926605504587156,0.463302748043094,"AddModuleScore","GNATENKO",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-1.52890845789001,1,0,0,"AddModuleScore","GNATENKO",FALSE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,7.05839253748692,59,1,0.499999991525424,"AddModuleScore","GNATENKO",FALSE,"youden"
"Classical-Monocytes","cDC1",2,0,0,0,0.949945137369223,2,1,0.499999750000125,"AddModuleScore","GNATENKO",FALSE,"youden"
"Classical-Monocytes","cDC2_1",82,0,5,0,0.386782476387078,87,0.942528735632184,0.47126436239926,"AddModuleScore","GNATENKO",FALSE,"youden"
"Classical-Monocytes","cDC2_2",24,0,1,0,0.434561489135966,25,0.96,0.479999980800001,"AddModuleScore","GNATENKO",FALSE,"youden"
"Classical-Monocytes","pDC",3,0,2,0,0.112346635207691,5,0.6,0.299999940000012,"AddModuleScore","GNATENKO",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.822014339698141,1,0,0,"AddModuleScore","GNATENKO",FALSE,"youden"
"DCs","CD14 Mono",65,8,20,1,0.287635171650181,94,0.702127659574468,0.437908486060917,"AddModuleScore","GNATENKO",FALSE,"youden"
"DCs","CD16 Mono",51,3,0,0,0.656186108508049,54,0.944444444444444,0.499999990196079,"AddModuleScore","GNATENKO",FALSE,"youden"
"DCs","CD4 CTL",0,2,0,0,0.657300962927083,2,0,0,"AddModuleScore","GNATENKO",FALSE,"youden"
"DCs","CD4 Naive",1,2,11,14,-0.7949535423419,28,0.535714285714286,0.479166635850696,"AddModuleScore","GNATENKO",FALSE,"youden"
