"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.41323755800887,28,1,0.499999982142858,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,142,-0.261900108767657,142,1,0.499999996478873,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.377737467983387,35,1,0.499999985714286,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.301653991204969,30,1,0.499999983333334,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,204,-0.558031294779558,205,0.995121951219512,0.49999999754902,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.550611347562652,15,1,0.499999966666669,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,2,-0.515911357738387,2,1,0.499999750000125,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",161,0,25407,149,0.187671837547071,25717,0.0120542831589999,0.503148463477714,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",0,0,287,6,0.18335709840332,293,0.0204778156996587,0.499999916666681,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",13,0,96,0,0.454306859613147,109,0.119266055045872,0.0596330269758438,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.893475661480568,1,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",56,0,3,0,8.73156766181511,59,0.949152542372881,0.474576263142775,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,2,0,0.536821844212051,2,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",0,0,87,0,0.213991669869939,87,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",0,0,25,0,0.242227176723887,25,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",0,0,5,0,0.406347924423242,5,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,0.49647645161815,1,1,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",1,0,84,9,0.149903707366129,94,0.106382978723404,0.505882297316423,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",1,0,50,3,0.404325238394781,54,0.0740740740740741,0.509803754709783,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,0.293070985559302,2,1,0.499999750000125,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,12,16,-0.521674978876628,28,0.571428571428571,0.499999968750002,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,9,11,-0.291648402318177,20,0.55,0.499999954545459,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,0.048331376197806,10,0.5,0.49999990000002,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.234323423920564,17,0.235294117647059,0.499999875000031,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,1,0.281659148756658,2,0.5,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.13386336803523,7,0.285714285714286,0.499999750000125,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,0,22,14,-0.439203330286429,36,0.388888888888889,0.499999964285717,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,0.103294127487855,2,0.5,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,2,0,0.379484636950938,2,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.158078476810548,2,1,0.499999750000125,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,1,-0.159397366562569,3,0.333333333333333,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.0736815133674575,3,0.333333333333333,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",0,0,5,2,0.189269279626769,7,0.285714285714286,0.499999750000125,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_2",0,0,2,0,0.339622405263422,2,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_4",0,0,2,2,0.533780586940411,4,0.5,0.499999750000125,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","CD8 TEM_5",0,0,1,0,0.526654426090069,1,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","Doublet",10,0,5,1,1.81112787630391,16,0.6875,0.833332811111613,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","HSPC",0,0,1,0,0.00875647960153727,1,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","MAIT",0,0,2,0,-0.110435210193894,2,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","NK Proliferating",0,0,1,0,0.48337370334251,1,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","NK_1",0,0,0,1,0.411451179380034,1,1,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","NK_3",0,0,1,0,0.471985109964286,1,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","NK_CD56bright",0,0,0,1,-0.350815708713005,1,1,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","Platelet",15,2,0,0,9.74655899538135,17,0.882352941176471,0.499999966666669,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","Treg Memory",0,0,2,0,-0.359561933131769,2,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","Treg Naive",0,0,3,1,-0.691796521652534,4,0.25,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","cDC2_1",0,0,8,0,0.194195556345266,8,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","cDC2_2",0,0,12,3,0.238522805339665,15,0.2,0.499999833333389,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","dnT_2",0,0,1,0,-0.198399332990058,1,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","gdT_1",0,0,1,0,-0.0627577801924187,1,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","gdT_2",0,0,0,1,0.536917962600122,1,1,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","gdT_3",0,0,0,1,-0.568087160689253,1,1,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"DCs","pDC",0,0,2,0,-0.0801850529221817,2,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD16 Mono",0,0,0,5,0.39112616203186,5,1,0.49999990000002,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.707166749844811,1,1,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.428173924010375,1,1,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,0.0328673057770264,1,0,0,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,0.306168647446921,2,1,0.499999750000125,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,0.17660628347686,5,1,0.49999990000002,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,0.222161714262559,16,0.9375,0.499999966666669,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK Proliferating",0,0,0,21,0.376560651625778,21,1,0.499999976190477,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_1",0,0,10,549,0.249568548041581,559,0.98211091234347,0.499999999089253,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_2",0,0,4,211,0.246967944922009,215,0.981395348837209,0.499999997630332,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_3",0,0,1,36,0.143921530538265,37,0.972972972972973,0.499999986111112,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_4",0,0,0,17,0.0116844773208212,17,1,0.499999970588237,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.102017753641888,1,1,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Early-NK-cells","gdT_2",0,0,0,1,0.687903734388786,1,1,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD14 Mono",8,0,475,14,0.228706544380957,497,0.0442655935613682,0.508281537767536,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Intermediate-Monocytes","CD16 Mono",2,0,1536,23,0.306170790422955,1561,0.0160153747597694,0.500650173318965,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
"Intermediate-Monocytes","Doublet",72,0,37,0,2.03171785261514,109,0.660550458715596,0.33027522632775,"AddModuleScore","GNATENKO",TRUE,"gmm_dist_platelet"
