"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,2,0,26,-0.41323755800887,28,0.928571428571429,0.464285697704082,"AddModuleScore","GNATENKO",TRUE,"youden"
"B-cells","B intermediate lambda",0,38,0,104,-0.261900108767657,142,0.732394366197183,0.366197180519738,"AddModuleScore","GNATENKO",TRUE,"youden"
"B-cells","B memory kappa",0,5,0,30,-0.377737467983387,35,0.857142857142857,0.428571416326531,"AddModuleScore","GNATENKO",TRUE,"youden"
"B-cells","B memory lambda",0,7,0,23,-0.301653991204969,30,0.766666666666667,0.383333320555556,"AddModuleScore","GNATENKO",TRUE,"youden"
"B-cells","B naive kappa",0,2,1,202,-0.558031294779558,205,0.985365853658537,0.495098036788735,"AddModuleScore","GNATENKO",TRUE,"youden"
"B-cells","B naive lambda",0,0,0,15,-0.550611347562652,15,1,0.499999966666669,"AddModuleScore","GNATENKO",TRUE,"youden"
"B-cells","Plasma",0,1,0,1,-0.515911357738387,2,0.5,0.249999875000062,"AddModuleScore","GNATENKO",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",22775,134,2793,15,0.187671837547071,25717,0.886184236108411,0.495716515045721,"AddModuleScore","GNATENKO",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",265,5,22,1,0.18335709840332,293,0.907849829351536,0.545005791703428,"AddModuleScore","GNATENKO",TRUE,"youden"
"Classical-Monocytes","Doublet",99,0,10,0,0.454306859613147,109,0.908256880733945,0.454128436200657,"AddModuleScore","GNATENKO",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.893475661480568,1,0,0,"AddModuleScore","GNATENKO",TRUE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,8.73156766181511,59,1,0.499999991525424,"AddModuleScore","GNATENKO",TRUE,"youden"
"Classical-Monocytes","cDC1",2,0,0,0,0.536821844212051,2,1,0.499999750000125,"AddModuleScore","GNATENKO",TRUE,"youden"
"Classical-Monocytes","cDC2_1",81,0,6,0,0.213991669869939,87,0.931034482758621,0.465517236028538,"AddModuleScore","GNATENKO",TRUE,"youden"
"Classical-Monocytes","cDC2_2",25,0,0,0,0.242227176723887,25,1,0.499999980000001,"AddModuleScore","GNATENKO",TRUE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.406347924423242,5,1,0.49999990000002,"AddModuleScore","GNATENKO",TRUE,"youden"
