"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.546508084493458,36,1,0.499999986111112,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.408600764243654,166,0.993975903614458,0.496987948813326,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.437124618573058,45,0.977777777777778,0.499999988636364,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.434412580411965,34,1,0.499999985294118,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.706649782097594,248,0.995967741935484,0.499999997975708,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.601203658442082,20,1,0.499999975000001,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-1.44827579136363,1,1,0.4999995000005,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",30231,169,2899,18,0.171277020978249,33317,0.907914878290362,0.50437645546715,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",455,6,31,0,0.141848051141904,492,0.92479674796748,0.468106994921591,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"Classical-Monocytes","Doublet","other",129,0,11,0,0.486923729631343,140,0.921428571428571,0.460714282423469,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,0.422253541112998,11,0.818181818181818,0.40909087190083,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-1.1330727622465,1,0,0,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"Classical-Monocytes","Platelet","other",18,0,44,0,12.7291090606525,62,0.290322580645161,0.14516128798127,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.667471111760071,3,0,0,"AddModuleScore","GNATENKO",TRUE,"youden_dual"
