"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.550150925195405,28,1,0.499999982142858,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.276513024075784,142,1,0.499999996478873,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.489651871204598,35,1,0.499999985714286,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.346100749004387,30,1,0.499999983333334,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,204,-0.618058264317832,205,0.995121951219512,0.49999999754902,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.883022100193231,15,1,0.499999966666669,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,2,-1.46639177602686,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",68,0,25500,149,0.613916328419642,25717,0.00843799821129992,0.501329783878286,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",0,0,287,6,0.435455368365921,293,0.0204778156996587,0.499999916666681,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",5,0,104,0,0.877656128491926,109,0.0458715596330275,0.0229357796060938,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-1.22893011199567,1,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",1,0,58,0,5.20173735287996,59,0.0169491525423729,0.00847457612754956,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,2,0,1.19394680943352,2,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",0,0,87,0,0.981706977187505,87,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",0,0,25,0,1.0022819688002,25,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.443119228356336,5,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,1.38841842585474,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",0,0,85,9,0.391890956770208,94,0.0957446808510638,0.499999944444451,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",0,0,51,3,0.335018652518903,54,0.0555555555555556,0.499999833333389,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,0,2,0.690488931381344,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,12,16,-0.963347987750262,28,0.571428571428571,0.499999968750002,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.647133977309238,20,0.55,0.499999954545459,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,5,5,0.436584138807223,10,0.5,0.49999990000002,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.134918211222793,17,0.235294117647059,0.499999875000031,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,1,0.64652012612002,2,0.5,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,2,-0.139583601604929,7,0.285714285714286,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,22,14,-0.636384374044246,36,0.388888888888889,0.499999964285717,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,1,1,0.663008428093016,2,0.5,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,2,0,0.947676326540042,2,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.16328889680942,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,1,-0.117211998145156,3,0.333333333333333,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.206253848069343,3,0.333333333333333,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,5,2,0.374898744498333,7,0.285714285714286,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,0.628224886944503,2,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,2,0.84550908554755,4,0.5,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,0.780685213407141,1,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","Doublet",5,0,10,1,1.882258127756,16,0.375,0.666666155556056,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","HSPC",0,0,1,0,0.198550277995237,1,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","MAIT",0,0,2,0,-0.290828547687299,2,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","NK Proliferating",0,0,1,0,1.02928965685387,1,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","NK_1",0,0,0,1,0.921325159003291,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","NK_3",0,0,1,0,0.896780928669058,1,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","NK_CD56bright",0,0,0,1,-0.17714208202874,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","Platelet",1,0,14,2,5.60352461242767,17,0.176470588235294,0.533333081111236,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","Treg Memory",0,0,2,0,-0.443590030350355,2,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","Treg Naive",0,0,3,1,-1.42577333349521,4,0.25,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","cDC2_1",0,0,8,0,1.05174461604769,8,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","cDC2_2",0,0,12,3,1.07205383731351,15,0.2,0.499999833333389,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","dnT_2",0,0,1,0,-0.639115693473056,1,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","gdT_1",0,0,1,0,-0.00834403169331735,1,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","gdT_2",0,0,0,1,1.39278519076084,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","gdT_3",0,0,0,1,-0.594845732011313,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"DCs","pDC",0,0,2,0,0.0152214409895489,2,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD16 Mono",0,0,0,5,0.277121930684821,5,1,0.49999990000002,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD4 Naive",0,0,0,1,-2.02277785630285,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.332839837645892,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,0.211801150813718,1,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,0.671139645504357,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,0.354308264852473,5,1,0.49999990000002,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,0.501889860868304,16,0.9375,0.499999966666669,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK Proliferating",0,0,0,21,0.871039243918871,21,1,0.499999976190477,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK_1",0,0,10,549,0.394272446885563,559,0.98211091234347,0.499999999089253,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK_2",0,0,4,211,0.220448535945313,215,0.981395348837209,0.499999997630332,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK_3",0,0,1,36,0.234908784678379,37,0.972972972972973,0.499999986111112,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK_4",0,0,0,17,-0.0978759985711297,17,1,0.499999970588237,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","NK_CD56bright",0,0,0,1,0.488111964699089,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Early-NK-cells","gdT_2",0,0,0,1,1.30861203274344,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Intermediate-Monocytes","CD14 Mono",5,0,478,14,0.447081098749106,497,0.0382293762575453,0.505175947711854,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Intermediate-Monocytes","CD16 Mono",0,0,1538,23,0.41371789448758,1561,0.0147341447789878,0.499999978260871,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Intermediate-Monocytes","Doublet",31,0,78,0,2.35862766176936,109,0.284403669724771,0.142201833557781,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Intermediate-Monocytes","Platelet",0,0,3,0,4.25447179255203,3,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","ASDC_mDC",0,0,0,7,0.847950601886669,7,1,0.499999928571439,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","ASDC_pDC",0,0,0,3,0.743893964255828,3,1,0.499999833333389,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.652253632716379,4,1,0.499999875000031,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-0.353770193575084,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.905438160044494,3,1,0.499999833333389,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.893893839028394,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","B naive kappa",0,0,0,1,-1.34276715575444,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD14 Mono",0,0,2,4,0.520009425593575,6,0.666666666666667,0.499999875000031,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD16 Mono",0,0,572,696,0.384709223269226,1268,0.548895899053628,0.499999999281609,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD4 CTL",0,0,0,1,0.463718312465066,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD4 Naive",0,0,0,78,-0.822832558660054,78,1,0.499999993589744,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.730606947160658,5,1,0.49999990000002,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-1.31957812832209,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 Naive",0,0,1,241,-0.704932012183031,242,0.995867768595041,0.499999997925311,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 Naive_2",0,0,0,3,-0.00990000539548886,3,1,0.499999833333389,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,0.776845471851785,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.0883913497649601,5,1,0.49999990000002,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.488035666262344,9,1,0.499999944444451,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_1",0,0,0,34,-0.00475230112654412,34,1,0.499999985294118,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_2",0,0,0,65,0.195515550129466,65,1,0.499999992307692,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_3",0,0,0,8,0.0340248812532735,8,1,0.499999937500008,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_4",0,0,1,32,0.521157013236085,33,0.96969696969697,0.499999984375001,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
"Late-NK-cells","CD8 TEM_5",0,0,2,47,0.274939470138512,49,0.959183673469388,0.499999989361702,"UCell","GNATENKO",FALSE,"gmm_dist_dual"
