"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.627723853386472,36,1,0.499999986111112,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,166,-0.351858325828467,166,1,0.499999996987952,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,1,44,-0.398077660712526,45,0.977777777777778,0.499999988636364,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,34,-0.385618885133398,34,1,0.499999985294118,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,247,-0.653874836248372,248,0.995967741935484,0.499999997975708,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,20,-0.764999696731435,20,1,0.499999975000001,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,1,-2.32516189797443,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",187,0,32943,187,0.622658561485238,33317,0.0112255004952427,0.502822212840757,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",0,0,486,6,0.44880709694359,492,0.0121951219512195,0.499999916666681,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",12,0,128,0,0.887147124176384,140,0.0857142857142857,0.0428571425510204,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",0,0,11,0,0.65262348836911,11,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-1.27361997463169,1,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",54,0,8,0,6.98042146676796,62,0.870967741935484,0.435483863943809,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,3,0,1.25959213171034,3,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",0,0,165,0,1.05531126007664,165,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",0,0,44,0,1.05158257606627,44,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",0,0,5,0,0.480149945450253,5,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,1.35981834979616,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",0,0,108,9,0.459377892229539,117,0.0769230769230769,0.499999944444451,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",0,0,65,5,0.310019353084052,70,0.0714285714285714,0.49999990000002,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,3,2,0.515884703472869,5,0.4,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,19,21,-0.892283938023045,40,0.525,0.499999976190477,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",0,0,14,15,-0.560465105473451,29,0.517241379310345,0.499999966666669,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,3,2,0.760994475618666,5,0.4,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,17,5,-0.0961563643202641,22,0.227272727272727,0.49999990000002,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,2,0.694458489598945,3,0.666666666666667,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,3,-0.172221896934869,8,0.375,0.499999833333389,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive",0,0,29,15,-0.580232481864796,44,0.340909090909091,0.499999966666669,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,0,1,-0.483588477303335,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,1,0,0.271441624573762,1,0,0,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,0.0450992673223056,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"gmm_dist_platelet"
