"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,3,0,25,-0.550150925195405,28,0.892857142857143,0.446428555484694,"UCell","GNATENKO",FALSE,"youden"
"B-cells","B intermediate lambda",0,41,0,101,-0.276513024075784,142,0.711267605633803,0.355633800312438,"UCell","GNATENKO",FALSE,"youden"
"B-cells","B memory kappa",0,8,0,27,-0.489651871204598,35,0.771428571428571,0.385714274693878,"UCell","GNATENKO",FALSE,"youden"
"B-cells","B memory lambda",0,7,0,23,-0.346100749004387,30,0.766666666666667,0.383333320555556,"UCell","GNATENKO",FALSE,"youden"
"B-cells","B naive kappa",0,9,1,195,-0.618058264317832,205,0.951219512195122,0.477941174127739,"UCell","GNATENKO",FALSE,"youden"
"B-cells","B naive lambda",0,1,0,14,-0.883022100193231,15,0.933333333333333,0.466666635555558,"UCell","GNATENKO",FALSE,"youden"
"B-cells","Plasma",0,0,0,2,-1.46639177602686,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",19956,102,5612,47,0.613916328419642,25717,0.777812342030563,0.547971561533848,"UCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",220,4,67,2,0.435455368365921,293,0.757679180887372,0.549941898877481,"UCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","Doublet",85,0,24,0,0.877656128491926,109,0.779816513761468,0.389908253303594,"UCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-1.22893011199567,1,0,0,"UCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","Platelet",59,0,0,0,5.20173735287996,59,1,0.499999991525424,"UCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","cDC1",2,0,0,0,1.19394680943352,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","cDC2_1",80,0,7,0,0.981706977187505,87,0.919540229885057,0.459770109657815,"UCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","cDC2_2",25,0,0,0,1.0022819688002,25,1,0.499999980000001,"UCell","GNATENKO",FALSE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.443119228356336,5,1,0.49999990000002,"UCell","GNATENKO",FALSE,"youden"
"DCs","ASDC_mDC",0,1,0,0,1.38841842585474,1,0,0,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD14 Mono",52,7,33,2,0.391890956770208,94,0.574468085106383,0.416993448107994,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD16 Mono",33,0,18,3,0.335018652518903,54,0.666666666666667,0.823529238754381,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD4 CTL",0,2,0,0,0.690488931381344,2,0,0,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD4 Naive",1,1,11,15,-0.963347987750262,28,0.571428571428571,0.510416633897572,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD4 TCM_1",1,1,8,10,-0.647133977309238,20,0.55,0.510100962605861,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD4 TCM_2",4,4,1,1,0.436584138807223,10,0.5,0.49999990000002,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD4 TCM_3",7,0,6,4,-0.134918211222793,17,0.647058823529412,0.769230623520743,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD4 TEM_1",1,0,0,1,0.64652012612002,2,1,0.999999000001,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD4 TEM_3",1,0,4,2,-0.139583601604929,7,0.428571428571429,0.599999730000129,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD8 Naive",1,2,21,12,-0.636384374044246,36,0.361111111111111,0.451298669653401,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD8 Naive_2",1,0,0,1,0.663008428093016,2,1,0.999999000001,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD8 Proliferating",2,0,0,0,0.947676326540042,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.16328889680942,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD8 TCM_2",1,0,1,1,-0.117211998145156,3,0.666666666666667,0.749999375000562,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD8 TCM_3",1,1,1,0,-0.206253848069343,3,0.333333333333333,0.249999875000062,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD8 TEM_1",3,2,2,0,0.374898744498333,7,0.428571428571429,0.299999940000012,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD8 TEM_2",2,0,0,0,0.628224886944503,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD8 TEM_4",2,2,0,0,0.84550908554755,4,0.5,0.499999750000125,"UCell","GNATENKO",FALSE,"youden"
"DCs","CD8 TEM_5",1,0,0,0,0.780685213407141,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden"
"DCs","Doublet",13,0,2,1,1.882258127756,16,0.875,0.933332804444946,"UCell","GNATENKO",FALSE,"youden"
"DCs","HSPC",1,0,0,0,0.198550277995237,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden"
"DCs","MAIT",0,0,2,0,-0.290828547687299,2,0,0,"UCell","GNATENKO",FALSE,"youden"
"DCs","NK Proliferating",1,0,0,0,1.02928965685387,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden"
"DCs","NK_1",0,1,0,0,0.921325159003291,1,0,0,"UCell","GNATENKO",FALSE,"youden"
"DCs","NK_3",1,0,0,0,0.896780928669058,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden"
"DCs","NK_CD56bright",0,0,0,1,-0.17714208202874,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden"
"DCs","Platelet",15,2,0,0,5.60352461242767,17,0.882352941176471,0.499999966666669,"UCell","GNATENKO",FALSE,"youden"
"DCs","Treg Memory",0,0,2,0,-0.443590030350355,2,0,0,"UCell","GNATENKO",FALSE,"youden"
"DCs","Treg Naive",0,0,3,1,-1.42577333349521,4,0.25,0.4999995000005,"UCell","GNATENKO",FALSE,"youden"
"DCs","cDC2_1",8,0,0,0,1.05174461604769,8,1,0.499999937500008,"UCell","GNATENKO",FALSE,"youden"
"DCs","cDC2_2",12,3,0,0,1.07205383731351,15,0.8,0.499999958333337,"UCell","GNATENKO",FALSE,"youden"
"DCs","dnT_2",0,0,1,0,-0.639115693473056,1,0,0,"UCell","GNATENKO",FALSE,"youden"
"DCs","gdT_1",0,0,1,0,-0.00834403169331735,1,0,0,"UCell","GNATENKO",FALSE,"youden"
"DCs","gdT_2",0,1,0,0,1.39278519076084,1,0,0,"UCell","GNATENKO",FALSE,"youden"
"DCs","gdT_3",0,0,0,1,-0.594845732011313,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden"
"DCs","pDC",0,0,2,0,0.0152214409895489,2,0,0,"UCell","GNATENKO",FALSE,"youden"
"Early-NK-cells","CD16 Mono",0,3,0,2,0.277121930684821,5,0.4,0.199999960000008,"UCell","GNATENKO",FALSE,"youden"
"Early-NK-cells","CD4 Naive",0,0,0,1,-2.02277785630285,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.332839837645892,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden"
"Early-NK-cells","CD8 TEM_1",1,0,0,0,0.211801150813718,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden"
"Early-NK-cells","CD8 TEM_2",0,1,0,1,0.671139645504357,2,0.5,0.249999875000062,"UCell","GNATENKO",FALSE,"youden"
"Early-NK-cells","CD8 TEM_4",0,4,0,1,0.354308264852473,5,0.2,0.099999980000004,"UCell","GNATENKO",FALSE,"youden"
