"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.627600980838549,36,1,0.499999986111112,"UCell","GNATENKO",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.351616842780541,166,0.987951807228916,0.493975900638699,"UCell","GNATENKO",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.398041380348744,45,0.977777777777778,0.499999988636364,"UCell","GNATENKO",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.385562694082623,34,1,0.499999985294118,"UCell","GNATENKO",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.653586432819394,248,0.995967741935484,0.499999997975708,"UCell","GNATENKO",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.764824887269935,20,1,0.499999975000001,"UCell","GNATENKO",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-2.32524344745482,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",29892,159,3238,28,0.622601785482832,33317,0.898040039619413,0.525998214364627,"UCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",455,5,31,1,0.448915714477457,492,0.926829268292683,0.551440314366037,"UCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",131,0,9,0,0.887062598820988,140,0.935714285714286,0.467857139515306,"UCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.65286256125969,11,0.909090909090909,0.454545413223144,"UCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-1.27364506123405,1,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,6.98098664564529,62,0.112903225806452,0.0564516119927159,"UCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,1.25975357811611,3,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",98,0,67,0,1.05524924272756,165,0.593939393939394,0.296969695169881,"UCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",12,0,32,0,1.05161857105889,44,0.272727272727273,0.136363633264463,"UCell","GNATENKO",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.480330981458249,5,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,1,0,0,1.36027115053415,1,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",86,7,22,2,0.459339356474068,117,0.752136752136752,0.509259243227025,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",50,5,15,0,0.310192917865905,70,0.714285714285714,0.384615378698225,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,0.515423178200652,5,0.4,0.499999750000125,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.89220505816866,40,0.525,0.499999976190477,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.560563065478247,29,0.517241379310345,0.499999966666669,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,0.761101912998939,5,0.4,0.499999750000125,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.0963112613050191,22,0.227272727272727,0.49999990000002,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,0.694342233264659,3,0.666666666666667,0.499999750000125,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.172281303325939,8,0.375,0.499999833333389,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.580197386300479,44,0.340909090909091,0.499999966666669,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-0.48440421054464,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,0.271145462663943,1,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,0.0449809247233608,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,0.0521111120367527,4,0.5,0.499999750000125,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.12608797479561,3,0.333333333333333,0.4999995000005,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,0.280152015059807,9,0.222222222222222,0.499999750000125,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,0.561356595419558,2,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,0.801555152834118,7,0.714285714285714,0.49999990000002,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,0.843561903823294,1,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","Doublet","other",12,0,4,1,2.47289432531949,17,0.764705882352941,0.874999476563001,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,0.17590951047805,1,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,-0.348694368579801,3,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,1.90733581457922,1,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,1.15979196572251,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,-0.159501172264216,1,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,-0.337797552100854,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","Platelet","other",0,0,20,2,6.8180447893281,22,0.0909090909090909,0.499999750000125,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,-0.39233723049803,2,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","Treg Naive","CD4 T",0,0,3,1,-1.09034504117748,4,0.25,0.4999995000005,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","cDC2_1","DC",7,0,9,0,1.13333521805966,16,0.4375,0.218749986328126,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","cDC2_2","DC",11,3,27,10,0.974977772187634,51,0.411764705882353,0.529352193325987,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","gdT_1","other T",0,0,1,0,0.121870196102865,1,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","gdT_2","other T",0,0,0,2,1.21032873194375,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","gdT_3","other T",0,0,0,1,-0.27541883735913,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","gdT_4","other T",0,0,1,0,1.35443357027757,1,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"DCs","pDC","DC",0,0,3,0,0.340028909691569,3,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"Early-NK-cells","CD16 Mono","Mono",0,2,1,3,0.208377575905114,6,0.5,0.299999940000012,"UCell","GNATENKO",FALSE,"youden_dual"
"Early-NK-cells","CD4 Naive","CD4 T",0,0,0,1,-2.33808612401929,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden_dual"
"Early-NK-cells","CD4 TCM_1","CD4 T",0,0,0,1,-0.561793845946137,1,1,0.4999995000005,"UCell","GNATENKO",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_1","CD8 T",0,0,1,0,0.0154594474258081,1,0,0,"UCell","GNATENKO",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_2","CD8 T",0,0,0,2,0.542592944594841,2,1,0.499999750000125,"UCell","GNATENKO",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_4","CD8 T",0,0,0,5,0.260904679013831,5,1,0.49999990000002,"UCell","GNATENKO",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_5","CD8 T",0,0,1,16,0.444094815206742,17,0.941176470588235,0.499999968750002,"UCell","GNATENKO",FALSE,"youden_dual"
