"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.449469166468687,36,1,0.499999986111112,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,166,-0.283103051533442,166,1,0.499999996987952,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.282389095611927,45,0.977777777777778,0.499999988636364,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.266009194619896,34,1,0.499999985294118,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.472709718847479,248,0.995967741935484,0.499999997975708,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.493385372615225,20,1,0.499999975000001,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,-1.40252247825509,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",330,0,32800,187,0.387913651127208,33317,0.0155176036257766,0.504980377646005,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",0,0,486,6,0.251948201223176,492,0.0121951219512195,0.499999916666681,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",17,0,123,0,0.733861097410567,140,0.121428571428571,0.0607142852806122,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",0,0,11,0,0.829510412150992,11,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.880019376935059,1,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",8,0,54,0,12.1684615663917,62,0.129032258064516,0.0645161279916754,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,0.938986460624237,3,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",0,0,165,0,0.753464388369183,165,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",0,0,44,0,0.711168475776118,44,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.788820166744279,5,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,0.910635942291238,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD14 Mono",1,0,107,9,0.297032167931907,117,0.0854700854700855,0.504629574031213,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD16 Mono",0,0,65,5,0.180076617720957,70,0.0714285714285714,0.49999990000002,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,0.220834298378185,5,0.4,0.499999750000125,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-0.609800323612365,40,0.525,0.499999976190477,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,14,15,-0.388470234205279,29,0.517241379310345,0.499999966666669,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,3,2,0.421929910496494,5,0.4,0.499999750000125,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,17,5,-0.130042395298646,22,0.227272727272727,0.49999990000002,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,2,0.421835070052847,3,0.666666666666667,0.499999750000125,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,3,-0.100430930158068,8,0.375,0.499999833333389,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,29,15,-0.398654087855638,44,0.340909090909091,0.499999966666669,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,0,1,-0.38739101536378,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,1,0,0.103408280508594,1,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.076043387506026,2,1,0.499999750000125,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,2,-0.0680158213830612,4,0.5,0.499999750000125,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.180537233452628,3,0.333333333333333,0.4999995000005,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_1",0,0,7,2,0.0750916337626117,9,0.222222222222222,0.499999750000125,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_2",0,0,2,0,0.288347145619926,2,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_4",0,0,2,5,0.430578778301308,7,0.714285714285714,0.49999990000002,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","CD8 TEM_5",0,0,1,0,0.410488088402245,1,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","Doublet",8,0,8,1,3.10012322130061,17,0.529411764705882,0.749999484375501,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","HSPC",0,0,1,0,0.580184739356046,1,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","MAIT",0,0,3,0,-0.273209895530394,3,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
"DCs","NK Proliferating",0,0,1,0,1.0589934934245,1,0,0,"UCell","GNATENKO",TRUE,"gmm_dist_dual"
