"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.379380157823316,28,1,0.499999982142858,"UCell","GNATENKO",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,142,-0.231432720642534,142,1,0.499999996478873,"UCell","GNATENKO",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,-0.334789878832187,35,1,0.499999985714286,"UCell","GNATENKO",TRUE,"kmeans"
"B-cells","B memory lambda",0,0,0,30,-0.23269920366591,30,1,0.499999983333334,"UCell","GNATENKO",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,-0.427985228753756,205,0.995121951219512,0.49999999754902,"UCell","GNATENKO",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,-0.53076522664684,15,1,0.499999966666669,"UCell","GNATENKO",TRUE,"kmeans"
"B-cells","Plasma",0,0,0,2,-0.884832162839052,2,1,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",4,0,25564,149,0.329580080459038,25717,0.0059493720107322,0.500078219422765,"UCell","GNATENKO",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,287,6,0.219352157978763,293,0.0204778156996587,0.499999916666681,"UCell","GNATENKO",TRUE,"kmeans"
"Classical-Monocytes","Doublet",0,0,109,0,0.667135628705883,109,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.80512378242384,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Classical-Monocytes","Platelet",51,0,8,0,8.3845872639688,59,0.864406779661017,0.432203382505027,"UCell","GNATENKO",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,0.669437935485626,2,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,87,0,0.549278348695155,87,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,25,0,0.562512608740376,25,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.628119536985611,5,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,0.861647763693396,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD14 Mono",0,0,85,9,0.203897858428276,94,0.0957446808510638,0.499999944444451,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD16 Mono",0,0,51,3,0.183117339920911,54,0.0555555555555556,0.499999833333389,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD4 CTL",0,0,0,2,0.299270484046501,2,1,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD4 Naive",0,0,12,16,-0.639889795072428,28,0.571428571428571,0.499999968750002,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD4 TCM_1",0,0,9,11,-0.454441564414476,20,0.55,0.499999954545459,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD4 TCM_2",0,0,5,5,0.163229072168276,10,0.5,0.49999990000002,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD4 TCM_3",0,0,13,4,-0.165275461172619,17,0.235294117647059,0.499999875000031,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,1,0.314822282181861,2,0.5,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,2,-0.0805944077738854,7,0.285714285714286,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD8 Naive",0,0,22,14,-0.434183795051342,36,0.388888888888889,0.499999964285717,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD8 Naive_2",0,0,1,1,0.283458767279353,2,0.5,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD8 Proliferating",0,0,2,0,0.475928514118912,2,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.191975730034211,2,1,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,1,-0.159976858476219,3,0.333333333333333,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.216696879902117,3,0.333333333333333,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD8 TEM_1",0,0,5,2,0.117686377047808,7,0.285714285714286,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,0.309277351370367,2,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,2,0.443698603777109,4,0.5,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,0.351167570860319,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","Doublet",2,0,13,1,2.12011421412801,16,0.1875,0.566666162222723,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","HSPC",0,0,1,0,0.518641809276194,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","MAIT",0,0,2,0,-0.265359423742563,2,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,0.494209457888053,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","NK_1",0,0,0,1,0.432088904890545,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","NK_3",0,0,1,0,0.417966659230024,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.199946568075732,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","Platelet",14,2,1,0,9.28286873322316,17,0.823529411764706,0.466666635555558,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","Treg Memory",0,0,2,0,-0.330339081689747,2,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","Treg Naive",0,0,3,1,-0.918383326225781,4,0.25,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","cDC2_1",0,0,8,0,0.586783810576808,8,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","cDC2_2",0,0,12,3,0.616885276122742,15,0.2,0.499999833333389,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","dnT_2",0,0,1,0,-0.390986762440452,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","gdT_1",0,0,1,0,-0.0729329966749689,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","gdT_2",0,0,0,1,0.708122491850184,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","gdT_3",0,0,0,1,-0.440284662936382,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"DCs","pDC",0,0,2,0,-0.0421326388080037,2,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","CD16 Mono",0,0,0,5,0.0925312043217402,5,1,0.49999990000002,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","CD4 Naive",0,0,0,1,-1.26188745802058,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.289531856498915,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,0.0238433738943711,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,0.28813730265155,2,1,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,0.120030595564988,5,1,0.49999990000002,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","CD8 TEM_5",0,0,1,15,0.2078603502293,16,0.9375,0.499999966666669,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","NK Proliferating",0,0,0,21,0.440563077425372,21,1,0.499999976190477,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","NK_1",0,0,10,549,0.166817995158124,559,0.98211091234347,0.499999999089253,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","NK_2",0,0,4,211,0.0661049344993501,215,0.981395348837209,0.499999997630332,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","NK_3",0,0,1,36,0.0616603640149836,37,0.972972972972973,0.499999986111112,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","NK_4",0,0,0,17,-0.133213733474914,17,1,0.499999970588237,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","NK_CD56bright",0,0,0,1,0.182826937005147,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Early-NK-cells","gdT_2",0,0,0,1,0.654925811877422,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Intermediate-Monocytes","CD14 Mono",0,0,483,14,0.253868573826793,497,0.028169014084507,0.499999964285717,"UCell","GNATENKO",TRUE,"kmeans"
"Intermediate-Monocytes","CD16 Mono",0,0,1538,23,0.226729319663485,1561,0.0147341447789878,0.499999978260871,"UCell","GNATENKO",TRUE,"kmeans"
"Intermediate-Monocytes","Doublet",4,0,105,0,2.23606966855519,109,0.036697247706422,0.018348623684875,"UCell","GNATENKO",TRUE,"kmeans"
"Intermediate-Monocytes","Platelet",2,0,1,0,7.30214266093852,3,0.666666666666667,0.333333222222259,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","ASDC_mDC",0,0,0,7,0.432621119231827,7,1,0.499999928571439,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","ASDC_pDC",0,0,0,3,0.447221945230245,3,1,0.499999833333389,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","B intermediate kappa",0,0,0,4,-0.329710944996259,4,1,0.499999875000031,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","B intermediate lambda",0,0,0,1,-0.0848026141933207,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","B memory kappa",0,0,0,3,-0.519819764263737,3,1,0.499999833333389,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","B memory lambda",0,0,0,1,-0.612350797180527,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","B naive kappa",0,0,0,1,-0.870623277634601,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD14 Mono",0,0,2,4,0.413663561881522,6,0.666666666666667,0.499999875000031,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD16 Mono",0,0,572,696,0.201935466070878,1268,0.548895899053628,0.499999999281609,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD4 CTL",0,0,0,1,0.168791330888556,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD4 Naive",0,0,0,78,-0.531617182162148,78,1,0.499999993589744,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.518398875743292,5,1,0.49999990000002,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.857280787869447,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 Naive",0,0,1,241,-0.466063149387232,242,0.995867768595041,0.499999997925311,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 Naive_2",0,0,0,3,-0.0714601244281662,3,1,0.499999833333389,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,0.438846789317052,2,1,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 TCM_1",0,0,0,5,-0.102823639330674,5,1,0.49999990000002,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.359806153241796,9,1,0.499999944444451,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 TEM_1",0,0,0,34,-0.071865291707131,34,1,0.499999985294118,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 TEM_2",0,0,0,65,0.0377096996712844,65,1,0.499999992307692,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 TEM_3",0,0,0,8,-0.0622330129996663,8,1,0.499999937500008,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 TEM_4",0,0,1,32,0.23879345694293,33,0.96969696969697,0.499999984375001,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 TEM_5",0,0,2,47,0.101261994934301,49,0.959183673469388,0.499999989361702,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","CD8 TEM_6",0,0,0,65,-0.150462059331338,65,1,0.499999992307692,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","Doublet",3,0,13,0,2.28752347288594,16,0.1875,0.0937499941406254,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","HSPC",0,0,1,25,0.18467969032918,26,0.961538461538462,0.499999980000001,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","ILC",0,0,1,75,-0.284164764751279,76,0.986842105263158,0.499999993333333,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","MAIT",0,0,1,10,0.055403796851263,11,0.909090909090909,0.499999950000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","NK Proliferating",0,0,6,343,0.307481132401593,349,0.982808022922636,0.499999998542274,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","NK_1",0,0,19,1862,0.127538748042086,1881,0.98989898989899,0.499999999731472,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","NK_2",0,0,74,6634,0.0294128060795715,6708,0.98896839594514,0.499999999924631,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","NK_3",0,0,6,1651,0.0380909514720909,1657,0.996378998189499,0.499999999697153,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","NK_4",0,0,11,1137,-0.0802044543562157,1148,0.990418118466899,0.499999999560246,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","NK_CD56bright",0,0,7,598,-0.235106756678505,605,0.988429752066116,0.49999999916388,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","Plasma",0,0,0,1,-1.31361126574654,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","Plasmablast",0,0,0,1,-1.45691307140606,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","Platelet",1,0,2,4,2.17994268704816,7,0.714285714285714,0.666666486111161,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","Treg Memory",0,0,0,3,-0.780835830275581,3,1,0.499999833333389,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","Treg Naive",0,0,0,10,-0.572280008113096,10,1,0.499999950000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","cDC1",0,0,4,1,0.638360331078087,5,0.2,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","cDC2_1",0,0,1,1,0.316858311464206,2,0.5,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","cDC2_2",0,0,30,67,0.43740160599666,97,0.690721649484536,0.499999992537314,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","dnT_1",0,0,0,3,-0.475546957315722,3,1,0.499999833333389,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","dnT_2",0,0,0,6,-0.244883611527207,6,1,0.499999916666681,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","gdT_1",0,0,0,1,-0.389080692474002,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","gdT_2",0,0,0,8,0.267820329600064,8,1,0.499999937500008,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","gdT_3",0,0,0,69,-0.315624171322925,69,1,0.499999992753623,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","gdT_4",0,0,0,12,0.210262792582847,12,1,0.499999958333337,"UCell","GNATENKO",TRUE,"kmeans"
"Late-NK-cells","pDC",1,0,298,157,0.225551062105421,456,0.346491228070175,0.501672237612369,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","ASDC_mDC",0,0,1,0,0.970726949500736,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","CD14 Mono",0,0,173,1,0.359252932436919,174,0.00574712643678161,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","CD16 Mono",0,0,53,5,0.110656196911808,58,0.0862068965517241,0.49999990000002,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","Doublet",0,0,3,0,2.08031958860685,3,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","HSPC",0,0,23,0,0.086657043243315,23,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","NK Proliferating",0,0,2,0,0.115118133424181,2,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","NK_2",0,0,2,0,-0.319379179382656,2,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","NK_4",0,0,2,0,0.0557267260604546,2,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","NK_CD56bright",0,0,5,0,-0.207466880488819,5,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","Platelet",9,0,0,0,8.80690788652343,9,1,0.499999944444451,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","cDC1",0,0,4,0,0.618883761602717,4,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","cDC2_1",0,0,74,0,0.483049347986206,74,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","cDC2_2",0,0,289,1,0.474516887066956,290,0.00344827586206897,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","dnT_2",0,0,1,0,0.220948336334162,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Monocytes","pDC",0,0,3,0,0.593498375231351,3,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","B intermediate kappa",0,0,0,326,-0.521263668074072,326,1,0.499999998466258,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","B intermediate lambda",0,0,0,492,-0.479546464067203,492,1,0.49999999898374,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","B memory kappa",0,0,0,370,-0.396466128191675,370,1,0.499999998648649,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","B memory lambda",0,0,0,236,-0.441792411270785,236,1,0.499999997881356,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","B naive kappa",0,0,0,3874,-0.628101839429688,3874,1,0.499999999870934,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","B naive lambda",0,0,0,2487,-0.602443964215484,2487,1,0.499999999798955,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","CD14 Mono",0,0,0,2,-0.0127185136439131,2,1,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","CD16 Mono",0,0,0,1,-0.266918935533297,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","Doublet",0,1,0,0,6.9096944067855,1,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","NK Proliferating",0,0,0,1,0.550611800986208,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","NK_1",0,0,0,17,0.210036850242796,17,1,0.499999970588237,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","NK_2",0,0,0,3,-0.137883774774177,3,1,0.499999833333389,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","NK_3",0,0,0,1,0.118713674497258,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","NK_4",0,0,0,2,-0.0782180088546735,2,1,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","NK_CD56bright",0,0,0,1,0.302822705347615,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Naive-B-cells","Platelet",0,1,0,2,5.26149260291717,3,0.666666666666667,0.333333222222259,"UCell","GNATENKO",TRUE,"kmeans"
"Neutrophils","CD14 Mono",0,0,180,76,0.0184527697705019,256,0.296875,0.499999993421053,"UCell","GNATENKO",TRUE,"kmeans"
"Neutrophils","Doublet",0,0,3,0,-0.0212091889490113,3,0,0,"UCell","GNATENKO",TRUE,"kmeans"
"Neutrophils","HSPC",0,0,0,1,0.0512214697761182,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Neutrophils","NK_1",0,0,0,1,0.954178796610187,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Neutrophils","NK_2",0,0,0,2,-0.40289969973077,2,1,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"Neutrophils","NK_3",0,0,0,1,0.334879336601559,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
"Neutrophils","Platelet",3,0,0,1,8.0538778838055,4,1,0.999999333333889,"UCell","GNATENKO",TRUE,"kmeans"
"Non-classical-Monocytes","CD14 Mono",0,0,3,2,0.403844413569503,5,0.4,0.499999750000125,"UCell","GNATENKO",TRUE,"kmeans"
"Non-classical-Monocytes","CD16 Mono",0,0,940,140,0.214398146147686,1080,0.12962962962963,0.499999996428571,"UCell","GNATENKO",TRUE,"kmeans"
"Non-classical-Monocytes","Doublet",6,0,36,0,2.38531553739438,42,0.142857142857143,0.0714285697278912,"UCell","GNATENKO",TRUE,"kmeans"
"Non-classical-Monocytes","NK Proliferating",0,0,0,1,0.865026705906651,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"kmeans"
