"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,4,0,32,-0.449469166468687,36,0.888888888888889,0.444444432098766,"UCell","GNATENKO",TRUE,"youden"
"B-cells","B intermediate lambda",0,42,0,124,-0.283103051533442,166,0.746987951807229,0.373493973653651,"UCell","GNATENKO",TRUE,"youden"
"B-cells","B memory kappa",1,12,0,32,-0.282389095611927,45,0.733333333333333,0.863635855372401,"UCell","GNATENKO",TRUE,"youden"
"B-cells","B memory lambda",0,9,0,25,-0.266009194619896,34,0.735294117647059,0.367647048010381,"UCell","GNATENKO",TRUE,"youden"
"B-cells","B naive kappa",0,15,1,232,-0.472709718847479,248,0.935483870967742,0.469635625629006,"UCell","GNATENKO",TRUE,"youden"
"B-cells","B naive lambda",0,3,0,17,-0.493385372615225,20,0.85,0.424999978750001,"UCell","GNATENKO",TRUE,"youden"
"B-cells","Plasma",0,0,0,1,-1.40252247825509,1,1,0.4999995000005,"UCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",26305,123,6825,64,0.387913651127208,33317,0.791457814329021,0.568119673471781,"UCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",372,4,114,2,0.251948201223176,492,0.760162601626016,0.549382687484128,"UCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","Doublet",116,0,24,0,0.733861097410567,140,0.828571428571429,0.414285711326531,"UCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","Eryth",10,0,1,0,0.829510412150992,11,0.909090909090909,0.454545413223144,"UCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.880019376935059,1,0,0,"UCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,12.1684615663917,62,1,0.499999991935484,"UCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","cDC1",3,0,0,0,0.938986460624237,3,1,0.499999833333389,"UCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","cDC2_1",157,0,8,0,0.753464388369183,165,0.951515151515152,0.475757572874197,"UCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","cDC2_2",43,0,1,0,0.711168475776118,44,0.977272727272727,0.488636352530992,"UCell","GNATENKO",TRUE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.788820166744279,5,1,0.49999990000002,"UCell","GNATENKO",TRUE,"youden"
"DCs","ASDC_mDC",0,1,0,0,0.910635942291238,1,0,0,"UCell","GNATENKO",TRUE,"youden"
"DCs","CD14 Mono",79,7,29,2,0.297032167931907,117,0.692307692307692,0.476851836119686,"UCell","GNATENKO",TRUE,"youden"
"DCs","CD16 Mono",45,2,20,3,0.180076617720957,70,0.685714285714286,0.646153780828414,"UCell","GNATENKO",TRUE,"youden"
"DCs","CD4 CTL",2,2,1,0,0.220834298378185,5,0.4,0.333333222222259,"UCell","GNATENKO",TRUE,"youden"
"DCs","CD4 Naive",1,1,18,20,-0.609800323612365,40,0.525,0.502506241603383,"UCell","GNATENKO",TRUE,"youden"
"DCs","CD4 TCM_1",4,3,10,12,-0.388470234205279,29,0.551724137931034,0.542857105986397,"UCell","GNATENKO",TRUE,"youden"
"DCs","CD4 TCM_2",3,2,0,0,0.421929910496494,5,0.6,0.499999833333389,"UCell","GNATENKO",TRUE,"youden"
"DCs","CD4 TCM_3",7,1,10,4,-0.130042395298646,22,0.5,0.605882260830467,"UCell","GNATENKO",TRUE,"youden"
"DCs","CD4 TEM_1",1,2,0,0,0.421835070052847,3,0.333333333333333,0.4999995000005,"UCell","GNATENKO",TRUE,"youden"
"DCs","CD4 TEM_3",2,1,3,2,-0.100430930158068,8,0.5,0.533333182222267,"UCell","GNATENKO",TRUE,"youden"
