"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,12,0,24,-0.520609998376025,36,0.666666666666667,0.333333324074074,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,93,0,73,-0.262957639773734,166,0.439759036144578,0.219879516747714,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,12,1,32,-0.626197172609585,45,0.711111111111111,0.363636355371901,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,10,0,24,-0.726711368160734,34,0.705882352941177,0.352941166089966,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,28,1,219,-0.756411949545485,248,0.883064516129032,0.443319836261863,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,3,0,17,-0.719490991340822,20,0.85,0.424999978750001,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,1,-0.817182813562899,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",32764,185,366,2,1.08825212371343,33317,0.983461896329201,0.499823899002692,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",484,6,2,0,1.13179980810411,492,0.983739837398374,0.497942385806703,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",140,0,0,0,1.11319691602167,140,1,0.499999996428571,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",11,0,0,0,0.773610990205204,11,1,0.499999954545459,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",1,0,0,0,-0.0587026636598098,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",62,0,0,0,3.45236886547229,62,1,0.499999991935484,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",3,0,0,0,0.358873731614155,3,1,0.499999833333389,"AUCell","GOBP_REG",FALSE,"gmm_dist_platelet"
