"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.550692279743022,28,1,0.499999982142858,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.232572960108528,142,1,0.499999996478873,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B memory kappa",0,0,0,35,-0.59878289015429,35,1,0.499999985714286,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B memory lambda",0,0,0,30,-0.720316651226868,30,1,0.499999983333334,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B naive kappa",0,0,1,204,-0.716603455245169,205,0.995121951219512,0.49999999754902,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B naive lambda",0,0,0,15,-0.659129891554079,15,1,0.499999966666669,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","Plasma",0,0,0,2,0.0310358145956183,2,1,0.499999750000125,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD14 Mono",24064,133,1504,16,1.10796152887102,25717,0.936345607963604,0.524279510083153,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD16 Mono",260,5,27,1,1.16869076654694,293,0.890784982935154,0.536294990340051,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Doublet",102,0,7,0,1.1763462627202,109,0.935779816513762,0.467889903964313,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0217975601510138,1,0,0,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Platelet",8,0,51,0,2.14846097410459,59,0.135593220338983,0.0677966090203965,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC1",0,0,2,0,0.456558670663087,2,0,0,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_1",49,0,38,0,0.590669110257597,87,0.563218390804598,0.281609192165412,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_2",5,0,20,0,0.501624111392917,25,0.2,0.0999999960000002,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.225234165015671,5,0,0,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","ASDC_mDC",0,0,0,1,0.804259393657813,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD14 Mono",74,6,11,3,0.877524306367131,94,0.819148936170213,0.601960760674102,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD16 Mono",43,3,8,0,1.16569732294927,54,0.796296296296296,0.421568619184929,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 CTL",0,0,0,2,-0.88176782883099,2,1,0.499999750000125,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 Naive",0,0,12,16,-0.69629004509209,28,0.571428571428571,0.499999968750002,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.691531981516935,20,0.55,0.499999954545459,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_2",0,0,5,5,-0.802446370258682,10,0.5,0.49999990000002,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.806528567417165,17,0.235294117647059,0.499999875000031,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TEM_1",0,0,1,1,-1.05740310163736,2,0.5,0.4999995000005,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TEM_3",0,0,5,2,-0.74228975939852,7,0.285714285714286,0.499999750000125,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 Naive",0,0,22,14,-0.814080025523837,36,0.388888888888889,0.499999964285717,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 Naive_2",0,0,1,1,-0.883552740139998,2,0.5,0.4999995000005,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 Proliferating",0,0,2,0,-1.06989748080042,2,0,0,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.737903977324958,2,1,0.499999750000125,"AUCell","GOBP_REG",FALSE,"gmm_immune_dual"
