"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.520609998376025,36,1,0.499999986111112,"AUCell","GOBP_REG",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.262957639773734,166,1,0.499999996987952,"AUCell","GOBP_REG",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.626197172609585,45,0.977777777777778,0.499999988636364,"AUCell","GOBP_REG",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.726711368160734,34,1,0.499999985294118,"AUCell","GOBP_REG",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.756411949545485,248,0.995967741935484,0.499999997975708,"AUCell","GOBP_REG",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.719490991340822,20,1,0.499999975000001,"AUCell","GOBP_REG",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,1,-0.817182813562899,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",16486,65,16644,122,1.08825212371343,33317,0.49848425728607,0.575010933939764,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",257,3,229,3,1.13179980810411,492,0.528455284552846,0.514403249970371,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","Doublet",69,0,71,0,1.11319691602167,140,0.492857142857143,0.246428569668367,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","Eryth",2,0,9,0,0.773610990205204,11,0.181818181818182,0.0909090826446289,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0587026636598098,1,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","Platelet",53,0,9,0,3.45236886547229,62,0.854838709677419,0.427419347944849,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,0.358873731614155,3,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",30,0,135,0,0.793788000901215,165,0.181818181818182,0.0909090903581267,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","cDC2_2",1,0,43,0,0.58021075388757,44,0.0227272727272727,0.0113636361053719,"AUCell","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.264480412010209,5,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,0.825576761626234,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD14 Mono",30,2,78,7,0.900161970172313,117,0.316239316239316,0.527777733281898,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD16 Mono",20,1,45,4,0.968610462542825,70,0.342857142857143,0.553846071479306,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,-0.679277331762337,5,0.4,0.499999750000125,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.688712277416059,40,0.525,0.499999976190477,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.843010597269427,29,0.517241379310345,0.499999966666669,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,-0.662223371417535,5,0.4,0.499999750000125,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,-0.776055207175813,22,0.227272727272727,0.49999990000002,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,-0.848588769341907,3,0.666666666666667,0.499999750000125,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,-0.782245880912089,8,0.375,0.499999833333389,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,-0.945243030658233,44,0.340909090909091,0.499999966666669,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,-1.14878759804517,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,-1.29458843185721,1,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-1.00114451543044,2,1,0.499999750000125,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,2,-1.05996488791599,4,0.5,0.499999750000125,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.945613872949681,3,0.333333333333333,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD8 TEM_1",0,0,7,2,-0.615178770246894,9,0.222222222222222,0.499999750000125,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,-0.515580366724266,2,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,5,-0.351733014028833,7,0.714285714285714,0.49999990000002,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,0.0423578420871666,1,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","Doublet",5,0,11,1,0.77383898432746,17,0.352941176470588,0.656249490234876,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","HSPC",0,0,1,0,-0.694015322183771,1,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","MAIT",0,0,3,0,-0.595586600440622,3,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,-0.705068814999847,1,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","NK_1",0,0,0,1,-0.79718125513381,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","NK_2",0,0,1,0,0.252900562393367,1,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,0.0260407812634359,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","Platelet",13,2,7,0,2.8199187544176,22,0.590909090909091,0.324999983750001,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","Treg Memory",0,0,2,0,-0.647169566915642,2,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","Treg Naive",0,0,3,1,-0.995617769022404,4,0.25,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","cDC2_1",0,0,16,0,0.564569583046641,16,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","cDC2_2",0,0,38,13,0.516460829474713,51,0.254901960784314,0.499999961538465,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","gdT_1",0,0,1,0,0.562398361243483,1,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","gdT_2",0,0,0,2,0.357908744146085,2,1,0.499999750000125,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","gdT_3",0,0,0,1,-0.73401843904195,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","gdT_4",0,0,1,0,-0.746124645459556,1,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"DCs","pDC",0,0,3,0,1.00488897842035,3,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","CD16 Mono",0,0,1,5,0.744956444975651,6,0.833333333333333,0.49999990000002,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","CD4 Naive",0,0,0,1,-0.408729936168869,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","CD4 TCM_1",0,0,0,1,-0.745071931858025,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_1",0,0,1,0,-1.33038069430926,1,0,0,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.116865090144398,2,1,0.499999750000125,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_4",0,0,0,5,-0.230189709349211,5,1,0.49999990000002,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","CD8 TEM_5",0,0,1,16,-0.306090360019596,17,0.941176470588235,0.499999968750002,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","NK Proliferating",0,0,0,30,0.209318219289984,30,1,0.499999983333334,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","NK_1",0,2,12,718,0.115261854326527,732,0.980874316939891,0.498611110418596,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","NK_2",0,6,4,278,0.397977655604359,288,0.965277777777778,0.489436617994941,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","NK_3",0,0,1,39,0.21227897629429,40,0.975,0.499999987179488,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","NK_4",0,0,0,19,-0.127489186623007,19,1,0.499999973684212,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","NK_CD56bright",0,0,0,1,-0.095547639713395,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
"Early-NK-cells","cDC2_2",0,0,0,1,0.730832537488444,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"kmeans"
