"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,3,0,33,-0.520609998376025,36,0.916666666666667,0.458333320601852,"AUCell","GOBP_REG",FALSE,"youden"
"B-cells","B intermediate lambda",0,36,0,130,-0.262957639773734,166,0.783132530120482,0.391566262701408,"AUCell","GOBP_REG",FALSE,"youden"
"B-cells","B memory kappa",0,3,1,41,-0.626197172609585,45,0.911111111111111,0.465909080320248,"AUCell","GOBP_REG",FALSE,"youden"
"B-cells","B memory lambda",0,2,0,32,-0.726711368160734,34,0.941176470588235,0.470588221453288,"AUCell","GOBP_REG",FALSE,"youden"
"B-cells","B naive kappa",0,4,1,243,-0.756411949545485,248,0.979838709677419,0.491902832016588,"AUCell","GOBP_REG",FALSE,"youden"
"B-cells","B naive lambda",0,0,0,20,-0.719490991340822,20,1,0.499999975000001,"AUCell","GOBP_REG",FALSE,"youden"
"B-cells","Plasma",0,0,0,1,-0.817182813562899,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","CD14 Mono",30802,164,2328,23,1.08825212371343,33317,0.925203349641324,0.526363006512291,"AUCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","CD16 Mono",468,6,18,0,1.13179980810411,492,0.951219512195122,0.481481480490779,"AUCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","Doublet",134,0,6,0,1.11319691602167,140,0.957142857142857,0.478571425153061,"AUCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","Eryth",9,0,2,0,0.773610990205204,11,0.818181818181818,0.40909087190083,"AUCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0587026636598098,1,0,0,"AUCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,3.45236886547229,62,1,0.499999991935484,"AUCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","cDC1",2,0,1,0,0.358873731614155,3,0.666666666666667,0.333333222222259,"AUCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","cDC2_1",142,0,23,0,0.793788000901215,165,0.860606060606061,0.430303027695133,"AUCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","cDC2_2",35,0,9,0,0.58021075388757,44,0.795454545454545,0.397727263688017,"AUCell","GOBP_REG",FALSE,"youden"
"Classical-Monocytes","pDC",3,0,2,0,0.264480412010209,5,0.6,0.299999940000012,"AUCell","GOBP_REG",FALSE,"youden"
