"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.520609998376025,36,1,0.499999986111112,"AUCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,2,0,164,-0.262957639773734,166,0.987951807228916,0.493975900638699,"AUCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.626197172609585,45,0.977777777777778,0.499999988636364,"AUCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.726711368160734,34,1,0.499999985294118,"AUCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.756411949545485,248,0.995967741935484,0.499999997975708,"AUCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.719490991340822,20,1,0.499999975000001,"AUCell","GOBP_REG",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.817182813562899,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",30014,168,3116,19,1.08825212371343,33317,0.901431701533752,0.503775274882487,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",450,6,36,0,1.13179980810411,492,0.914634146341463,0.462962962010364,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",127,0,13,0,1.11319691602167,140,0.907142857142857,0.453571425331633,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",10,0,1,0,0.773610990205204,11,0.909090909090909,0.454545413223144,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.0587026636598098,1,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",7,0,55,0,3.45236886547229,62,0.112903225806452,0.0564516119927159,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.358873731614155,3,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",93,0,72,0,0.793788000901215,165,0.563636363636364,0.281818180110193,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",9,0,35,0,0.58021075388757,44,0.204545454545455,0.102272724948347,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.264480412010209,5,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,0.825576761626234,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",85,6,23,3,0.900161970172313,117,0.752136752136752,0.560185163022979,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",49,4,16,1,0.968610462542825,70,0.714285714285714,0.476923051124264,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.679277331762337,5,0.4,0.499999750000125,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.688712277416059,40,0.525,0.499999976190477,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.843010597269427,29,0.517241379310345,0.499999966666669,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.662223371417535,5,0.4,0.499999750000125,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.776055207175813,22,0.227272727272727,0.49999990000002,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.848588769341907,3,0.666666666666667,0.499999750000125,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.782245880912089,8,0.375,0.499999833333389,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 Naive","CD8 T",0,0,29,15,-0.945243030658233,44,0.340909090909091,0.499999966666669,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 Naive_2","CD8 T",0,0,0,1,-1.14878759804517,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 Proliferating","CD8 T",0,0,1,0,-1.29458843185721,1,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TCM_1","CD8 T",0,0,0,2,-1.00114451543044,2,1,0.499999750000125,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TCM_2","CD8 T",0,0,2,2,-1.05996488791599,4,0.5,0.499999750000125,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TCM_3","CD8 T",0,0,2,1,-0.945613872949681,3,0.333333333333333,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TEM_1","CD8 T",0,0,7,2,-0.615178770246894,9,0.222222222222222,0.499999750000125,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TEM_2","CD8 T",0,0,2,0,-0.515580366724266,2,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TEM_4","CD8 T",0,0,2,5,-0.351733014028833,7,0.714285714285714,0.49999990000002,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","CD8 TEM_5","CD8 T",0,0,1,0,0.0423578420871666,1,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","Doublet","other",12,0,4,1,0.77383898432746,17,0.764705882352941,0.874999476563001,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","HSPC","other",0,0,1,0,-0.694015322183771,1,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","MAIT","other T",0,0,3,0,-0.595586600440622,3,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","NK Proliferating","NK",0,0,1,0,-0.705068814999847,1,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","NK_1","NK",0,0,0,1,-0.79718125513381,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","NK_2","NK",0,0,1,0,0.252900562393367,1,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","NK_CD56bright","NK",0,0,0,1,0.0260407812634359,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","Platelet","other",1,0,19,2,2.8199187544176,22,0.136363636363636,0.524999748750125,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","Treg Memory","CD4 T",0,0,2,0,-0.647169566915642,2,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","Treg Naive","CD4 T",0,0,3,1,-0.995617769022404,4,0.25,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","cDC2_1","DC",5,0,11,0,0.564569583046641,16,0.3125,0.156249990234376,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","cDC2_2","DC",9,3,29,10,0.516460829474713,51,0.372549019607843,0.503036404544824,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","gdT_1","other T",0,0,1,0,0.562398361243483,1,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","gdT_2","other T",0,0,0,2,0.357908744146085,2,1,0.499999750000125,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","gdT_3","other T",0,0,0,1,-0.73401843904195,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","gdT_4","other T",0,0,1,0,-0.746124645459556,1,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"DCs","pDC","DC",0,0,3,0,1.00488897842035,3,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Early-NK-cells","CD16 Mono","Mono",1,2,0,3,0.744956444975651,6,0.666666666666667,0.799999440000512,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Early-NK-cells","CD4 Naive","CD4 T",0,0,0,1,-0.408729936168869,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Early-NK-cells","CD4 TCM_1","CD4 T",0,0,0,1,-0.745071931858025,1,1,0.4999995000005,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_1","CD8 T",0,0,1,0,-1.33038069430926,1,0,0,"AUCell","GOBP_REG",FALSE,"youden_dual"
"Early-NK-cells","CD8 TEM_2","CD8 T",0,0,0,2,-0.116865090144398,2,1,0.499999750000125,"AUCell","GOBP_REG",FALSE,"youden_dual"
