"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.489670292940798,36,1,0.499999986111112,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,166,-0.37368289857916,166,1,0.499999996987952,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,1,44,-0.530196086597942,45,0.977777777777778,0.499999988636364,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,34,-0.560142125890746,34,1,0.499999985294118,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,247,-0.639035157282037,248,0.995967741935484,0.499999997975708,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,20,-0.620341666531861,20,1,0.499999975000001,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,1,-0.44619326263619,1,1,0.4999995000005,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",17114,83,16016,104,0.99069810770649,33317,0.516793228682054,0.536360406620343,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",220,3,266,3,0.884530469861902,492,0.453252032520325,0.476337406427296,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",82,0,58,0,1.0623593355803,140,0.585714285714286,0.292857140765306,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",6,0,5,0,1.06136595302537,11,0.545454545454545,0.272727247933887,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.0956067022735385,1,0,0,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",62,0,0,0,7.43335827264219,62,1,0.499999991935484,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",1,0,2,0,0.118527565969252,3,0.333333333333333,0.16666661111113,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",62,0,103,0,0.698072422332649,165,0.375757575757576,0.187878786740129,"AUCell","GOBP_REG",TRUE,"gmm_dist_platelet"
