"celltype_clean","celltype.l3","FP_Count","TP_Count","Mean_Z","Cell_Count","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,-0.439162426120714,28,"AUCell","GOBP_REG",TRUE,"percentile"
"B-cells","B intermediate lambda",0,0,-0.303408714700131,142,"AUCell","GOBP_REG",TRUE,"percentile"
"B-cells","B memory kappa",0,0,-0.455433454557013,35,"AUCell","GOBP_REG",TRUE,"percentile"
"B-cells","B memory lambda",0,0,-0.508364140024596,30,"AUCell","GOBP_REG",TRUE,"percentile"
"B-cells","B naive kappa",0,0,-0.519962886036736,205,"AUCell","GOBP_REG",TRUE,"percentile"
"B-cells","B naive lambda",0,0,-0.491290356359114,15,"AUCell","GOBP_REG",TRUE,"percentile"
"B-cells","Plasma",0,0,-0.15194232296337,2,"AUCell","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","CD14 Mono",35,9100,0.822952824271063,25717,"AUCell","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","CD16 Mono",3,61,0.618618423814053,293,"AUCell","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","Doublet",0,45,0.912249666579861,109,"AUCell","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","HSPC",0,0,-0.217983423261071,1,"AUCell","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","Platelet",0,59,6.72446741181325,59,"AUCell","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","cDC1",0,0,0.130233287399532,2,"AUCell","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","cDC2_1",0,8,0.255621666961624,87,"AUCell","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","cDC2_2",0,0,0.0512114770528862,25,"AUCell","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","pDC",0,1,0.255806173802911,5,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","ASDC_mDC",0,0,0.282222613921991,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD14 Mono",2,26,0.630691441172348,94,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD16 Mono",0,2,0.414597394263527,54,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD4 CTL",0,0,-0.598588711818871,2,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD4 Naive",0,0,-0.515879343383832,28,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD4 TCM_1",0,0,-0.514394208592448,20,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD4 TCM_2",0,0,-0.563482653239567,10,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD4 TCM_3",0,0,-0.565289350382527,17,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD4 TEM_1",0,0,-0.661943930047048,2,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD4 TEM_3",0,0,-0.511715097654192,7,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD8 Naive",0,0,-0.568631471612059,36,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD8 Naive_2",0,0,-0.599378677133437,2,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD8 Proliferating",0,0,-0.681851055974106,2,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TCM_1",0,0,-0.534917507464868,2,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TCM_2",0,0,-0.650252443391474,3,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TCM_3",0,0,-0.655308221404695,3,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TEM_1",0,0,-0.409109888510875,7,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TEM_2",0,0,-0.367760846902746,2,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TEM_4",0,0,-0.184725883517851,4,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TEM_5",0,0,0.147928510445806,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","Doublet",0,12,1.54095334615113,16,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","HSPC",0,0,-0.450865197995067,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","MAIT",0,0,-0.509796610461676,2,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","NK Proliferating",0,0,-0.226515048658381,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","NK_1",0,0,-0.466348518160557,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","NK_3",0,0,-0.0116444830964851,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","NK_CD56bright",0,0,-0.21292764524785,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","Platelet",2,15,7.31367599774339,17,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","Treg Memory",0,0,-0.525753909815905,2,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","Treg Naive",0,0,-0.606093382307246,4,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","cDC2_1",0,0,0.0933419072093092,8,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","cDC2_2",0,0,0.0694164910488264,15,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","dnT_2",0,0,-0.505846783888847,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","gdT_1",0,0,-0.269489161770761,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","gdT_2",0,0,0.0464969640555575,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","gdT_3",0,0,-0.710921779550127,1,"AUCell","GOBP_REG",TRUE,"percentile"
"DCs","pDC",0,0,0.196432380760145,2,"AUCell","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD16 Mono",0,0,0.29757953963715,5,"AUCell","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD4 Naive",0,0,-0.357649290876303,1,"AUCell","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD4 TCM_1",0,0,-0.500159033623973,1,"AUCell","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_1",0,0,-0.700178251272032,1,"AUCell","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_2",0,0,-0.22746300703586,2,"AUCell","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_4",0,0,-0.22493511802925,5,"AUCell","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","CD8 TEM_5",0,0,-0.306815022883994,16,"AUCell","GOBP_REG",TRUE,"percentile"
"Early-NK-cells","NK Proliferating",0,0,-0.0991876869087478,21,"AUCell","GOBP_REG",TRUE,"percentile"
