"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.654857725746224,36,1,0.499999986111112,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,1,0,165,-0.497295636859029,166,0.993975903614458,0.496987948813326,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.674238941556784,45,0.977777777777778,0.499999988636364,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.750236169627381,34,1,0.499999985294118,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.859800543192333,248,0.995967741935484,0.499999997975708,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.773530139276104,20,1,0.499999975000001,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,-0.468679388294449,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",32714,186,416,1,1.11184965585482,33317,0.981931146261668,0.496395499146789,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",486,6,0,0,1.18500767868068,492,0.98780487804878,0.499999998971193,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",140,0,0,0,1.15425828538456,140,1,0.499999996428571,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",10,0,1,0,0.635449401333776,11,0.909090909090909,0.454545413223144,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.386385267741978,1,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",41,0,21,0,4.10462437269329,62,0.661290322580645,0.330645155957336,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,0.216714968765552,3,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",144,0,21,0,0.818982817193948,165,0.872727272727273,0.436363633719008,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",14,0,30,0,0.554952833216079,44,0.318181818181818,0.159090905475207,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.233382839541499,5,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,0.491371416441255,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",104,8,4,1,0.963443173094959,117,0.897435897435897,0.537037026406036,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",65,5,0,0,1.16228736188466,70,0.928571428571429,0.499999992307692,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,-0.766485885700196,5,0.4,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-0.66494443488921,40,0.525,0.499999976190477,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,14,15,-0.799045875392013,29,0.517241379310345,0.499999966666669,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,3,2,-0.760101371140583,5,0.4,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,17,5,-0.828513232693219,22,0.227272727272727,0.49999990000002,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,2,-0.860344051968535,3,0.666666666666667,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,3,-0.849543962241986,8,0.375,0.499999833333389,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,29,15,-0.841037285587353,44,0.340909090909091,0.499999966666669,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive_2",0,0,0,1,-1.21721178447,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD8 Proliferating",0,0,1,0,-1.48186807686318,1,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.858928615782025,2,1,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_2",0,0,2,2,-0.866985003271844,4,0.5,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.929655986089112,3,0.333333333333333,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_dual"
