"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,3,0,25,-0.648953793731025,28,0.892857142857143,0.446428555484694,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,30,0,112,-0.446213673235465,142,0.788732394366197,0.394366194405872,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,3,0,32,-0.63093138819056,35,0.914285714285714,0.457142844081633,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,3,0,27,-0.723520697071485,30,0.9,0.449999985,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,5,1,199,-0.807325748161351,205,0.970731707317073,0.487745095648308,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,1,0,14,-0.678285773894392,15,0.933333333333333,0.466666635555558,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,2,0,0,0.140847356366435,2,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",25353,148,215,1,1.1695999617874,25717,0.985884823268655,0.499151230313145,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",284,6,3,0,1.20525496244708,293,0.969283276450512,0.494773517439814,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",109,0,0,0,1.22695107348643,109,1,0.499999995412844,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.520892067337685,1,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",56,0,3,0,2.5700320877779,59,0.949152542372881,0.474576263142775,"AddModuleScore","GOBP_REG",FALSE,"gmm_dist_platelet"
