"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.648953793731025,28,1,0.499999982142858,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.446213673235465,142,1,0.499999996478873,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B memory kappa",0,0,0,35,-0.63093138819056,35,1,0.499999985714286,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B memory lambda",0,0,0,30,-0.723520697071485,30,1,0.499999983333334,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B naive kappa",0,0,1,204,-0.807325748161351,205,0.995121951219512,0.49999999754902,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","B naive lambda",0,0,0,15,-0.678285773894392,15,1,0.499999966666669,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"B-cells","Plasma",0,0,0,2,0.140847356366435,2,1,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD14 Mono",24490,142,1078,7,1.1695999617874,25717,0.952560563051678,0.502408893911026,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","CD16 Mono",276,6,11,0,1.20525496244708,293,0.9419795221843,0.48083623525841,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Doublet",106,0,3,0,1.22695107348643,109,0.972477064220184,0.486238527649188,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.520892067337685,1,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","Platelet",22,0,37,0,2.5700320877779,59,0.372881355932203,0.18644067480609,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC1",0,0,2,0,0.0613296146335823,2,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_1",33,0,54,0,0.696097655502992,87,0.379310344827586,0.189655170233849,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","cDC2_2",2,0,23,0,0.604991797389801,25,0.08,0.0399999984000001,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.268204572157214,5,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","ASDC_mDC",0,0,0,1,0.389922044982472,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD14 Mono",70,8,15,1,0.99783629905049,94,0.75531914893617,0.467320250420779,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD16 Mono",48,3,3,0,1.24149927837885,54,0.888888888888889,0.470588226066898,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 CTL",0,0,0,2,-0.764947938335112,2,1,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 Naive",0,0,12,16,-0.67846364287959,28,0.571428571428571,0.499999968750002,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_1",0,0,9,11,-0.645229113128792,20,0.55,0.499999954545459,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_2",0,0,5,5,-1.03567170252812,10,0.5,0.49999990000002,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TCM_3",0,0,13,4,-0.770250093797471,17,0.235294117647059,0.499999875000031,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TEM_1",0,0,1,1,-0.948296618620706,2,0.5,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD4 TEM_3",0,0,5,2,-0.804050705595231,7,0.285714285714286,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 Naive",0,0,22,14,-0.755064517464572,36,0.388888888888889,0.499999964285717,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 Naive_2",0,0,1,1,-1.20216960002152,2,0.5,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 Proliferating",0,0,2,0,-1.3999871227793,2,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_1",0,0,0,2,-0.717337470174588,2,1,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_2",0,0,2,1,-0.804125951213846,3,0.333333333333333,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TCM_3",0,0,2,1,-0.756920550003478,3,0.333333333333333,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
"DCs","CD8 TEM_1",0,0,5,2,-0.680002425103437,7,0.285714285714286,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_immune_dual"
