"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,1,0,27,-0.648953793731025,28,0.964285714285714,0.48214283992347,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"B-cells","B intermediate lambda",0,3,0,139,-0.446213673235465,142,0.97887323943662,0.489436616271573,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"B-cells","B memory kappa",0,0,0,35,-0.63093138819056,35,1,0.499999985714286,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"B-cells","B memory lambda",0,0,0,30,-0.723520697071485,30,1,0.499999983333334,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"B-cells","B naive kappa",0,0,1,204,-0.807325748161351,205,0.995121951219512,0.49999999754902,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"B-cells","B naive lambda",0,0,0,15,-0.678285773894392,15,1,0.499999966666669,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"B-cells","Plasma",0,1,0,1,0.140847356366435,2,0.5,0.249999875000062,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"Classical-Monocytes","CD14 Mono",24013,137,1555,12,1.1695999617874,25717,0.934206944822491,0.5098593509558,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"Classical-Monocytes","CD16 Mono",275,5,12,1,1.20525496244708,293,0.9419795221843,0.562427394430182,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"Classical-Monocytes","Doublet",103,0,6,0,1.22695107348643,109,0.944954128440367,0.472477059885532,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.520892067337685,1,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"Classical-Monocytes","Platelet",54,0,5,0,2.5700320877779,59,0.915254237288136,0.457627110887676,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC1",1,0,1,0,0.0613296146335823,2,0.5,0.249999875000062,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC2_1",71,0,16,0,0.696097655502992,87,0.816091954022989,0.408045972321311,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"Classical-Monocytes","cDC2_2",20,0,5,0,0.604991797389801,25,0.8,0.399999984000001,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"Classical-Monocytes","pDC",1,0,4,0,0.268204572157214,5,0.2,0.099999980000004,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.389922044982472,1,0,0,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"DCs","CD14 Mono",75,9,10,0,0.99783629905049,94,0.797872340425532,0.441176465397924,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"DCs","CD16 Mono",48,3,3,0,1.24149927837885,54,0.888888888888889,0.470588226066898,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.764947938335112,2,1,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"DCs","CD4 Naive",0,1,12,15,-0.67846364287959,28,0.535714285714286,0.468749970703127,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"DCs","CD4 TCM_1",1,1,8,10,-0.645229113128792,20,0.55,0.510100962605861,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-1.03567170252812,10,0.5,0.49999990000002,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.770250093797471,17,0.235294117647059,0.499999875000031,"AddModuleScore","GOBP_REG",FALSE,"gmm_platelet"
