"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.648953793731025,28,1,0.499999982142858,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,142,-0.446213673235465,142,1,0.499999996478873,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"B-cells","B memory kappa",0,0,0,35,-0.63093138819056,35,1,0.499999985714286,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"B-cells","B memory lambda",0,0,0,30,-0.723520697071485,30,1,0.499999983333334,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"B-cells","B naive kappa",0,0,1,204,-0.807325748161351,205,0.995121951219512,0.49999999754902,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"B-cells","B naive lambda",0,0,0,15,-0.678285773894392,15,1,0.499999966666669,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"B-cells","Plasma",0,0,0,2,0.140847356366435,2,1,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","CD14 Mono",10226,42,15342,107,1.1695999617874,25717,0.401796477038535,0.559036933433399,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","CD16 Mono",108,4,179,2,1.20525496244708,293,0.37542662116041,0.354819948337837,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","Doublet",46,0,63,0,1.22695107348643,109,0.422018348623853,0.211009172376063,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.520892067337685,1,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","Platelet",37,0,22,0,2.5700320877779,59,0.627118644067797,0.313559316719334,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","cDC1",0,0,2,0,0.0613296146335823,2,0,0,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
"Classical-Monocytes","cDC2_1",2,0,85,0,0.696097655502992,87,0.0229885057471264,0.0114942527414454,"AddModuleScore","GOBP_REG",FALSE,"kmeans"
