"celltype_clean","celltype.l3","celltype.l1","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa","B",0,0,0,36,-0.654857725746224,36,1,0.499999986111112,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"B-cells","B intermediate lambda","B",0,1,0,165,-0.497295636859029,166,0.993975903614458,0.496987948813326,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"B-cells","B memory kappa","B",0,0,1,44,-0.674238941556784,45,0.977777777777778,0.499999988636364,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"B-cells","B memory lambda","B",0,0,0,34,-0.750236169627381,34,1,0.499999985294118,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"B-cells","B naive kappa","B",0,0,1,247,-0.859800543192333,248,0.995967741935484,0.499999997975708,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"B-cells","B naive lambda","B",0,0,0,20,-0.773530139276104,20,1,0.499999975000001,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"B-cells","Plasma","B",0,0,0,1,-0.468679388294449,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","CD14 Mono","Mono",30244,170,2886,17,1.11184965585482,33317,0.908275054776841,0.501898855490482,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","CD16 Mono","Mono",455,6,31,0,1.18500767868068,492,0.92479674796748,0.468106994921591,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","Doublet","other",129,0,11,0,1.15425828538456,140,0.921428571428571,0.460714282423469,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","Eryth","other",9,0,2,0,0.635449401333776,11,0.818181818181818,0.40909087190083,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","HSPC","other",0,0,1,0,-0.386385267741978,1,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","Platelet","other",18,0,44,0,4.10462437269329,62,0.290322580645161,0.14516128798127,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","cDC1","DC",0,0,3,0,0.216714968765552,3,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_1","DC",64,0,101,0,0.818982817193948,165,0.387878787878788,0.193939392764004,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","cDC2_2","DC",0,0,44,0,0.554952833216079,44,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"Classical-Monocytes","pDC","DC",0,0,5,0,0.233382839541499,5,0,0,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"DCs","ASDC_mDC","DC",0,0,0,1,0.491371416441255,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"DCs","CD14 Mono","Mono",79,6,29,3,0.963443173094959,117,0.700854700854701,0.532407385502403,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"DCs","CD16 Mono","Mono",56,5,9,0,1.16228736188466,70,0.8,0.430769224142012,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 CTL","CD4 T",0,0,3,2,-0.766485885700196,5,0.4,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 Naive","CD4 T",0,0,19,21,-0.66494443488921,40,0.525,0.499999976190477,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TCM_1","CD4 T",0,0,14,15,-0.799045875392013,29,0.517241379310345,0.499999966666669,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TCM_2","CD4 T",0,0,3,2,-0.760101371140583,5,0.4,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TCM_3","CD4 T",0,0,17,5,-0.828513232693219,22,0.227272727272727,0.49999990000002,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TEM_1","CD4 T",0,0,1,2,-0.860344051968535,3,0.666666666666667,0.499999750000125,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
"DCs","CD4 TEM_3","CD4 T",0,0,5,3,-0.849543962241986,8,0.375,0.499999833333389,"AddModuleScore","GOBP_REG",FALSE,"youden_dual"
