"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,28,-0.451864312811786,28,1,0.499999982142858,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,0,0,142,-0.415500572620673,142,1,0.499999996478873,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,0,35,-0.425078912082586,35,1,0.499999985714286,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,30,-0.472116874046652,30,1,0.499999983333334,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,204,-0.555128715500036,205,0.995121951219512,0.49999999754902,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,15,-0.477091585059692,15,1,0.499999966666669,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,2,-0.0857465797787406,2,1,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",9233,35,16335,114,0.729490469435711,25717,0.363456079636038,0.563108061406469,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",57,1,230,5,0.515312357269678,293,0.21160409556314,0.515969732764732,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",48,0,61,0,0.839488616840764,109,0.440366972477064,0.2201834842185,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,-0.229633638668833,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",23,0,36,0,7.24270022011398,59,0.389830508474576,0.19491525093364,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,2,0,-0.0522212888212884,2,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",4,0,83,0,0.218910144058206,87,0.0459770114942529,0.0229885054828907,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_dual"
