"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.524381626597529,36,1,0.499999986111112,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,0,0,166,-0.49343307422431,166,1,0.499999996987952,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,0,1,44,-0.516873124612482,45,0.977777777777778,0.499999988636364,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,0,0,34,-0.55665942314828,34,1,0.499999985294118,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,0,1,247,-0.679722940433487,248,0.995967741935484,0.499999997975708,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,0,0,20,-0.600938019208417,20,1,0.499999975000001,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"B-cells","Plasma",0,0,0,1,-0.1911043537182,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",14939,67,18191,120,0.920627024477496,33317,0.451991475823153,0.546315921128707,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",174,4,312,2,0.823789620504408,492,0.357723577235772,0.345678984199568,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",69,0,71,0,0.951203871604545,140,0.492857142857143,0.246428569668367,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Eryth",2,0,9,0,0.610503776554715,11,0.181818181818182,0.0909090826446289,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",0,0,1,0,-0.286035153632195,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",62,0,0,0,7.92892640217408,62,1,0.499999991935484,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",0,0,3,0,-0.0483369710467843,3,0,0,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",51,0,114,0,0.525565641031824,165,0.309090909090909,0.154545453608815,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",1,0,43,0,-0.0828797809586885,44,0.0227272727272727,0.0113636361053719,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",1,0,4,0,0.28275980606316,5,0.2,0.099999980000004,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,0,0,1,-0.300492463043026,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"DCs","CD14 Mono",41,3,67,6,0.649535601980078,117,0.401709401709402,0.523148109353571,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"DCs","CD16 Mono",19,1,46,4,0.394918624122885,70,0.328571428571429,0.546153763905342,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,3,2,-0.597420392214658,5,0.4,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,0,19,21,-0.498749607035907,40,0.525,0.499999976190477,"AddModuleScore","GOBP_REG",TRUE,"gmm_dist_platelet"
