"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.524381626597529,36,1,0.499999986111112,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"B-cells","B intermediate lambda",0,0,0,166,-0.49343307422431,166,1,0.499999996987952,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"B-cells","B memory kappa",0,0,1,44,-0.516873124612482,45,0.977777777777778,0.499999988636364,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"B-cells","B memory lambda",0,0,0,34,-0.55665942314828,34,1,0.499999985294118,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"B-cells","B naive kappa",0,0,1,247,-0.679722940433487,248,0.995967741935484,0.499999997975708,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"B-cells","B naive lambda",0,0,0,20,-0.600938019208417,20,1,0.499999975000001,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"B-cells","Plasma",0,0,0,1,-0.1911043537182,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","CD14 Mono",4,0,33126,187,0.920627024477496,33317,0.00573280907644746,0.500060365572504,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","CD16 Mono",0,0,486,6,0.823789620504408,492,0.0121951219512195,0.499999916666681,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","Doublet",1,0,139,0,0.951203871604545,140,0.00714285714285714,0.00357142854591837,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","Eryth",0,0,11,0,0.610503776554715,11,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","HSPC",0,0,1,0,-0.286035153632195,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","Platelet",54,0,8,0,7.92892640217408,62,0.870967741935484,0.435483863943809,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","cDC1",0,0,3,0,-0.0483369710467843,3,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","cDC2_1",0,0,165,0,0.525565641031824,165,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","cDC2_2",0,0,44,0,-0.0828797809586885,44,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"Classical-Monocytes","pDC",0,0,5,0,0.28275980606316,5,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","ASDC_mDC",0,0,0,1,-0.300492463043026,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD14 Mono",0,0,108,9,0.649535601980078,117,0.0769230769230769,0.499999944444451,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD16 Mono",0,0,65,5,0.394918624122885,70,0.0714285714285714,0.49999990000002,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 CTL",0,0,3,2,-0.597420392214658,5,0.4,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 Naive",0,0,19,21,-0.498749607035907,40,0.525,0.499999976190477,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 TCM_1",0,0,14,15,-0.547108074114078,29,0.517241379310345,0.499999966666669,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 TCM_2",0,0,3,2,-0.647041222287827,5,0.4,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 TCM_3",0,0,17,5,-0.586343013113983,22,0.227272727272727,0.49999990000002,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 TEM_1",0,0,1,2,-0.60018542794574,3,0.666666666666667,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD4 TEM_3",0,0,5,3,-0.590554150184534,8,0.375,0.499999833333389,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 Naive",0,0,29,15,-0.570470829692229,44,0.340909090909091,0.499999966666669,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 Naive_2",0,0,0,1,-0.756968843833657,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 Proliferating",0,0,1,0,-0.90800335586726,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TCM_1",0,0,0,2,-0.627388114954415,2,1,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TCM_2",0,0,2,2,-0.521785256198342,4,0.5,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TCM_3",0,0,2,1,-0.596676434006177,3,0.333333333333333,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TEM_1",0,0,7,2,-0.536533768408276,9,0.222222222222222,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TEM_2",0,0,2,0,-0.502791025635028,2,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TEM_4",0,0,2,5,-0.435300054040006,7,0.714285714285714,0.49999990000002,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","CD8 TEM_5",0,0,1,0,-0.163063996195295,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","Doublet",0,0,16,1,1.78128817667021,17,0.0588235294117647,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","HSPC",0,0,1,0,-0.295211220005261,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","MAIT",0,0,3,0,-0.554915623882683,3,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","NK Proliferating",0,0,1,0,-0.696595001365773,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","NK_1",0,0,0,1,-0.502655542912539,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","NK_2",0,0,1,0,-0.354225822916298,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","NK_CD56bright",0,0,0,1,-0.342374613035804,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","Platelet",15,2,5,0,7.31802460712335,22,0.681818181818182,0.374999981250001,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","Treg Memory",0,0,2,0,-0.63744077613184,2,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","Treg Naive",0,0,3,1,-0.4726164761452,4,0.25,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","cDC2_1",0,0,16,0,-0.0448383276897575,16,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","cDC2_2",0,0,38,13,-0.0589574784741323,51,0.254901960784314,0.499999961538465,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","gdT_1",0,0,1,0,-0.136359411016082,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","gdT_2",0,0,0,2,-0.238432688281119,2,1,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","gdT_3",0,0,0,1,-0.665561867698949,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","gdT_4",0,0,1,0,-0.516530312757552,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
"DCs","pDC",0,0,3,0,0.374133576714581,3,0,0,"AddModuleScore","GOBP_REG",TRUE,"kmeans"
