"celltype_clean","celltype.l3","FP_Count","TP_Count","Mean_Z","Cell_Count","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,-0.451864312811786,28,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"B-cells","B intermediate lambda",0,0,-0.415500572620673,142,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"B-cells","B memory kappa",0,0,-0.425078912082586,35,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"B-cells","B memory lambda",0,0,-0.472116874046652,30,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"B-cells","B naive kappa",0,0,-0.555128715500036,205,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"B-cells","B naive lambda",0,0,-0.477091585059692,15,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"B-cells","Plasma",0,0,-0.0857465797787406,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","CD14 Mono",36,9031,0.729490469435711,25717,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","CD16 Mono",1,53,0.515312357269678,293,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","Doublet",0,46,0.839488616840764,109,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","HSPC",0,0,-0.229633638668833,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","Platelet",0,59,7.24270022011398,59,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","cDC1",0,0,-0.0522212888212884,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","cDC2_1",0,5,0.218910144058206,87,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","cDC2_2",0,0,0.0628502346543659,25,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"Classical-Monocytes","pDC",0,1,0.280061248544897,5,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","ASDC_mDC",0,0,-0.177671153066556,1,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD14 Mono",3,25,0.574471051110535,94,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD16 Mono",0,9,0.432508253156572,54,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD4 CTL",0,0,-0.471683658510185,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD4 Naive",0,0,-0.405579855453011,28,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD4 TCM_1",0,0,-0.421001326778692,20,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD4 TCM_2",0,0,-0.682640324993776,10,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD4 TCM_3",0,0,-0.487614769500809,17,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD4 TEM_1",0,0,-0.511057129969197,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD4 TEM_3",0,0,-0.474944255471719,7,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD8 Naive",0,0,-0.432510356555399,36,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD8 Naive_2",0,0,-0.76025270718232,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD8 Proliferating",0,0,-0.906036657999184,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TCM_1",0,0,-0.458027673108186,2,"AddModuleScore","GOBP_REG",TRUE,"percentile"
"DCs","CD8 TCM_2",0,0,-0.442363936628108,3,"AddModuleScore","GOBP_REG",TRUE,"percentile"
