"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.524381626597529,36,1,0.499999986111112,"AddModuleScore","GOBP_REG",TRUE,"youden"
"B-cells","B intermediate lambda",0,4,0,162,-0.49343307422431,166,0.975903614457831,0.487951804289447,"AddModuleScore","GOBP_REG",TRUE,"youden"
"B-cells","B memory kappa",0,1,1,43,-0.516873124612482,45,0.955555555555556,0.488636352530992,"AddModuleScore","GOBP_REG",TRUE,"youden"
"B-cells","B memory lambda",0,0,0,34,-0.55665942314828,34,1,0.499999985294118,"AddModuleScore","GOBP_REG",TRUE,"youden"
"B-cells","B naive kappa",0,0,1,247,-0.679722940433487,248,0.995967741935484,0.499999997975708,"AddModuleScore","GOBP_REG",TRUE,"youden"
"B-cells","B naive lambda",0,0,0,20,-0.600938019208417,20,1,0.499999975000001,"AddModuleScore","GOBP_REG",TRUE,"youden"
"B-cells","Plasma",0,0,0,1,-0.1911043537182,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","CD14 Mono",31031,166,2099,21,0.920627024477496,33317,0.932016688177207,0.524471495058711,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","CD16 Mono",454,6,32,0,0.823789620504408,492,0.922764227642276,0.467078188339345,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","Doublet",138,0,2,0,0.951203871604545,140,0.985714285714286,0.492857139336735,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","Eryth",11,0,0,0,0.610503776554715,11,1,0.499999954545459,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","HSPC",0,0,1,0,-0.286035153632195,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","Platelet",62,0,0,0,7.92892640217408,62,1,0.499999991935484,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","cDC1",2,0,1,0,-0.0483369710467843,3,0.666666666666667,0.333333222222259,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","cDC2_1",132,0,33,0,0.525565641031824,165,0.8,0.399999997575758,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","cDC2_2",26,0,18,0,-0.0828797809586885,44,0.590909090909091,0.29545453873967,"AddModuleScore","GOBP_REG",TRUE,"youden"
"Classical-Monocytes","pDC",5,0,0,0,0.28275980606316,5,1,0.49999990000002,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","ASDC_mDC",0,0,0,1,-0.300492463043026,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD14 Mono",99,7,9,2,0.649535601980078,117,0.863247863247863,0.56944442785494,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD16 Mono",56,5,9,0,0.394918624122885,70,0.8,0.430769224142012,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD4 CTL",0,0,3,2,-0.597420392214658,5,0.4,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD4 Naive",0,1,19,20,-0.498749607035907,40,0.5,0.47619045351474,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD4 TCM_1",1,1,13,14,-0.547108074114078,29,0.517241379310345,0.502380918718823,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD4 TCM_2",0,0,3,2,-0.647041222287827,5,0.4,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD4 TCM_3",0,0,17,5,-0.586343013113983,22,0.227272727272727,0.49999990000002,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD4 TEM_1",0,0,1,2,-0.60018542794574,3,0.666666666666667,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD4 TEM_3",0,0,5,3,-0.590554150184534,8,0.375,0.499999833333389,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD8 Naive",0,0,29,15,-0.570470829692229,44,0.340909090909091,0.499999966666669,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD8 Naive_2",0,0,0,1,-0.756968843833657,1,1,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD8 Proliferating",0,0,1,0,-0.90800335586726,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD8 TCM_1",0,0,0,2,-0.627388114954415,2,1,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD8 TCM_2",0,0,2,2,-0.521785256198342,4,0.5,0.499999750000125,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD8 TCM_3",0,0,2,1,-0.596676434006177,3,0.333333333333333,0.4999995000005,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD8 TEM_1",1,0,6,2,-0.536533768408276,9,0.333333333333333,0.571428311224616,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD8 TEM_2",0,0,2,0,-0.502791025635028,2,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD8 TEM_4",1,0,1,5,-0.435300054040006,7,0.857142857142857,0.749999775000082,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","CD8 TEM_5",0,0,1,0,-0.163063996195295,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","Doublet",14,0,2,1,1.78128817667021,17,0.882352941176471,0.937499472656752,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","HSPC",0,0,1,0,-0.295211220005261,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","MAIT",0,0,3,0,-0.554915623882683,3,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
"DCs","NK Proliferating",0,0,1,0,-0.696595001365773,1,0,0,"AddModuleScore","GOBP_REG",TRUE,"youden"
