"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,0,0,36,-0.575242178396587,36,1,0.499999986111112,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","B intermediate lambda",0,1,0,165,-0.289982330714759,166,0.993975903614458,0.496987948813326,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","B memory kappa",0,0,1,44,-0.607392748638836,45,0.977777777777778,0.499999988636364,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","B memory lambda",0,0,0,34,-0.70658354829203,34,1,0.499999985294118,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","B naive kappa",0,0,1,247,-0.755165285474162,248,0.995967741935484,0.499999997975708,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","B naive lambda",0,0,0,20,-0.714477712780505,20,1,0.499999975000001,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"B-cells","Plasma",0,0,0,1,-0.608954313492713,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD14 Mono",26928,131,6202,56,1.095712178367,33317,0.809916859261038,0.556131653615939,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","CD16 Mono",414,6,72,0,1.1361179490885,492,0.841463414634146,0.425925925049535,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Doublet",120,0,20,0,1.14909182097726,140,0.857142857142857,0.428571425510204,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Eryth",9,0,2,0,0.730394865305811,11,0.818181818181818,0.40909087190083,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","HSPC",0,0,1,0,0.081776419568545,1,0,0,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","Platelet",7,0,55,0,3.2756992717757,62,0.112903225806452,0.0564516119927159,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC1",0,0,3,0,0.456486555804394,3,0,0,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_1",81,0,84,0,0.896317277362357,165,0.490909090909091,0.245454543966942,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","cDC2_2",2,0,42,0,0.711823525037824,44,0.0454545454545455,0.0227272722107438,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"Classical-Monocytes","pDC",0,0,5,0,0.29176327328521,5,0,0,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","ASDC_mDC",0,0,0,1,0.830607833785288,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD14 Mono",69,6,39,3,0.929002525104555,117,0.615384615384615,0.486111089634776,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD16 Mono",41,4,24,1,0.921263964178948,70,0.6,0.415384590532548,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 CTL",0,0,3,2,-0.575350135743328,5,0.4,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 Naive",0,0,19,21,-0.653992155692461,40,0.525,0.499999976190477,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_1",0,0,14,15,-0.740059881291135,29,0.517241379310345,0.499999966666669,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_2",0,0,3,2,-0.567852007296913,5,0.4,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 TCM_3",0,0,17,5,-0.825975346727648,22,0.227272727272727,0.49999990000002,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_1",0,0,1,2,-0.750869152936673,3,0.666666666666667,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD4 TEM_3",0,0,5,3,-0.796186702807523,8,0.375,0.499999833333389,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
"DCs","CD8 Naive",0,0,29,15,-0.89545169871747,44,0.340909090909091,0.499999966666669,"UCell","GOBP_REG",FALSE,"gmm_dist_dual"
