"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Method","Signature","Ext","Mode"
"B-cells","B intermediate kappa",0,7,0,21,-0.587138527671553,28,0.75,0.374999986607143,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B intermediate lambda",0,63,0,79,-0.288317056583848,142,0.556338028169014,0.27816901212557,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B memory kappa",0,9,0,26,-0.618576481169485,35,0.742857142857143,0.371428560816327,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B memory lambda",0,6,0,24,-0.730503229691235,30,0.8,0.399999986666667,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B naive kappa",0,12,1,192,-0.760009438808823,205,0.936585365853659,0.470588232987313,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","B naive lambda",0,3,0,12,-0.677978107731704,15,0.8,0.399999973333335,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"B-cells","Plasma",0,1,0,1,-0.16744973571394,2,0.5,0.249999875000062,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD14 Mono",25152,144,416,5,1.17521256488641,25717,0.978224520745033,0.508643354396886,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","CD16 Mono",284,6,3,0,1.19019836376027,293,0.969283276450512,0.494773517439814,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Doublet",108,0,1,0,1.2927835983867,109,0.990825688073395,0.495412839491625,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","HSPC",1,0,0,0,0.202052841683697,1,1,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","Platelet",52,0,7,0,1.96537377637579,59,0.88135593220339,0.440677958632577,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC1",2,0,0,0,0.543336627891034,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_1",86,0,1,0,0.728902326980278,87,0.988505747126437,0.494252867882151,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","cDC2_2",25,0,0,0,0.723446129923043,25,1,0.499999980000001,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"Classical-Monocytes","pDC",5,0,0,0,0.203361539246148,5,1,0.49999990000002,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","ASDC_mDC",0,1,0,0,0.973161983557794,1,0,0,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD14 Mono",84,9,1,0,0.989823078356322,94,0.893617021276596,0.494117641245675,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD16 Mono",51,3,0,0,1.04377333612429,54,0.944444444444444,0.499999990196079,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD4 CTL",0,0,0,2,-0.807586879346093,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD4 Naive",0,4,12,12,-0.721856964805994,28,0.428571428571429,0.374999976562501,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_1",1,1,8,10,-0.665613642219819,20,0.55,0.510100962605861,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_2",0,0,5,5,-0.86386087453139,10,0.5,0.49999990000002,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD4 TCM_3",0,0,13,4,-0.772638159054781,17,0.235294117647059,0.499999875000031,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_1",0,0,1,1,-0.972809946605249,2,0.5,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD4 TEM_3",0,0,5,2,-0.812655161200667,7,0.285714285714286,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive",4,1,18,13,-0.820440970421708,36,0.472222222222222,0.555194767899311,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD8 Naive_2",0,0,1,1,-1.02965649697412,2,0.5,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD8 Proliferating",0,0,2,0,-1.07515418566862,2,0,0,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_1",0,0,0,2,-0.695222924570221,2,1,0.499999750000125,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_2",0,0,2,1,-0.906863858497479,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD8 TCM_3",0,0,2,1,-0.827251423448514,3,0.333333333333333,0.4999995000005,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
"DCs","CD8 TEM_1",2,0,3,2,-0.585181323727712,7,0.571428571428571,0.699999710000133,"UCell","GOBP_REG",FALSE,"gmm_dist_platelet"
